Month,Max Precipitation,Min Precipitation,Avg Precipitation,Max Temperature,Min Temperature,Avg Temperature,Max Soil Moisture,Min Soil Moisture,Avg Soil Moisture,Max Wind Speed,Min Wind Speed,Avg Wind Speed,Evergreen needleleaf forest,Evergreen broadleaf forest,Deciduous needleleaf forest,Deciduous broadleaf forest,Mixed forest,Wooded grassland,Other wooded land,Open shrubland,Savanna,Grassland,Permanent wetlands,Cropland,Urban and built-up,Cropland/natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated,Water,Urban areas,Aegithalidae,Anacardiaceae,Araneidae,Arthoniaceae,Asparagaceae,Asteraceae,Blenniidae,Brachytheciaceae,Caliciaceae,Candelariaceae,Clupeidae,Embiotocidae,Eschrichtiidae,Fossombroniaceae,Geometridae,Gymnuridae,Lecanoraceae,Lottiidae,Lycosidae,Orthotrichaceae,Papaveraceae,Paralichthyidae,Platanaceae,Plethodontidae,Pleuronectidae,Poaceae,Polemoniaceae,Porcellionidae,Ramalinaceae,Rosaceae,Salticidae,Sciaenidae,Population,Amaranthaceae,Amaryllidaceae,Anyphaenidae,Araliaceae,Arecaceae,Blechnaceae,Brassicaceae,Bryaceae,Cactaceae,Clionaidae,Colubridae,Cucurbitaceae,Cyperaceae,Donacidae,Dryopteridaceae,Dysderidae,Ericaceae,Forficulidae,Grossulariaceae,Labridae,Mniaceae,Ostreidae,Paeoniaceae,Pectinidae,Phallaceae,Pinaceae,Plantaginaceae,Platystomatidae,Plumbaginaceae,Podocarpaceae,Polygonaceae,Pottiaceae,Psammobiidae,Pteridaceae,Sciuridae,Scutigeridae,Selaginellaceae,Solenidae,Sparassidae,Tellinidae,Trachelidae,Urticaceae,Veneridae,Acrididae,Euphorbiaceae,Miturgidae,Pentatomidae,Apocynaceae,Boraginaceae,Bromeliaceae,Cervidae,Lecideaceae,Leprocaulaceae,Megasporaceae,Muricidae,Pannariaceae,Peltulaceae,Physalacriaceae,Physciaceae,Ptilogonatidae,Salamandridae,Siphoviridae,Soricidae,Stereocaulaceae,Syngnathidae,Unknown,Verrucariaceae,Bacillariaceae,Cheloniidae,Cynipidae,Dinophysaceae,Ectopsocidae,Fabaceae,Felidae,Garryaceae,Gonyaulacaceae,Gymnodiniaceae,Hydrophyllaceae,Lepismatidae,Liviidae,Margarodidae,Polypodiaceae,Prorocentraceae,Rhinobatidae,Sabellariidae,Salicaceae,Tortricidae,Viburnaceae,Agaricaceae,Anguidae,Candonidae,Caryophyllaceae,Dermestidae,Epialtidae,Erebidae,Geomyidae,Gryllidae,Lamiaceae,Malvaceae,Oceanospirillaceae,Orobanchaceae,Paradoxosomatidae,Pleurobranchidae,Spirobolidae,Trogiidae,Uloboridae,Amblystegiaceae,Asteriidae,Casuarinaceae,Corynidae,Dendronotidae,Dironidae,Discodorididae,Dorididae,Eubranchidae,Ligiidae,Mytilidae,Oxalidaceae,Plagiostomidae,Polyceridae,Pseudococcidae,Scrophulariaceae,Scyliorhinidae,Timmiellaceae,Trichoniscidae,Trichopsocidae,Xanthonychidae,Acanthochitonidae,Actiniidae,Alariaceae,Alcyonidiidae,Alcyoniidae,Amphoriscidae,Aplysiidae,Aplysinidae,Asterinidae,Asteropseidae,Austrosiphonidae,Balanidae,Bugulidae,Callithamniaceae,Campanulariidae,Ceramiaceae,Chalinidae,Champiaceae,Chordariaceae,Cirratulidae,Cleomaceae,Colloniidae,Columbellidae,Corallinaceae,Costariaceae,Cystocloniaceae,Dasyaceae,Delesseriaceae,Derbesiaceae,Desmarestiaceae,Dictyotaceae,Dumontiaceae,Dysideidae,Echinasteridae,Ectocarpaceae,Endocladiaceae,Epitoniidae,Eudendriidae,Euherdmaniidae,Eurystomellidae,Fissurellidae,Flustrellidridae,Fucaceae,Gelidiaceae,Gigartinaceae,Gloiosiphoniaceae,Goniasteridae,Gracilariaceae,Grantiidae,Halichondriidae,Haminoeidae,Hapalidiaceae,Hapalogastridae,Holozoidae,Ischnochitonidae,Kallymeniaceae,Laminariaceae,Lessoniaceae,Leucosoleniidae,Lithophyllaceae,Littorinidae,Lomentariaceae,Membraniporidae,Mephitidae,Metridiidae,Montiaceae,Mopaliidae,Mycalidae,Myrrhinidae,Nemaliaceae,Nyctaginaceae,Onuphidae,Ophidiasteridae,Palinuridae,Palmariaceae,Phalangodidae,Phyllophoraceae,Plexauridae,Pocilloporidae,Polycitoridae,Polyclinidae,Procyonidae,Pseudolividae,Ralfsiaceae,Ranunculaceae,Rhodomelaceae,Sabellidae,Sclerodactylidae,Scytosiphonaceae,Sertulariidae,Tegulidae,Tonicellidae,Trochidae,Tudiclidae,Turbinidae,Ulmaridae,Varunidae,Vermetidae,Viscaceae,Wrangeliaceae,Apiaceae,Auriculariaceae,Betulaceae,Cinclidae,Convolvulaceae,Didelphidae,Fagaceae,Grimmiaceae,Lauraceae,Leporidae,Muridae,Polyporaceae,Rhamnaceae,Solanaceae,Sylviidae,Bolbitiaceae,Crassulaceae,Eumenidae,Geraniaceae,Helicidae,Juglandaceae,Mantidae,Mimetidae,Oligotomidae,Onagraceae,Oxyopidae,Phasianellidae,Rubiaceae,Scombridae,Sphingidae,Strophariaceae,Tephritidae,Verbenaceae,Aizoaceae,Armadillidiidae,Blattidae,Drosophilidae,Ectobiidae,Grapsidae,Octopodidae,Oleaceae,Pluteaceae,Sargassaceae,Varroidae,Balaenopteridae,Botrydiaceae,Cupressaceae,Namaceae,Parmeliaceae,Pholcidae,Phrymaceae,Saxifragaceae,Schizophyllaceae,Zopheridae,Agriolimacidae,Arionidae,Boletaceae,Calyptraeidae,Cheiracanthiidae,Gobiesocidae,Lacertidae,Limacidae,Marasmiaceae,Megomphicidae,Pholadidae,Psathyrellaceae,Psilotaceae,Russulaceae,Strongylocentrotidae,Tricholomataceae,Cambaridae,Cochlicopidae,Desidae,Heterodontidae,Laetiporaceae,Lygaeidae,Oenonidae,Pthiridae,Tamaricaceae,Typhaceae,Zosteropidae,Zygophyllaceae,Amanitaceae,Aytoniaceae,Certhiidae,Conidae,Geomitridae,Hydnaceae,Sapindaceae,Tetraclitidae,Tubariaceae,Acarosporaceae,Cicadellidae,Dendrasteridae,Entomobryidae,Gekkonidae,Gerridae,Numididae,Omphalotaceae,Saccharomycetaceae,Thiaridae,Urolophidae,Vitaceae,Anthessiidae,Cobitidae,Ixodidae,Myrtaceae,Pompilidae,Scolopocryptopidae,Cypraeidae,Hyaloriaceae,Naticidae,Oxychilidae,Rhopalidae,Tropaeolaceae,Diplocystidiaceae,Eriophyidae,Hydnangiaceae,Juncaceae,Lonchodidae,Lumbricidae,Lycoperdaceae,Mycenaceae,Peniophoraceae,Triviidae,Aphalaridae,Blepharipodidae,Cancridae,Caudinidae,Cecidomyiidae,Discidae,Flatidae,Hippidae,Hymenogastraceae,Kalotermitidae,Pipidae,Podoscyphaceae,Sclerogibbidae,Trionychidae,Date,Vegetation Count,Regional Fuel Content,Fire Readiness (%)
2005-01-01,106.9670965802629,0.0,8.1522049169441,29.350000000000023,-14.989999999999952,14.411664874443431,0.4560549259185791,0.1582719087600708,0.3748621025027085,5.439843740235493,0.0193285401762488,1.265128475891724,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-01,0.008461538461538461,1.24676036138277,4.6433744
2005-02-01,79.3158710002899,0.0,7.4608794246478,27.970000000000027,-14.789999999999964,16.896681750276343,0.4120828509330749,0.1595321893692016,0.3771781848624403,4.605330848780183,0.631218377813523,2.3513363400811955,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-01,0.008461538461538461,1.24676036138277,4.84214
2005-03-01,21.488219499588,-1.3423914424492978e-05,1.5594915281207,35.410000000000025,-16.409999999999968,21.122265812464207,0.4219126105308532,0.1608462035655975,0.3762364891893917,5.733196671297659,0.0026880016956493,0.9002691397959247,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-03-01,0.008461538461538461,1.24676036138277,12.2015085
2005-04-01,25.1134783029556,0.0,0.9161780212005001,41.23000000000002,4.390000000000043,26.58508210570153,0.405202567577362,0.1552707105875015,0.3398890128479003,7.516459984655336,0.5443100471203525,2.228174009222738,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-04-01,0.008461538461538461,1.24676036138277,15.015642
2005-05-01,16.484476769051,-2.960211986646755e-05,0.5558066724338,54.55000000000001,5.710000000000036,32.68519740456412,0.4041993319988251,0.1537333130836486,0.3145221228996532,4.839250976534501,0.2709181214055026,1.5073260111427589,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-05-01,0.008461538461538461,1.24676036138277,9.203228
2005-06-01,1.818662881817,0.0,0.05141015968571667,56.25000000000006,10.630000000000052,34.98889772245957,0.4026743471622467,0.1515188366174698,0.2741607852833382,5.549039931320027,0.110928691493976,1.9520812909423844,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-06-01,0.008461538461538461,1.24676036138277,77.91783
2005-07-01,11.6113126277923,-1.4901161193847656e-05,0.1522822931505,60.25000000000006,17.310000000000002,38.975760391061215,0.401743084192276,0.1491573750972747,0.2647848125116656,3.513606382350174,0.0984880454984103,1.3709195129995135,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-07-01,0.008461538461538461,1.24676036138277,65.74689
2005-08-01,5.8489788711426005,-1.4901161193847656e-05,0.10574479408269999,57.09000000000003,11.890000000000043,38.282626128243294,0.400965929031372,0.1480689346790313,0.2639076848096687,3.367990220743373,0.0494000366609768,1.3415596540880326,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-08-01,0.008461538461538461,1.24676036138277,70.5786
2005-09-01,25.8361995220184,-1.5567081845802022e-05,0.6143547172982999,52.650000000000034,16.870000000000005,34.291831436524376,0.4012529551982879,0.1484996676445007,0.269377124991092,3.7635562094746975,0.1968225097454751,1.2661583260904845,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-09-01,0.008461538461538461,1.24676036138277,31.497768
2005-10-01,32.4483513832092,0.0,1.0804678552206999,45.670000000000016,7.630000000000052,29.341972714018823,0.4028619527816772,0.1505419015884399,0.2959245029883646,5.6495357332881975,0.2274484137227334,1.266255309973018,1089.3098039215686,121.0078431372549,0,13,111.18039215686274,3089.2235294117645,5721.031372549019,843.7803921568628,5810.133333333336,17158.10588235294,326.10980392156864,0,21605.47450980392,7.0,0,237.0,21353.894117647105,0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,658421.522363852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-01,0.008461538461538461,1.24676036138277,14.958374
