Land_use,Area in start year,Area in end year,Percent change
cemetery,,,
park,,0.0,
forest,,,
grass,,,
plant_nursery,,,
greenhouse_horticulture,0.0,,
animal_keeping,0.0,,
brownfield,,,
churchyard,,0.0,
retail,,,
recreation_ground,,,
basin,,0.0,
meadow,,,
commercial,,,
Maintenance Area,0.0,,
industrial,,,
landfill,,,
reservoir,,0.0,
flowerbed,0.0,,
apiary,,,
village_green,,,
recreation,,,
military,,,
orchard,,,
traffic_island,0.0,,
religious,0.0,,
unknown,,,
residential,,,
farmyard,,,
construction,,,
municipial,0.0,,
