Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
El Segundo Blue Butterfly,N/A,Preserve,V,N/A,N/A,2.48,WDPA_Protected Area,"(33.91662674659386, -118.42173913201718)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.67,Global Ecosystem Typology,"(33.96166675199523, -118.37166845572293)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.68,Global Ecosystem Typology,"(33.93333438944101, -118.35833398204483)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.26,Global Ecosystem Typology,"(33.89499871392432, -118.36833484686035)",N/A
Episodic arid rivers,N/A,Global Ecosystem Typology,N/A,F1.6,N/A,1.5,Global Ecosystem Typology,"(33.91166685432391, -118.39666617671519)",N/A
Rocky Shorelines,N/A,Global Ecosystem Typology,N/A,MT1.1,N/A,1.85,Global Ecosystem Typology,"(33.939071122036324, -118.40792326636101)",N/A
Sandy Shorelines,N/A,Global Ecosystem Typology,N/A,MT1.3,N/A,1.85,Global Ecosystem Typology,"(33.939071122036324, -118.40792326636101)",N/A
Coastal shrublands and grasslands,N/A,Global Ecosystem Typology,N/A,MT2.1,N/A,1.85,Global Ecosystem Typology,"(33.939071122036324, -118.40792326636101)",N/A
Artificial shorelines,N/A,Global Ecosystem Typology,N/A,MT3.1,N/A,1.85,Global Ecosystem Typology,"(33.939071122036324, -118.40792326636101)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,2.41,Global Ecosystem Typology,"(33.92000090995893, -118.37166845572293)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.35,Global Ecosystem Typology,"(33.95333268201598, -118.41000067903754)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.22,Global Ecosystem Typology,"(33.95333268536425, -118.38833212667755)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,1.14,Global Ecosystem Typology,"(33.91547671165291, -118.39285632851629)",N/A
Sea caves,N/A,Global Ecosystem Typology,N/A,SM1.3,N/A,1.85,Global Ecosystem Typology,"(33.939071122036324, -118.40792326636101)",N/A
Palos Verdes,N/A,KBA,N/A,N/A,,0.0,KBA downloaded shp,"(33.60531257017237, -118.24906641158745)","POLYGON ((-118.28465403738294 33.7088317358564, -118.27807438906815 33.70734351954363, -118.26673863114289 33.703325124560735, -118.24372684963234 33.71128036052732, -118.20614861809183 33.72322896057154, -118.1836564625658 33.72325205512852, -118.18313040284721 33.71988120917122, -118.10416771322869 33.657547528508594, -117.83372702682716 33.534642763222834, -117.79968661509876 33.47913792090737, -117.84161134514149 33.42130507303213, -117.98717242150403 33.376815030503465, -118.07778761052545 33.3457802494392, -118.13925585971738 33.34064135111247, -118.14606740632611 33.33861871144724, -118.2319118737406 33.39330875340107, -118.3042146739299 33.50951485631148, -118.36402490439856 33.55740460333235, -118.5085605601525 33.609028296009434, -118.61580753204328 33.677621839513364, -118.6498783724053 33.73142356455492, -118.6525947457721 33.80659902371586, -118.59535005434758 33.88699719997533, -118.48644072666734 33.92242872815749, -118.42988688910363 33.916804269662386, -118.42597921312611 33.90975769897414, -118.41943359479093 33.89671083251229, -118.41424220471286 33.88678186001752, -118.40847812606476 33.87555662894877, -118.403737971432 33.86546158786776, -118.39938004725768 33.85303194368879, -118.3956475786932 33.84385933262275, -118.3910640327538 33.84060006893981, -118.39094227869346 33.8281622549444, -118.3912542375405 33.815609780251556, -118.39403236199827 33.80434337143975, -118.40264325478236 33.801147332732235, -118.40875486107116 33.79684213289361, -118.40701807177561 33.79183405521734, -118.4179212325011 33.78681278479875, -118.42333771703315 33.78170368696888, -118.42457018134844 33.77757885832012, -118.42826845913491 33.77448222437065, -118.42698390960112 33.77239852229265, -118.4235635364276 33.77233895588303, -118.42175773406031 33.768718095414215, -118.42446564529718 33.76700799104438, -118.422313052806 33.76611282577253, -118.42240015435429 33.76379641572387, -118.42043793463478 33.76273052073637, -118.41811195022579 33.76256284134956, -118.41871922213765 33.760425598886, -118.41703496452324 33.75736323148229, -118.41555965055234 33.75454275309651, -118.41354527374912 33.75298162867698, -118.41477794737189 33.75160622903313, -118.41316332626 33.7489497809174, -118.41375393532167 33.74689970715799, -118.41186128832425 33.74394905974004, -118.41125399575117 33.74241068170876, -118.41111509734361 33.740998079239326, -118.40469117467829 33.74122925085839, -118.40347563911452 33.74083278435582, -118.40290310774965 33.73897606911927, -118.40078498990417 33.73833602555433, -118.39840660676467 33.736137290742796, -118.39463902575068 33.73821258955254, -118.39095803783852 33.73970076826485, -118.38967364281493 33.73943648861379, -118.38403087445944 33.74198847635094, -118.38021188196342 33.74198729162217, -118.3759060861267 33.74002408471727, -118.37519382990423 33.73739180961645, -118.37387454880663 33.73692588992973, -118.37196506019428 33.73854988465368, -118.36972561858147 33.7378779211678, -118.36974286892986 33.73660616327327, -118.36776348689686 33.73819836321642, -118.36250323286743 33.737574921823224, -118.35811067594398 33.735234053226556, -118.35469015724338 33.73226531599092, -118.35210371170767 33.727909437561415, -118.34503709476219 33.72637697007466, -118.34213815678017 33.725774301242524, -118.33894351316955 33.723937753678655, -118.3337352787816 33.72217780646461, -118.3290300578336 33.719979399567556, -118.32425573847398 33.71866115271065, -118.32236338971725 33.71808720810611, -118.31870012646397 33.71538315508223, -118.31738047166716 33.713673520393705, -118.31486318562855 33.7147464116541, -118.3114953091019 33.71396994924987, -118.30937730444417 33.712709176518736, -118.30514111097399 33.71161572072641, -118.3018769153025 33.71026635252862, -118.2976404837788 33.709539595665746, -118.29533178744745 33.70748335144162, -118.29519270219033 33.705973824032895, -118.29309234313969 33.704979359159225, -118.29048756298903 33.7052851257865, -118.28802255530671 33.70577418646595, -118.28465403738294 33.7088317358564))"
