Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Wilderness,N/A,Park,V,N/A,N/A,1.59,WDPA_Protected Area,"(33.93530349966252, -118.10243725434094)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.52,Global Ecosystem Typology,"(33.90666641521914, -118.04666687555266)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.74,Global Ecosystem Typology,"(33.940000860512846, -118.13833260201348)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.69,Global Ecosystem Typology,"(33.928334967324965, -118.12999855301798)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.87,Global Ecosystem Typology,"(33.9599999458637, -118.08833272097554)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,1.86,Global Ecosystem Typology,"(33.917777902031894, -118.10833354711654)",N/A
Episodic arid rivers,N/A,Global Ecosystem Typology,N/A,F1.6,N/A,4.39,Global Ecosystem Typology,"(33.96468310515065, -118.08849186937616)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,1.67,Global Ecosystem Typology,"(33.934524720280585, -118.07619006595516)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,1.41,Global Ecosystem Typology,"(33.92833498522107, -118.10500080507613)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.78,Global Ecosystem Typology,"(33.903332791406825, -118.1216662666599)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,2.56,Global Ecosystem Typology,"(33.92000090667724, -118.06333497896931)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.82,Global Ecosystem Typology,"(33.92500135738282, -118.03809467970811)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.27,Global Ecosystem Typology,"(33.961666757651834, -118.10500080507613)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,2.44,Global Ecosystem Typology,"(33.90333278649335, -118.09333313254733)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.63,Global Ecosystem Typology,"(33.890000972888984, -118.06333497896931)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.78,Global Ecosystem Typology,"(33.95333268063139, -118.1133349041764)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.94,Global Ecosystem Typology,"(33.88500051915646, -118.1133349041764)",N/A
