Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,2.78,Global Ecosystem Typology,"(34.06140383907524, -118.06228061443026)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,1.07,Global Ecosystem Typology,"(34.06166654205028, -118.08833272097554)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,2.53,Global Ecosystem Typology,"(34.0733342500022, -118.07999864772542)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.83,Global Ecosystem Typology,"(34.020000720666395, -118.05500091865854)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.5,Global Ecosystem Typology,"(34.01166665625101, -118.08833272097554)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.7,Global Ecosystem Typology,"(34.02000071859507, -118.07999864772542)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,2.72,Global Ecosystem Typology,"(34.07500106867808, -118.1011909591023)",N/A
Episodic arid rivers,N/A,Global Ecosystem Typology,N/A,F1.6,N/A,3.37,Global Ecosystem Typology,"(34.025641550904226, -118.07243594393587)",N/A
Annual croplands,N/A,Global Ecosystem Typology,N/A,T7.1,N/A,3.7,Global Ecosystem Typology,"(34.02000071859507, -118.07999864772542)",N/A
Annual croplands,N/A,Global Ecosystem Typology,N/A,T7.1,N/A,4.35,Global Ecosystem Typology,"(34.0200007248654, -118.06333497896931)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,2.51,Global Ecosystem Typology,"(34.0366670359922, -118.11000127642838)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.9,Global Ecosystem Typology,"(34.08166651156808, -118.1133349041764)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,1.09,Global Ecosystem Typology,"(34.06166657146535, -118.09333313254733)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.2,Global Ecosystem Typology,"(34.02833476784464, -118.05500091865854)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,1.98,Global Ecosystem Typology,"(34.04259230731812, -118.07222216910492)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.94,Global Ecosystem Typology,"(34.086666939516434, -118.07999864772542)",N/A
