Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Verdugo Mountains Open Spac,N/A,Open Space,V,N/A,N/A,2.85,WDPA_Protected Area,"(34.204764437573225, -118.2397424122317)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,1.67,Global Ecosystem Typology,"(34.18333236739502, -118.22618975641561)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.76,Global Ecosystem Typology,"(34.145369624823104, -118.24259201417762)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.67,Global Ecosystem Typology,"(34.1949981185537, -118.19666659065615)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,2.01,Global Ecosystem Typology,"(34.161666363615794, -118.23833238663538)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.64,Global Ecosystem Typology,"(34.220000297371186, -118.25500050451672)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,2.72,Global Ecosystem Typology,"(34.20333218997978, -118.23833238663538)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.61,Global Ecosystem Typology,"(34.211666235782914, -118.24666644303383)",N/A
Episodic arid rivers,N/A,Global Ecosystem Typology,N/A,F1.6,N/A,4.42,Global Ecosystem Typology,"(34.15333228795741, -118.27999827155463)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,1.62,Global Ecosystem Typology,"(34.17000043009775, -118.22999831800401)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.05,Global Ecosystem Typology,"(34.16833359326226, -118.20166699343845)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,2.5,Global Ecosystem Typology,"(34.19772646820426, -118.22802926646527)",N/A
