Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2024,2025
Accipiter cooperii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,11,0,1,1,0,0
Accipiter striatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1,0,0,0,0,0
Actitis macularius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,1,2,0,4,0,0
Aeonium haworthii,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,0,1,0,0,0,0
Aeronautes saxatalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,0,1,0,1,0,1
Agelaius phoeniceus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,0,0,0,7,0,0
Alopochen aegyptiaca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,0,1,2,5,1,1
Anas platyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,2,6,3,8,5,3
Anax junius,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Anax,0,0,0,0,2,0
Anemopsis californica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Piperales,Saururaceae,Anemopsis,0,0,0,0,1,0
Anser albifrons,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,0,3,0,1,0,0
Anser anser,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,0,2,0,0,0,2
Anser caerulescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,1,1,2,3,0,1
Anser cygnoides,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,1,3,0,0,0,2
Anser rossii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,0,4,0,0,0,0
Anthus rubescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,0,0,1,0,0,0
Aphelocoma californica,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,8,4,6,0,3,0
Aphis nerii,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,1,0,0,0,2,0
Apis mellifera,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,1,2,0,0,3,0
Aratinga mitrata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,0,0,0,1,0,0
Ardea alba,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,0,0,2,7,2,0
Ardea herodias,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,0,1,1,8,0,0
Armadillidium vulgare,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,0,3,0,0,2,0
Asclepias curassavica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,1,0,0,0,1,0
Asparagus aethiopicus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,0,0,0,0,1,0
Aythya collaris,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,0,0,0,1,0,0
Baccharis salicifolia,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,0,0,0,0,0,1
Batrachoseps major,Not Found,Unknown,Unknown,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,0,0,1,0,0,0
Bellis perennis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,0,1,0,0,0,0
Bipalium kewense,Not Found,Unknown,Unknown,Animalia,Platyhelminthes,Unknown,Tricladida,Geoplanidae,Bipalium,1,0,0,0,0,0
Bombus melanopygus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,0,0,0,0,1,0
Bombus vosnesenskii,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,0,1,0,0,0,0
Borago officinalis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Borago,0,0,0,0,1,0
Branta canadensis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,2,8,4,6,2,2
Brotogeris chiriri,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,1,2,0,0,0,0
Bucephala albeola,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,1,0,0,0,0,0
Buteo jamaicensis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,10,3,7,8,1,1
Buteo lineatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,0,0,1,0,0,0
Butorides virescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,0,2,2,3,0,0
Cairina moschata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cairina,1,4,2,8,3,1
Calypte anna,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,4,0,1,1,0,0
Canis latrans,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,0,1,0,0,1,0
Capsella bursa-pastoris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella,0,0,0,0,1,0
Cardellina pusilla,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,1,0,0,0,0,0
Charadrius vociferus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,0,0,1,0,0,0
Cheiracanthium inclusum,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,0,0,0,0,1,0
Chenopodium album,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,0,1,0,0,0,0
Chlorophyllum molybdites,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,0,1,0,0,0,0
Chondestes grammacus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Chondestes,0,2,0,0,0,0
Chrysoperla comanche,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Neuroptera,Chrysopidae,Chrysoperla,1,0,0,0,0,0
Cistothorus palustris,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,0,0,0,1,0,0
Cladosporium ramotenellum,Not Found,Unknown,Unknown,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,1,0,0,0,0,0
Clogmia albipunctatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,Clogmia,0,1,0,0,0,0
Coccinella septempunctata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,0,2,0,0,2,0
Cochlicella barbara,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Stylommatophora,Geomitridae,Cochlicella,0,0,0,0,1,0
Colaptes auratus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,0,0,3,4,0,0
Columba livia,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,20,11,12,7,6,2
Condylostylus longicornis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Condylostylus,0,0,0,0,1,0
Cordyline fruticosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Cordyline,0,0,0,0,1,0
Cornu aspersum,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,0,5,0,0,27,0
