Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2024,2025
Abronia maritima,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,Abronia,0,0,0,0,0,1
Acacia baileyana,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,0,0,0,0,1,0
Acacia cyclops,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,1,0,0,0,0,1
Acacia longifolia,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,0,1,0,0,2,0
Accipiter striatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1,0,0,0,0,0
Acmispon glaber,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon,1,0,0,0,0,0
Actitis macularius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,0,1,0,0,0,0
Aechmophorus clarkii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,0,0,0,0,1,0
Aechmophorus occidentalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,2,0,1,0,2,1
Aeronautes saxatalis,188786704,Least Concern,Decreasing,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,0,0,0,1,0,1
Agelaius phoeniceus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,0,4,1,5,6,1
Agelaius tricolor,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,1,0,0,0,0,0
Agrocybe pediades,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,0,0,0,0,1,0
Alopochen aegyptiaca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,0,0,1,0,0,1
Ambrosia chamissonis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,0,0,1,1,0,0
Anas acuta,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,2,0,1,1,0,1
Anas carolinensis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,1,0,0,1,0,0
Anas crecca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,1,1,1,1,0,0
Anas platyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,10,1,4,2,6,1
Anniella stebbinsi,Not Found,Unknown,Unknown,Animalia,Chordata,Squamata,Unknown,Anguidae,Anniella,1,0,0,0,0,0
Anser albifrons,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,0,0,1,1,0,0
Anser caerulescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,1,0,0,0,0,0
Anthopleura sola,Not Found,Unknown,Unknown,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,1,0,0,0,3,0
Anthus rubescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,0,4,1,1,0,1
Aphelocoma californica,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,1,0,0,0,1,3
Apis mellifera,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,1,0,3,4,0,1
Aplysia vaccaria,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,0,0,0,0,0,1
Aratinga mitrata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,1,2,0,0,0,1
Ardea alba,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,3,4,3,5,0,1
Ardea herodias,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,2,3,1,1,0,1
Arenaria interpres,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,0,0,0,0,1,0
Arenaria melanocephala,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,0,0,0,1,1,1
Argopecten ventricosus,Not Found,Unknown,Unknown,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Argopecten,0,0,1,0,0,0
Armadillidium vulgare,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,0,1,0,0,1,0
Armillaria mellea,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,0,0,0,1,0,0
Artemisia californica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,0,1,1,1,0,0
Artemisia douglasiana,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,0,0,0,0,0,1
Asparagus aethiopicus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,0,0,0,0,1,0
Athene cunicularia,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,0,0,0,0,0,3
Aythya affinis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,2,0,4,4,1,1
Aythya americana,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,0,0,1,1,3,0
Aythya collaris,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,0,1,0,3,0,1
Aythya marila,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,0,1,1,1,0,0
