Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2025
Accipiter cooperii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,2,0,2,0,0
Accipiter striatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,0,0,2,0,0
Actitis macularius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,1,0,0,0,0
Agelaius phoeniceus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,0,0,1,0,0
Alopochen aegyptiaca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,0,1,0,0,1
Anas acuta,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,0,0,0,1,0
Anas crecca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,0,0,0,2,0
Anas platyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,1,6,2,0,11
Anser albifrons,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,0,0,0,1,0
Anthus rubescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,1,2,0,0,0
Aphelocoma californica,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,5,4,1,0,1
Apis mellifera,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,3,4,0,1,0
Ardea alba,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,2,0,2,1,2
Ardea herodias,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,0,0,1,0,0
Armadillidium vulgare,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,3,4,0,1,0
Athene cunicularia,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Strigiformes,Strigidae,Athene,0,0,0,1,0
Baccharis salicifolia,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,0,0,0,0,1
Bellis perennis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,0,1,0,0,0
Bombycilla cedrorum,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,2,4,1,6,0
Branta canadensis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,0,2,0,1,0
Brotogeris chiriri,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,1,1,1,9,0
Bubo virginianus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,0,0,0,1,0
Buteo jamaicensis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,6,6,4,0,1
Buteo lineatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,1,0,1,5,0
Butorides virescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,0,0,0,0,3
Cairina moschata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cairina,0,0,1,0,3
Calendula officinalis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Calendula,0,1,0,0,0
Calidris minutilla,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,1,0,1,0,0
Calypte anna,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,4,6,6,12,0
Cardellina pusilla,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,0,0,1,0,0
Cathartes aura,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,0,1,0,0,0
Catharus guttatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,0,0,0,2,0
Certhia americana,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Certhiidae,Certhia,0,0,1,0,0
Charadrius vociferus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,0,0,1,0,0
Coccinella septempunctata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,3,0,0,0,0
Colaptes auratus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,0,4,14,12,0
Columba livia,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,8,7,3,0,1
