Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2024,2025
Accipiter striatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,0,0,0,0,1,0
Aceria aloinis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,0,0,0,1,1,0
Achillea millefolium,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,0,0,0,1,0,0
Acmispon glaber,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon,0,0,1,0,0,0
Actitis macularius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,0,1,1,0,2,1
Aeronautes saxatalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,0,0,0,1,0,1
Aesculus californica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,0,0,0,0,0,4
Agave americana,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,0,0,0,0,0,1
Ageratina adenophora,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratina,0,0,0,2,0,0
Agrocybe pediades,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,0,0,0,1,0,0
Aix sponsa,136999461,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,0,0,0,1,0,0
Allograpta obliqua,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Allograpta,1,0,3,0,1,0
Alnus rhombifolia,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,0,0,0,0,1,0
Alopochen aegyptiaca,131910647,Least Concern,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,2,0,1,1,0,2
Alternaria alternata,Not Found,Unknown,Unknown,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,1,0,0,0,0,0
Amazona finschi,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,0,1,0,0,0,0
Amazona viridigenalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,3,1,0,0,0,0
Anas platyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,10,0,2,2,6,2
