Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2024,2025
Abortiporus biennis,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,0,0,0,0,3,0
Acacia podalyriifolia,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,0,0,0,0,1,0
Accipiter cooperii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,2,2,0,0,0,0
Accipiter striatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,2,0,1,0,0,0
Achillea millefolium,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,1,0,0,0,0,0
Acmispon glaber,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon,0,0,0,0,0,1
Aeronautes saxatalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,0,1,0,0,0,0
Agaricus californicus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,0,0,0,0,1,0
Agaricus xanthodermus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,0,0,0,2,1,0
Agrocybe pediades,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,0,0,0,1,0,0
Akamptogonus novarae,Not Found,Unknown,Unknown,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Akamptogonus,1,0,0,0,0,0
Allacrotelsa spinulata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Zygentoma,Lepismatidae,Allacrotelsa,0,0,1,0,0,0
Allograpta obliqua,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Allograpta,0,0,1,0,0,0
Alopochen aegyptiaca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,0,0,2,0,0,2
Alphitobius laevigatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Alphitobius,0,0,1,0,0,0
Amanita novinupta,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,0,0,0,0,1,0
Amazona viridigenalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,2,0,1,0,0,0
Amphibolips quercuspomiformis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Amphibolips,0,0,1,0,0,3
Anas acuta,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,0,1,0,0,0,0
Anas platyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,2,7,4,4,0,10
Anicla infecta,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Anicla,0,0,1,0,0,0
Anser caerulescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,0,0,2,0,0,0
Anser cygnoides,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,1,3,0,0,1,2
Anser rossii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,0,1,0,0,0,0
Anthomyia ochripes,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Anthomyiidae,Anthomyia,0,0,1,0,0,0
Anthus rubescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,0,2,0,0,0,0
Aphelocoma californica,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,1,2,0,1,1,3
Aphis nerii,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,2,0,0,0,0,0
Aphis spiraecola,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,2,0,0,0,0,0
Apis mellifera,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,4,0,2,5,2,36
Aquarius remigis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,Aquarius,1,0,0,0,0,0
Arabidopsis thaliana,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis,1,0,0,0,0,0
Aratinga mitrata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,0,1,0,1,1,0
Araujia sericifera,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Araujia,0,1,0,0,0,0
Arctotheca prostrata,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arctotheca,1,0,0,0,0,0
Ardea alba,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,0,0,1,0,0,0
Ardea herodias,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,0,0,0,0,0,2
Armadillidium vulgare,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,4,0,1,1,2,2
Armillaria mellea,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,1,0,2,1,1,1
