Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2025
Accipiter cooperii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1,0,0,2,0
Accipiter striatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1,0,0,0,0
Achillea millefolium,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,1,0,0,0,0
Actitis macularius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,2,0,1,4,2
Aechmophorus occidentalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Aechmophorus,0,0,1,0,0
Aeronautes saxatalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,2,1,0,0,0
Agaricus campestris,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,0,0,0,1,0
Agelaius phoeniceus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,1,2,1,1,0
Agelaius tricolor,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,0,3,1,4,0
Agrotis ipsilon,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrotis,1,0,0,0,0
Alectoris chukar,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,0,0,0,0,2
Alopochen aegyptiaca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,3,8,8,6,1
Amazona autumnalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,0,0,0,1,0
Amazona finschi,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,0,0,0,2,0
Amazona oratrix,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,0,0,0,3,0
Amazona viridigenalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,0,2,4,0,7
Anas acuta,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,2,2,0,0,0
Anas crecca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,1,1,0,0,0
Anas platyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,7,4,4,5,6
Anser albifrons,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,3,3,0,0,0
Anser anser,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,1,0,0,1,1
Anser caerulescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,1,0,0,0,0
Anser cygnoides,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,1,1,0,1,0
Anser rossii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,0,0,0,2,0
