Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2024,2025
Acacia dealbata,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,0,0,0,0,0,1
Accipiter striatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1,0,0,0,0,0
Acer negundo,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,1,0,0,0,2,0
Acmispon glaber,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon,1,0,0,0,2,0
Acourtia microcephala,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acourtia,0,0,0,1,2,0
Actitis macularius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,5,3,9,3,0,6
Adenostoma fasciculatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Adenostoma,0,0,1,0,0,0
Aeronautes saxatalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,0,0,2,0,0,1
Aesculus californica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,1,0,0,0,0,0
Agaricus californicus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,0,0,0,1,1,0
Agelaius phoeniceus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,4,4,1,0,0,4
Agelaius tricolor,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,0,1,0,0,0,0
Ageratina adenophora,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratina,1,0,0,0,0,0
Agrocybe pediades,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,0,0,0,2,0,0
Alopecosa kochi,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Alopecosa,0,0,0,0,1,0
Alopochen aegyptiaca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,1,2,3,1,1,0
Amazona finschi,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,0,0,0,0,0,2
Amazona viridigenalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,3,0,0,0,0,0
Anas acuta,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,0,4,1,0,0,0
Anas crecca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,8,3,1,0,0,3
Anas platyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,9,13,7,5,2,4
Aneides lugubris,53975004,Least Concern,Stable,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,0,0,0,0,1,0
Anniella stebbinsi,Not Found,Unknown,Unknown,Animalia,Chordata,Squamata,Unknown,Anguidae,Anniella,0,0,0,1,0,0
Anthus rubescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,2,0,2,1,0,3
Aphelocoma californica,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,2,2,0,0,2,5
Aphonopelma steindachneri,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,1,0,0,0,0,0
Apis mellifera,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,0,3,5,1,4,3
Aquarius remigis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Gerridae,Aquarius,1,0,0,0,0,0
Arctostaphylos bicolor,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,1,0,0,1,0,0
Arctostaphylos glandulosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,0,0,0,2,0,0
Arctostaphylos glauca,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,0,0,0,2,0,0
Ardea alba,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,6,8,6,3,0,4
Ardea herodias,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,7,7,4,4,1,6
Armadillidium vulgare,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,0,0,0,2,0,0
