Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2024,2025
Abortiporus biennis,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Abortiporus,0,0,0,0,1,0
Accipiter cooperii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,2,1,1,0,0,0
Accipiter striatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,0,1,0,0,0,0
Achillea millefolium,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,0,0,0,0,1,0
Agaricus californicus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,0,0,0,1,0,0
Ageratina adenophora,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratina,0,0,0,1,0,0
Agrocybe pediades,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,0,0,0,0,1,0
Ailanthus altissima,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus,0,0,1,0,0,0
Allacrotelsa spinulata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Zygentoma,Lepismatidae,Allacrotelsa,0,0,0,1,0,0
Allograpta obliqua,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Allograpta,0,0,2,0,1,0
Alopochen aegyptiaca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,0,0,0,2,1,0
Amazona autumnalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,0,1,0,0,0,0
Amazona finschi,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,0,0,0,0,1,0
Amazona viridigenalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,2,0,1,1,3,1
Anas platyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,3,3,1,2,3,1
Anthrenus verbasci,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,Anthrenus,0,0,0,0,1,0
Anthus rubescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,0,0,0,0,0,1
Aphelocoma californica,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,4,1,1,1,0,0
Aphis nerii,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,0,0,0,1,0,0
Apis mellifera,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,0,1,2,0,1,1
Araneus gemma,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,0,0,0,0,1,0
Aratinga mitrata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Aratinga,0,0,0,0,1,0
Arctostaphylos glauca,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,0,0,1,0,0,0
Ardea alba,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,0,4,0,0,0,4
Ardea herodias,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,1,2,1,0,0,0
Armadillidium vulgare,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,0,0,0,0,3,0
Armillaria mellea,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,0,0,0,1,1,0
Artemisia californica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,1,0,0,0,0,0
Arundo donax,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arundo,0,0,0,1,0,0
Asclepias curassavica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,0,1,0,0,0,0
Asemosyrphus polygrammus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Asemosyrphus,0,0,0,0,1,0
Asio flammeus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,1,0,0,0,0,0
Asparagus setaceus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,0,0,1,0,0,0
Asterella californica,Not Found,Unknown,Unknown,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Aytoniaceae,Asterella,0,0,0,0,1,0
