Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2024,2025
Accipiter cooperii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1,0,0,0,0,0
Acmispon glaber,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon,0,0,0,1,3,0
Adenostoma fasciculatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Adenostoma,0,0,0,0,1,0
Adiantum capillus-veneris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Adiantum,0,0,0,1,1,0
Aeonium haworthii,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aeonium,1,0,0,0,0,0
Aesculus californica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,0,0,0,0,1,0
Agaricus deserticola,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,0,0,1,0,0,0
Agave americana,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Agave,3,0,0,1,1,0
Ageratina adenophora,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ageratina,1,0,0,1,1,1
Aimophila ruficeps,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Aimophila,0,1,3,0,0,1
Aix sponsa,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,2,0,0,0,0,0
Alconeura quadrimaculata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Alconeura,0,0,0,0,1,0
Alnus rhombifolia,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,0,1,0,1,1,0
Amaranthus cruentus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,0,2,0,0,0,0
Amazona oratrix,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,1,0,0,0,1,1
Amazona viridigenalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,1,1,1,0,0,3
Amphibolips quercuspomiformis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Amphibolips,0,1,0,0,0,0
Anas crecca,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,0,1,0,0,0,0
Anas platyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,0,0,1,0,1,1
