gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
895207375			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				0BB1AE99-7B4F-4754-8483-FA7D50FE634A	191727-1		Medina & al.															PRESENT	Pliego																					LM4115	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, medium-high areas									37.65	22.26	100.0																																			E. Rico														Dryopteris submontana (Fraser-Jenk. & Jermy) Fraser-Jenk.								Plantae	Tracheophyta	Polypodiopsida	Polypodiales		Dryopteridaceae				Dryopteris	Dryopteris			submontana			SPECIES				SYNONYM			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:33.392Z	1750.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5654289	5654380	6	7707728	7228684	392	2373	2651126		5654380	Dryopteris mindshelkensis	Dryopteris mindshelkensis Pavlov	Dryopteris submontana (Fraser-Jenk. & Jermy) Fraser-Jenk.		EML	2025-02-06T20:40:33.392Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206837			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				2DDEC5C4-AA5A-4BBE-8082-F6A0DC6B5723	191100-1		Medina & al.															PRESENT	Pliego																					LM4113	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, high areas									37.65	22.26	100.0																																			E. Rico														Achillea umbellata subsp. umbellata								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Achillea	Achillea			umbellata	umbellata		SUBSPECIES	subsp.			ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:39.736Z	1950.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	6303222	6303222	6	7707728	220	414	3065	3119995		3120236	Achillea umbellata	Achillea umbellata subsp. umbellata	Achillea umbellata Sibth. & Sm. subsp. umbellata		EML	2025-02-06T20:40:39.736Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	
895206789			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				DBE5D691-942D-4CF8-96D7-0B83E591B76F	191099-1		Medina & al.															PRESENT	Pliego																					LM4112	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, high areas									37.65	22.26	100.0																																			E. Rico														Arenaria filicaulis Fenzl								Plantae	Tracheophyta	Magnoliopsida	Caryophyllales		Caryophyllaceae				Arenaria	Arenaria			filicaulis			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:55.042Z	1950.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	7267675	7267675	6	7707728	220	422	2518	7937950		7267675	Arenaria filicaulis	Arenaria filicaulis Fenzl	Arenaria filicaulis Fenzl		EML	2025-02-06T20:40:55.042Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206766			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				50FC0859-3E47-47B9-B630-5E1CE0B0EBE7	191098-1		Medina & al.															PRESENT	Pliego																					LM4111	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, high areas									37.65	22.26	100.0																																			E. Rico														Poa pumila Host								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Poa	Poa			pumila			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:44.198Z	1950.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	4113102	4113102	6	7707728	196	1369	3073	2704173		4113102	Poa pumila	Poa pumila Host	Poa pumila Host		EML	2025-02-06T20:40:44.198Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206753			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				158FC256-A8EB-45D3-B427-EDFD3EF42C4F	191097-1		Medina & al.															PRESENT	Pliego																					LM4110	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, high areas									37.65	22.26	100.0																																			E. Rico														Danthoniastrum compactum (Boiss. & Heldr.) Holub								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Danthoniastrum	Danthoniastrum			compactum			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:35.279Z	1950.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	8259934	8259934	6	7707728	196	1369	3073	8387185		8259934	Danthoniastrum compactum	Danthoniastrum compactum (Boiss. & Heldr.) Holub	Danthoniastrum compactum (Boiss. & Heldr.) Holub		EML	2025-02-06T20:40:35.279Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206726			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				8A1E6BEE-F4C0-4583-BD54-375EBF18A46B	191096-1		Medina & al.															PRESENT	Pliego																					LM4109	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, high areas									37.65	22.26	100.0																																			E. Rico														Campanula versicolor Andrews								Plantae	Tracheophyta	Magnoliopsida	Asterales		Campanulaceae				Campanula	Campanula			versicolor			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:47.870Z	1950.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5411465	5411465	6	7707728	220	414	8801	3161935		5411465	Campanula versicolor	Campanula versicolor Andrews	Campanula versicolor Andrews		EML	2025-02-06T20:40:47.870Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206702			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				AE83F62F-1EEE-4278-9A39-20D0A2BA93B4	191095-1		Medina & al.															PRESENT	Pliego																					LM4108	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, high areas									37.65	22.26	100.0																																	cf																Arabis alpina L.								Plantae	Tracheophyta	Magnoliopsida	Brassicales		Brassicaceae				Arabis	Arabis			alpina			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:51.424Z	1950.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	5375020	5375020	6	7707728	220	7225535	3112	5374837		5375020	Arabis alpina	Arabis alpina L.	Arabis alpina L.		EML	2025-02-06T20:40:51.424Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206687			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				5FD1B526-1040-4D13-84F5-592287C3E6F6	191094-1		Medina & al.															PRESENT	Pliego																					LM4106	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, high areas									37.65	22.26	100.0																																			E. Rico														Silene parnassica Boiss. & Spruner								Plantae	Tracheophyta	Magnoliopsida	Caryophyllales		Caryophyllaceae				Silene	Silene			parnassica			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:44.664Z	1950.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	7495442	7495442	6	7707728	220	422	2518	3085897		7495442	Silene parnassica	Silene parnassica Boiss. & Spruner	Silene parnassica Boiss. & Spruner		EML	2025-02-06T20:40:44.664Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206662			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				BC4B1B56-6223-4025-9974-DB8E3FB1BA8F	191093-1		Medina & al.															PRESENT	Pliego																					LM4103	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, high areas									37.65	22.26	100.0																																			E. Rico														Euphorbia herniariifolia Willd.								Plantae	Tracheophyta	Magnoliopsida	Malpighiales		Euphorbiaceae				Euphorbia	Euphorbia			herniariifolia			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:52.371Z	1950.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3065295	3065295	6	7707728	220	1414	4691	11397237		3065295	Euphorbia herniariifolia	Euphorbia herniariifolia Willd.	Euphorbia herniariifolia Willd.		EML	2025-02-06T20:40:52.371Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
895206637			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				EBFF8A5A-50F5-4923-9835-0C7DBDCEA58C	191092-1		Medina & al.															PRESENT	Pliego																					LM4102	2007-06-25		176	176	2007	6	25	25/06/2007	limestone rock										EUROPE				GR	Arkadia			Trípoli, Mt. Menalo, pr. Levidhi, from Ski Station to Ostrakina Peak, high areas									37.65	22.26	100.0																																																	Bromus tectorum L.								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Bromus	Bromus			tectorum			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:54.656Z	1950.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2703746	2703746	6	7707728	196	1369	3073	2703642		2703746	Bromus tectorum	Bromus tectorum L.	Bromus tectorum L.		EML	2025-02-06T20:40:54.656Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
