gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
5204814374				CC_BY_NC_4_0	2025-06-28T12:49:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/348926837			User 988852		1				Unknown									PRESENT																					Observation		2025-05-07	09:18	127	127	2025	5	7		unknown	unknown									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.592731	22.04122	14.0																																							Approved | Expert | Evidence										Smyrnium perfoliatum subsp. rotundifolium (Mill.) Bonnier & Layens								Plantae	Tracheophyta	Magnoliopsida	Apiales		Apiaceae				Smyrnium	Smyrnium			perfoliatum	rotundifolium		SUBSPECIES		Perfoliate Alexanders subsp. rotundifolium		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:41:46.047Z							StillImage	true	false	7612759	7612759	6	7707728	220	1351	6720	3034781		6027089	Smyrnium perfoliatum	Smyrnium perfoliatum subsp. rotundifolium (Mill.) Bonnier & Layens	Smyrnium perfoliatum subsp. rotundifolium		DWC_ARCHIVE	2025-07-01T23:41:46.047Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	
5199123456				CC_BY_4_0	2025-06-15T13:58:23Z		https://www.inaturalist.org/observations/247968690	juliusp					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/247968690	247968690		juliusp															PRESENT																							2024-05-09T07:22	07:22:00+03:00	130	130	2024	5	9	2024/05/09 07:22											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Peloponnes, Griechenland								37.617031	22.154251																																553968468				juliusp		2024-10-18T21:03:37				126808								Prunus mahaleb L.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Rosaceae				Prunus	Prunus			mahaleb			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T03:39:51.266Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	3022789	3022789	6	7707728	220	691	5015	3020559		3022789	Prunus mahaleb	Prunus mahaleb L.	Prunus mahaleb		DWC_ARCHIVE	2025-06-25T03:39:51.266Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	LC
5198007687				CC_BY_NC_4_0	2025-06-18T19:11:00Z			Stichting Observation International									HUMAN_OBSERVATION		WGS84 coordinates generalized with formula: `coord = floor(coord * 100) / 100`		https://observation.org/observation/357380620			User 125003		1				Unknown									PRESENT																					Observation		2025-05-26	10:53	146	146	2025	5	26		unknown	field observation									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.64	22.08	1000.0																																							Approved | Automated										Anacamptis pyramidalis (L.) Rich.								Plantae	Tracheophyta	Liliopsida	Asparagales		Orchidaceae				Anacamptis	Anacamptis			pyramidalis			SPECIES		Pyramidal Orchid		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:36:47.173Z								true	false	2808330	2808330	6	7707728	196	1169	7689	2808313		2808330	Anacamptis pyramidalis	Anacamptis pyramidalis (L.) Rich.	Anacamptis pyramidalis		DWC_ARCHIVE	2025-07-01T23:36:47.173Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5197990624				CC_BY_NC_4_0	2025-06-18T19:10:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/357380469			User 125003		1				Unknown									PRESENT																					Observation		2025-05-26	15:51	146	146	2025	5	26		unknown	field observation									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.571716	22.044352	2.0																																							Approved | Automated										Centranthus ruber (L.) DC.								Plantae	Tracheophyta	Magnoliopsida	Dipsacales		Caprifoliaceae				Centranthus	Centranthus			ruber			SPECIES		Red Valerian		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:42:37.072Z								true	false	2888740	2888740	6	7707728	220	946	6710	8069836		2888740	Centranthus ruber	Centranthus ruber (L.) DC.	Centranthus ruber		DWC_ARCHIVE	2025-07-01T23:42:37.072Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5197690972				CC_BY_NC_4_0	2025-06-18T19:10:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/357380453			User 125003		1				Imago									PRESENT																					Observation		2025-05-26	15:55	146	146	2025	5	26		unknown	seen									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.571705	22.04438	2.0																																							Approved | Automated										Iphiclides podalirius (Linnaeus, 1758)								Animalia	Arthropoda	Insecta	Lepidoptera		Papilionidae				Iphiclides	Iphiclides			podalirius			SPECIES		Scarce Swallowtail		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:42:15.414Z								true	false	1938214	1938214	1	54	216	797	9417	1938213		1938214	Iphiclides podalirius	Iphiclides podalirius (Linnaeus, 1758)	Iphiclides podalirius		DWC_ARCHIVE	2025-07-01T23:42:15.414Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5180490102				CC_BY_NC_4_0	2025-06-07T17:28:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/355006631			User 1103880		1				Unknown									PRESENT																					Observation		2025-06-07	10:51	158	158	2025	6	7		unknown	unknown									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.578702	22.043499																																								Approved | Expert | Evidence										Bituminaria bituminosa (L.) C.H.Stirt.								Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Bituminaria	Bituminaria			bituminosa			SPECIES		Arabian scurf pea		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:36:13.622Z							StillImage	true	false	2952882	2952882	6	7707728	220	1370	5386	2952881		2952882	Bituminaria bituminosa	Bituminaria bituminosa (L.) C.H.Stirt.	Bituminaria bituminosa		DWC_ARCHIVE	2025-07-01T23:36:13.622Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5177209078				CC_BY_NC_4_0	2025-06-02T07:41:00Z		https://www.inaturalist.org/observations/285947698	kypraios					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/285947698	285947698		kypraios															PRESENT																							2025-06-01T13:44:04	13:44:04+03:00	152	152	2025	6	1	2025-06-01 13:44:04											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Τοπική Κοινότητα Βυτίνας, Ελλάδα								37.652447	22.165933																																641794392				kypraios		2025-06-01T13:56:19				74011								Zamenis situla (Linnaeus, 1758)								Animalia	Chordata	Squamata			Colubridae				Zamenis	Zamenis			situla			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T02:49:12.256Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2458374	2458374	1	44	11592253		6172	9014394		2458374	Zamenis situla	Zamenis situla (Linnaeus, 1758)	Zamenis situla		DWC_ARCHIVE	2025-06-25T02:49:12.256Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	LC
5176678070				CC_BY_NC_4_0	2025-06-01T16:43:54Z		https://www.inaturalist.org/observations/285874277	antigonik					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION			"{""leaves"":""green leaves""}"	https://www.inaturalist.org/observations/285874277	285874277		antigonik							flowers								PRESENT																							2025-06-01T10:34:47	10:34:47+03:00	152	152	2025	6	1	2025-06-01 10:34:47											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Παλαιοχωρι, Ελάτη 220 10, Ελλάδα								37.626166	22.148963	6.0																															641658913				antigonik		2025-06-01T07:36:02				56162								Malva sylvestris L.								Plantae	Tracheophyta	Magnoliopsida	Malvales		Malvaceae				Malva	Malva			sylvestris			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T03:44:47.090Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	3152374	3152374	6	7707728	220	941	6685	3152364		3152374	Malva sylvestris	Malva sylvestris L.	Malva sylvestris		DWC_ARCHIVE	2025-06-25T03:44:47.090Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5176573708				CC_BY_NC_4_0	2025-06-01T17:58:29Z		https://www.inaturalist.org/observations/285976406	foteini20186					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION			"{""evidenceOfPresence"":""gall""}"	https://www.inaturalist.org/observations/285976406	285976406		foteini20186															PRESENT																							2025-06-01T11:54:31	11:54:31+03:00	152	152	2025	6	1	2025-06-01 11:54:31											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Τοπική Κοινότητα Ελάτης, Βυτίνα 220 10, Ελλάδα								37.624358	22.156307																																641842407				foteini20186		2025-06-01T15:32:23				545291								Plagiotrochus quercusilicis (Fabricius, 1798)								Animalia	Arthropoda	Insecta	Hymenoptera		Cynipidae				Plagiotrochus	Plagiotrochus			quercusilicis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T03:44:46.718Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1309561	1309561	1	54	216	1457	4339	1309559		1309561	Plagiotrochus quercusilicis	Plagiotrochus quercusilicis (Fabricius, 1798)	Plagiotrochus quercusilicis		DWC_ARCHIVE	2025-06-25T03:44:46.718Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5176505294				CC_BY_NC_4_0	2025-06-04T11:07:55Z		https://www.inaturalist.org/observations/285902455	antigonik					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/285902455	285902455		antigonik															PRESENT																							2025-06-01T11:57:01	11:57:01+03:00	152	152	2025	6	1	2025-06-01 11:57:01											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Peloponnese, Peloponnese, Western Greece and the Ionian Islands, GR								37.622786	22.156599	7.0																															641992019				Pantazi Katerina		2025-06-01T20:05:46				51610								Veronica chamaedrys L.								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Plantaginaceae				Veronica	Veronica			chamaedrys			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T02:49:14.883Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	7874883	7874883	6	7707728	220	408	2420	3172047		7874883	Veronica chamaedrys	Veronica chamaedrys L.	Veronica chamaedrys		DWC_ARCHIVE	2025-06-25T02:49:14.883Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
