gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
5195118321				CC_BY_4_0	2025-06-05T17:41:33Z								W	Herbarium W			PRESERVED_SPECIMEN				https://w.jacq.org/W0365267	0365267	s.n.	Karl,R. s.n. [2018-05-12]															PRESENT																							2018-05-12		132	132	2018	5	12											Argolís	EUROPE				GR				"Griechenland, Nomos Argolida, Oligirtos-Gebirge, E-Hang NW von Skotini, oberhalb eines Forstweges, 1110 m, 37°48'17"" N, 22°26'28"" E"									37.80472	22.44111	20.0																																			Karl														Hammatolobium lotoides Fenzl							Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Hammatolobium	Hammatolobium			lotoides			SPECIES				ACCEPTED			7f5260c2-f762-11e1-a439-00145eb45e9a	AT	2025-06-21T06:52:48.194Z	1110.0					CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2960723	2960723	6	7707728	220	1370	5386	2960722		2960723	Hammatolobium lotoides	Hammatolobium lotoides Fenzl	Hammatolobium lotoides Fenzl		BIOCASE	2025-06-21T06:52:48.194Z	2025-06-21T06:41:13.384Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.2_1	Argos-Mykines	NE
5109922362				CC_BY_4_0			https://identify.plantnet.org/k-southeastern-europe/observations/1020168860										HUMAN_OBSERVATION				o-1020168860					1													PRESENT																							2023-10-06T09:40:59.621Z		279	279	2023	10	6												EUROPE				GR													37.761312	22.341241	19.0																																																	Verbena officinalis L.								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Verbenaceae				Verbena	Verbena			officinalis			SPECIES				ACCEPTED			7a3679ef-5582-4aaa-81f0-8c2545cafc81	FR	2025-04-16T13:37:09.924Z	671.01	0.0				COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	2925529	2925529	6	7707728	220	408	6689	2925470		2925529	Verbena officinalis	Verbena officinalis L.	Verbena officinalis L.		EML	2025-04-16T13:37:09.924Z	2025-04-16T11:57:58.611Z	true		observations	false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
5109922361				CC_BY_4_0			https://identify.plantnet.org/k-southeastern-europe/observations/1020168815										HUMAN_OBSERVATION				o-1020168815					1													PRESENT																							2023-10-06T09:37:02.146Z		279	279	2023	10	6												EUROPE				GR													37.761292	22.341219	19.0																																																	Ballota nigra L.								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Lamiaceae				Ballota	Ballota			nigra			SPECIES				ACCEPTED			7a3679ef-5582-4aaa-81f0-8c2545cafc81	FR	2025-04-16T13:37:09.918Z	692.97	0.0				COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	2926894	2926894	6	7707728	220	408	2497	2926893		2926894	Ballota nigra	Ballota nigra L.	Ballota nigra L.		EML	2025-04-16T13:37:09.918Z	2025-04-16T11:57:58.611Z	true		observations	false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
5109909597				CC_BY_4_0			https://identify.plantnet.org/k-southeastern-europe/observations/1020169029										HUMAN_OBSERVATION				o-1020169029					1													PRESENT																							2023-10-06T09:56:55.575Z		279	279	2023	10	6												EUROPE				GR													37.750907	22.362224	19.0																																																	Plumbago europaea L.								Plantae	Tracheophyta	Magnoliopsida	Caryophyllales		Plumbaginaceae				Plumbago	Plumbago			europaea			SPECIES				ACCEPTED			7a3679ef-5582-4aaa-81f0-8c2545cafc81	FR	2025-04-16T13:37:14.337Z	674.13	0.0				COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	4090052	4090052	6	7707728	220	422	2419	3082281		4090052	Plumbago europaea	Plumbago europaea L.	Plumbago europaea L.		EML	2025-04-16T13:37:14.337Z	2025-04-16T11:57:58.611Z	true		observations	false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
5109909595				CC_BY_4_0			https://identify.plantnet.org/k-southeastern-europe/observations/1020168958										HUMAN_OBSERVATION				o-1020168958					1													PRESENT																							2023-10-06T09:49:22.182Z		279	279	2023	10	6												EUROPE				GR													37.761157	22.340665	19.0																																																	Berula erecta (Huds.) Coville								Plantae	Tracheophyta	Magnoliopsida	Apiales		Apiaceae				Berula	Berula			erecta			SPECIES				ACCEPTED			7a3679ef-5582-4aaa-81f0-8c2545cafc81	FR	2025-04-16T13:37:14.316Z	661.61	0.0				COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	3034699	3034699	6	7707728	220	1351	6720	7607352		3034699	Berula erecta	Berula erecta (Huds.) Coville	Berula erecta (Huds.) Coville		EML	2025-04-16T13:37:14.316Z	2025-04-16T11:57:58.611Z	true		observations	false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	LC
5109767506				CC_BY_4_0			https://identify.plantnet.org/k-southeastern-europe/observations/1020168937										HUMAN_OBSERVATION				o-1020168937					1													PRESENT																							2023-10-06T09:47:52.898Z		279	279	2023	10	6												EUROPE				GR													37.761303	22.341151	19.0																																																	Phragmites australis (Cav.) Trin. ex Steud.								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Phragmites	Phragmites			australis			SPECIES				ACCEPTED			7a3679ef-5582-4aaa-81f0-8c2545cafc81	FR	2025-04-16T13:36:31.391Z	660.98	0.0				COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES	StillImage	true	false	5290149	5290149	6	7707728	196	1369	3073	2705783		5290149	Phragmites australis	Phragmites australis (Cav.) Trin. ex Steud.	Phragmites australis (Cav.) Trin. ex Steud.		EML	2025-04-16T13:36:31.391Z	2025-04-16T11:57:58.611Z	true		observations	false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	LC
5062971345				CC_BY_NC_4_0	2025-04-17T09:05:16Z		https://www.inaturalist.org/observations/256687494	Adam Kantor					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/256687494	256687494		Adam Kantor	https://orcid.org/0000-0003-2034-0048														PRESENT																							2024-04-30T13:44	13:44:00+03:00	121	121	2024	4	30	2024/04/30 1:44 PM											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Peloponnese Region, Greece								37.799925	22.451369	30.0																															578341973				Adam Kantor	https://orcid.org/0000-0003-2034-0048	2024-12-29T22:54:08				59278								Anchusa cretica Mill.								Plantae	Tracheophyta	Magnoliopsida	Boraginales		Boraginaceae				Anchusella	Anchusa			cretica			SPECIES				SYNONYM			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T02:09:04.143Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5662272	4065790	6	7707728	220	7226464	2498	8292315		4065790	Anchusella cretica	Anchusella cretica (Mill.) Bigazzi, E.Nardi & Selvi	Anchusa cretica		DWC_ARCHIVE	2025-06-25T02:09:04.143Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.2_1	Argos-Mykines	NE
5008432162				CC_BY_NC_4_0	2025-04-17T09:05:15Z		https://www.inaturalist.org/observations/256687492	Adam Kantor					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/256687492	256687492		Adam Kantor	https://orcid.org/0000-0003-2034-0048														PRESENT																							2024-04-30T13:54	13:54:00+03:00	121	121	2024	4	30	2024/04/30 1:54 PM											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Peloponnese Region, Greece								37.800879	22.452753	50.0																															578341970				Adam Kantor	https://orcid.org/0000-0003-2034-0048	2024-12-29T22:54:08				61068								Lagurus ovatus L.								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Lagurus	Lagurus			ovatus			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T04:44:35.120Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	5290177	5290177	6	7707728	196	1369	3073	2706017		5290177	Lagurus ovatus	Lagurus ovatus L.	Lagurus ovatus		DWC_ARCHIVE	2025-06-25T04:44:35.120Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.2_1	Argos-Mykines	NE
5004408139				CC_BY_4_0	2023-11-19T13:54:23Z								GJO	Herbarium GJO			PRESERVED_SPECIMEN				https://gjo.jacq.org/GJO0130643	0130643	s.n.	Karl,Rainer s.n. [2018-05-12]															PRESENT																							2018-05-12		132	132	2018	5	12											Argolís	EUROPE				GR				"Griechenland, [Region Peloponnes]  Nomos Argolida; Oligartos-Gebirge, E-Hang NW von Skotini, oberhalb eines Forstweges; 1110 m [Seehöhe]; 37°48'17""N, 22°26'28""E"									37.80472	22.44111	30.0																																			orig.														Hammatolobium lotoides Fenzl							Fabaceae	Plantae	Tracheophyta	Magnoliopsida	Fabales		Fabaceae				Hammatolobium	Hammatolobium			lotoides			SPECIES				ACCEPTED			5830fa3c-497c-4d37-b771-bd6c84997f2c	AT	2025-06-28T07:24:53.377Z	1110.0					CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	true	false	2960723	2960723	6	7707728	220	1370	5386	2960722		2960723	Hammatolobium lotoides	Hammatolobium lotoides Fenzl	Hammatolobium lotoides Fenzl		BIOCASE	2025-06-28T07:24:53.377Z	2025-06-28T07:16:54.974Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.2_1	Argos-Mykines	NE
5004384784				CC_BY_4_0	2023-11-19T13:54:23Z								GJO	Herbarium GJO			PRESERVED_SPECIMEN				https://gjo.jacq.org/GJO0130642	0130642	s.n.	Karl,Rainer s.n. [2018-05-12]															PRESENT																							2018-05-12		132	132	2018	5	12											Argolís	EUROPE				GR				"Griechenland, [Region Peloponnes]  Nomos Argolida; Oligirtos-Gebirge, an der Straße zwischen Skotini und der Passhöhe; 1150 m [Seehöhe]; 37°47'56""N, 22°25'17""E"									37.79889	22.42139	30.0																																			orig.														Pterocephalus perennis subsp. perennis							Dipsacaceae	Plantae	Tracheophyta	Magnoliopsida	Dipsacales		Caprifoliaceae				Pterocephalus	Pterocephalus			perennis	perennis		SUBSPECIES				ACCEPTED			5830fa3c-497c-4d37-b771-bd6c84997f2c	AT	2025-06-28T07:24:53.569Z	1150.0					CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY	StillImage	true	false	7742543	7742543	6	7707728	220	946	6710	3234649		8320238	Pterocephalus perennis	Pterocephalus perennis subsp. perennis	Pterocephalus perennis subsp. perennis Coult.		BIOCASE	2025-06-28T07:24:53.569Z	2025-06-28T07:16:54.974Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.2_1	Argos-Mykines	
