gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
5168361955				CC_BY_NC_4_0	2025-05-29T16:22:38Z		https://www.inaturalist.org/observations/284550496	anastasisdafnis					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/284550496	284550496		anastasisdafnis															PRESENT																							2025-05-24T17:08:01	17:08:01+03:00	144	144	2025	5	24	2025-05-24 17:08:01+03:00											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Εθνική Οδός Πύργου-Βυτίνας, Νυμφασία, Πελοπόννησος, GR								37.695847	22.198708	6.0																															639537439				Agapakis Georgios		2025-05-28T13:06:31				1094883								Drymadusa dorsalis (Brullé, 1832)								Animalia	Arthropoda	Insecta	Orthoptera		Tettigoniidae				Drymadusa	Drymadusa			dorsalis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T06:54:35.401Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	1693282	1693282	1	54	216	1458	3991	1693280		1693282	Drymadusa dorsalis	Drymadusa dorsalis (Brullé, 1832)	Drymadusa dorsalis		DWC_ARCHIVE	2025-06-25T06:54:35.401Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5167935168				CC_BY_NC_4_0	2025-05-27T19:24:45Z		https://www.inaturalist.org/observations/284574397	anastasisdafnis					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/284574397	284574397		anastasisdafnis															PRESENT																							2025-05-24T17:01:14	17:01:14+03:00	144	144	2025	5	24	2025-05-24 17:01:14+03:00											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Εθνική Οδός Πύργου-Βυτίνας, Νυμφασία, Πελοπόννησος, GR								37.696305	22.198922	4.0																															639079943				anastasisdafnis		2025-05-27T15:51:09				146721								Philaeus chrysops (Poda, 1761)								Animalia	Arthropoda	Arachnida	Araneae		Salticidae				Philaeus	Philaeus			chrysops			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T02:49:07.020Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	2176858	2176858	1	54	367	1496	5644	2176854		2176858	Philaeus chrysops	Philaeus chrysops (Poda, 1761)	Philaeus chrysops		DWC_ARCHIVE	2025-06-25T02:49:07.020Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
5154913242				CC_BY_NC_4_0	2025-05-09T05:52:18Z		https://www.inaturalist.org/observations/279561241	pittsspecies2021					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/279561241	279561241		pittsspecies2021															PRESENT																							2022-06-21		172	172	2022	6	21	2022-06-21											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Τοπική Κοινότητα Βλαχέρνης, Λεβίδι 220 02, Greece								37.712685	22.250815	207825.0																															628890538				pittsspecies2021		2025-05-08T21:28:07				358384								Palpares libelluloides (Linnaeus, 1764)								Animalia	Arthropoda	Insecta	Neuroptera		Myrmeleontidae				Palpares	Palpares			libelluloides			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T02:11:23.284Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4423165	4423165	1	54	216	1501	5471	2097336		4423165	Palpares libelluloides	Palpares libelluloides (Linnaeus, 1764)	Palpares libelluloides		DWC_ARCHIVE	2025-06-25T02:11:23.284Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
5052531031				CC_BY_NC_4_0	2025-01-25T21:58:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/106057979			User 44963		1				Imago									PRESENT																					Observation		2015-07-07		188	188	2015	7	7		unknown	unknown									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.686528	22.298514	10.0																																							Approved | Expert | Evidence										Mantispa Illiger, 1798								Animalia	Arthropoda	Insecta	Neuroptera		Mantispidae				Mantispa	Mantispa						GENUS				ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:19:03.682Z								true	false	2007011	2007011	1	54	216	1501	5470	2007011				Mantispa Illiger, 1798	Mantispa spec.		DWC_ARCHIVE	2025-07-01T23:19:03.682Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	
5029322552				CC0_1_0			https://herbarium.bgbm.org/object/B100617087						B	Herbarium Berolinense			PRESERVED_SPECIMEN				https://herbarium.bgbm.org/object/B100617087	B 10 0617087	10079a	Mansion,G.															PRESENT																							2010-05-17		137	137	2010	5	17												EUROPE				GR				Greece (GR), Peloponnese, Nomos Arcadia, between Vlacherna and Panaghista, Roadside, N37 43 59 / E22 13 09, 663 m									37.73306	22.21917																																				G. Mansion														Anchusa L.								Plantae	Tracheophyta	Magnoliopsida	Boraginales		Boraginaceae				Anchusa	Anchusa						GENUS				ACCEPTED			85714c48-f762-11e1-a439-00145eb45e9a	DE	2025-06-28T00:41:36.856Z	663.0					GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY	StillImage	true	false	5341194	5341194	6	7707728	220	7226464	2498	5341194				Anchusa L.	Anchusa L.		BIOCASE	2025-06-28T00:41:36.856Z	2025-06-28T00:27:10.321Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
5005270322				CC_BY_NC_4_0	2025-01-03T13:59:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/106047898			User 44963		1				Imago									PRESENT																					Observation		2015-07-07		188	188	2015	7	7		unknown	unknown									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.686503	22.298529	10.0																																							Approved | Automated										Acontia lucida Hufnagel, 1766								Animalia	Arthropoda	Insecta	Lepidoptera		Noctuidae				Acontia	Acontia			lucida			SPECIES		Pale Shoulder		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:19:07.679Z								true	false	1763072	1763072	1	54	216	797	7015	7396883		1763072	Acontia lucida	Acontia lucida Hufnagel, 1766	Acontia lucida		DWC_ARCHIVE	2025-07-01T23:19:07.679Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
4993884091				CC_BY_NC_4_0	2024-12-30T19:42:25Z		https://www.inaturalist.org/observations/253736890	czak					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/253736890	253736890		czak						Larva									PRESENT																							2024-11-22T09:21:02	09:21:02+02:00	327	327	2024	11	22	2024-11-22 09:21:02+02:00											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Orchomenos, Peloponnese, GR								37.719475	22.314017	27.0																															569855332				Agapakis Georgios		2024-12-01T15:30:43				529301								Lampyridae								Animalia	Arthropoda	Insecta	Coleoptera		Lampyridae											FAMILY				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T04:44:04.145Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4737	4737	1	54	216	1470	4737					Lampyridae	Lampyrini		DWC_ARCHIVE	2025-06-25T04:44:04.145Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.23_1	Tripoli	NE
4985982436				CC_BY_NC_4_0	2024-10-29T19:31:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/332125942			User 143988		1				Imago									PRESENT																					Observation		2024-09-13	09:13	257	257	2024	9	13		unknown	unknown									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.695065	22.169861	19.0																																							Approved | Expert | Evidence										Spilostethus saxatilis (Scopoli, 1763)								Animalia	Arthropoda	Insecta	Hemiptera		Lygaeidae				Spilostethus	Spilostethus			saxatilis			SPECIES				ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-02T00:04:59.450Z							StillImage	true	false	4486328	4486328	1	54	216	809	7888	4407676		4486328	Spilostethus saxatilis	Spilostethus saxatilis (Scopoli, 1763)	Spilostethus saxatilis		DWC_ARCHIVE	2025-07-02T00:04:59.450Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
4976442099				CC_BY_NC_4_0	2024-10-27T19:09:19Z		https://www.inaturalist.org/observations/249134625	ward123					iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/249134625	249134625		ward123															PRESENT																							2024-09-13T09:13	09:13:00+03:00	257	257	2024	9	13	2024/09/13 09:13											EUROPE				GR	Peloponnese, Western Greece and the Ionian Islands				Peloponnesos, Griekenland								37.695023	22.169787	15.0																															556834147				ward123		2024-10-26T08:49:00				327211								Spilostethus saxatilis (Scopoli, 1763)								Animalia	Arthropoda	Insecta	Hemiptera		Lygaeidae				Spilostethus	Spilostethus			saxatilis			SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2025-06-25T02:08:07.943Z						COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED	StillImage	true	false	4486328	4486328	1	54	216	809	7888	4407676		4486328	Spilostethus saxatilis	Spilostethus saxatilis (Scopoli, 1763)	Spilostethus saxatilis		DWC_ARCHIVE	2025-06-25T02:08:07.943Z	2025-06-24T16:48:00.587Z	true			false	EUROPE	NORTH_AMERICA	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	NE
4957735882				CC_BY_NC_4_0	2024-10-10T12:23:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/329906977			User 143988		1				Unknown									PRESENT																					Observation		2024-09-12	14:48	256	256	2024	9	12		unknown	unknown									EUROPE				GR	Peloponnese			Peloponnese - Arcadia									37.692598	22.176957	5.0																																							Approved | Expert | Evidence										Upupa epops epops								Animalia	Chordata	Aves	Bucerotiformes		Upupidae				Upupa	Upupa			epops	epops		SUBSPECIES		Eurasian Hoopoe ssp epops		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:43:24.546Z							StillImage	true	false	9187376	9187376	1	44	212	716	5293	8349133		2498415	Upupa epops	Upupa epops epops	Upupa epops epops		DWC_ARCHIVE	2025-07-01T23:43:24.546Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.9_1	Gortynia	
