gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
575268194				CC0	2023-12-01T11:23:49Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00251882	E00251882	8225	Gardner, Martin Fraser & Knees, Sabina Georgina															PRESENT	HERBARIUM SHEET																						2008-05-11		132	132	2008	5	11	11th May 2008	Rocky west-facing slopes on edge of Abies cephalonica forest									Europe excl. Britain and Ireland	EUROPE				GR	Akhaia			Greece:Akhaia:Above Planitero near to the church of Aborania		915m							37.923611	22.164444																																																		Orlaya daucoides (L.) Greuter								Plantae	Tracheophyta	Magnoliopsida	Apiales		Apiaceae				Orlaya	Orlaya			daucoides			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-07-01T17:17:04.317Z	915.0	0.0				CONTINENT_DERIVED_FROM_COORDINATES		true	false	3638303	3638303	6	7707728	220	1351	6720	6027056		3638303	Orlaya daucoides	Orlaya daucoides (L.) Greuter	Orlaya daucoides (L.) Greuter		DWC_ARCHIVE	2025-07-01T17:17:04.317Z	2025-07-01T16:33:36.555Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	NE
575267053				CC0	2023-12-01T11:23:51Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00282062	E00282062	8222	Gardner, Martin Fraser & Knees, Sabina Georgina															PRESENT	HERBARIUM SHEET																						2008-05-11		132	132	2008	5	11	11th May 2008	Shaded (by Platanus orientali.) vertical limestone outcrops									Europe excl. Britain and Ireland	EUROPE				GR	Akhaia			Greece:Akhaia:Planitero		655m							37.898056	22.166944																																																		Carum multiflorum (Sm.) Boiss.								Plantae	Tracheophyta	Magnoliopsida	Apiales		Apiaceae				Hellenocarum	Carum			multiflorum			SPECIES			ICBN	SYNONYM			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-07-01T17:15:42.824Z	655.0	0.0				CONTINENT_DERIVED_FROM_COORDINATES	StillImage;InteractiveResource	true	false	3631815	6026553	6	7707728	220	1351	6720	6026552		6026553	Hellenocarum multiflorum	Hellenocarum multiflorum (Sm.) H.Wolff	Carum multiflorum Boiss.		DWC_ARCHIVE	2025-07-01T17:15:42.824Z	2025-07-01T16:33:36.555Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	NE
575267051				CC0	2023-12-01T11:23:51Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00282061	E00282061	8223	Gardner, Martin Fraser & Knees, Sabina Georgina															PRESENT	HERBARIUM SHEET																						2008-05-11		132	132	2008	5	11	11th May 2008	Shaded (by Platanus orientali.) vertical limestone outcrops									Europe excl. Britain and Ireland	EUROPE				GR	Akhaia			Greece:Akhaia:Planitero		655m							37.898056	22.166944																																																		Geocaryum peloponesiacum Engstrand								Plantae	Tracheophyta	Magnoliopsida	Apiales		Apiaceae				Geocaryum	Geocaryum			peloponesiacum			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-07-01T17:15:42.843Z	655.0	0.0				CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY	InteractiveResource;StillImage	true	false	6307412	6307412	6	7707728	220	1351	6720	6026735		6307412	Geocaryum peloponesiacum	Geocaryum peloponesiacum Engstrand	Geocaryum peloponnesiacum Engstr.		DWC_ARCHIVE	2025-07-01T17:15:42.843Z	2025-07-01T16:33:36.555Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	LC
575228538				CC0	2023-12-01T11:23:49Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00251883	E00251883	8238	Gardner, Martin Fraser & Knees, Sabina Georgina															PRESENT	HERBARIUM SHEET																						2008-05-12		133	133	2008	5	12	12th May 2008	Shaded roadside verge									Europe excl. Britain and Ireland	EUROPE				GR	Akhaia			Greece:Akhaia:Kerasia, 7 km south of Klietoria		562m							37.861944	22.150833																																																		Scaligeria napiformis (Willd. ex Spreng.) Grande								Plantae	Tracheophyta	Magnoliopsida	Apiales		Apiaceae				Scaligeria	Scaligeria			napiformis			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-07-01T17:17:07.863Z	562.0	0.0				CONTINENT_DERIVED_FROM_COORDINATES	StillImage;InteractiveResource	true	false	5539503	5539503	6	7707728	220	1351	6720	3232412		5539503	Scaligeria napiformis	Scaligeria napiformis (Willd. ex Spreng.) Grande	Scaligeria napiformis (Spreng.) Grande		DWC_ARCHIVE	2025-07-01T17:17:07.863Z	2025-07-01T16:33:36.555Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	NE
574914440				CC0	2023-12-01T11:42:13Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00251873	E00251873	8220	Gardner, Martin Fraser & Knees, Sabina Georgina															PRESENT	HERBARIUM SHEET																						2008-05-11		132	132	2008	5	11	11th May 2008	Shade of Platanus oriemtalis next to a small stream									Europe excl. Britain and Ireland	EUROPE				GR	Akhaia			Greece:Akhaia:Planitero		655m							37.898056	22.166944																																																		Chaerophyllum temulum L.								Plantae	Tracheophyta	Magnoliopsida	Apiales		Apiaceae				Chaerophyllum	Chaerophyllum			temulum			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-07-01T17:15:41.720Z	655.0	0.0				CONTINENT_DERIVED_FROM_COORDINATES	InteractiveResource;StillImage	true	false	3034650	3034650	6	7707728	220	1351	6720	3034649		3034650	Chaerophyllum temulum	Chaerophyllum temulum L.	Chaerophyllum temulum L.		DWC_ARCHIVE	2025-07-01T17:15:41.720Z	2025-07-01T16:33:36.555Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	NE
574791607				CC0	2023-12-01T11:42:13Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00251894	E00251894	8221	Gardner, Martin Fraser & Knees, Sabina Georgina															PRESENT	HERBARIUM SHEET																						2008-05-11		132	132	2008	5	11	11th May 2008	Shaded (by Platanus orientali.) vertical limestone outcrops									Europe excl. Britain and Ireland	EUROPE				GR	Akhaia			Greece:Akhaia:Planitero		655m							37.898056	22.166944																																																		Carum multiflorum (Sm.) Boiss.								Plantae	Tracheophyta	Magnoliopsida	Apiales		Apiaceae				Hellenocarum	Carum			multiflorum			SPECIES			ICBN	SYNONYM			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-07-01T17:16:38.517Z	655.0	0.0				CONTINENT_DERIVED_FROM_COORDINATES	StillImage;InteractiveResource	true	false	3631815	6026553	6	7707728	220	1351	6720	6026552		6026553	Hellenocarum multiflorum	Hellenocarum multiflorum (Sm.) H.Wolff	Carum multiflorum Boiss.		DWC_ARCHIVE	2025-07-01T17:16:38.517Z	2025-07-01T16:33:36.555Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	NE
574706290				CC0	2023-12-01T11:42:13Z			Royal Botanic Garden Edinburgh	PhysicalObject	https://scientific-collections.gbif.org/institution/0237598a-853a-492c-af74-a723fe251799	https://scientific-collections.gbif.org/collection/427c8cd7-4358-4a00-9ef3-2b2676d28d1e		RBGE	E	Edinburgh (E) Herbarium Specimens	E	PRESERVED_SPECIMEN				https://data.rbge.org.uk/herb/E00251888	E00251888	8224	Gardner, Martin Fraser & Knees, Sabina Georgina															PRESENT	HERBARIUM SHEET																						2008-05-11		132	132	2008	5	11	11th May 2008	Rocky west-facing slopes on edge of Abies cephalonica forest									Europe excl. Britain and Ireland	EUROPE				GR	Akhaia			Greece:Akhaia:Above Planitero near to the church of Aborania		915m							37.923611	22.164444																																																		Tordylium officinale L.								Plantae	Tracheophyta	Magnoliopsida	Apiales		Apiaceae				Tordylium	Tordylium			officinale			SPECIES			ICBN	ACCEPTED			bf2a4bf0-5f31-11de-b67e-b8a03c50a862	GB	2025-07-01T17:17:07.881Z	915.0	0.0				CONTINENT_DERIVED_FROM_COORDINATES	StillImage;InteractiveResource	true	false	3633274	3633274	6	7707728	220	1351	6720	3034901		3633274	Tordylium officinale	Tordylium officinale L.	Tordylium officinale L.		DWC_ARCHIVE	2025-07-01T17:17:07.881Z	2025-07-01T16:33:36.555Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	NE
5205197575				CC_BY_NC_4_0	2025-07-01T13:48:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/359296322			User 3267		10				Imago									PRESENT																					Observation		2025-06-27	18:48	178	178	2025	6	27		unknown	unknown									EUROPE				GR	Western Greece			Oros Chelmos Kai Ydata Stygos - N2000									37.933449	22.162228	1.0																																							Approved | Expert										Calopteryx virgo festiva Brulle, 1832								Animalia	Arthropoda	Insecta	Odonata		Calopterygidae				Calopteryx	Calopteryx			virgo	festiva		SUBSPECIES		Beautiful Demoiselle (ssp. festiva)		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:49:47.900Z								true	false	5052028	5052028	1	54	216	789	4211	1427007		1427037	Calopteryx virgo	Calopteryx virgo festiva Brulle, 1832	Calopteryx virgo festiva		DWC_ARCHIVE	2025-07-01T23:49:47.900Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	
5204967794				CC_BY_NC_4_0	2025-07-01T13:48:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/359296341			User 3267		30				Imago									PRESENT																					Observation		2025-06-27	18:47	178	178	2025	6	27		unknown	unknown									EUROPE				GR	Western Greece			Oros Chelmos Kai Ydata Stygos - N2000									37.933479	22.16223	2.0																																							Approved | Expert										Cordulegaster helladica helladica								Animalia	Arthropoda	Insecta	Odonata		Cordulegastridae				Cordulegaster	Cordulegaster			helladica	helladica		SUBSPECIES		Greek Goldenring (ssp. helladica)		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:51:48.026Z								true	false	7215843	7215843	1	54	216	789	4483	1421157		1421209	Cordulegaster helladica	Cordulegaster helladica helladica	Cordulegaster helladica helladica		DWC_ARCHIVE	2025-07-01T23:51:48.026Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	
5204937921				CC_BY_NC_4_0	2025-07-01T13:48:00Z			Stichting Observation International									HUMAN_OBSERVATION				https://observation.org/observation/359296338			User 3267		4													PRESENT																					Observation		2025-06-27	18:48	178	178	2025	6	27		unknown	unknown									EUROPE				GR	Western Greece			Oros Chelmos Kai Ydata Stygos - N2000									37.933449	22.162228	2.0																																							Approved | Expert										Cordulegaster helladica helladica								Animalia	Arthropoda	Insecta	Odonata		Cordulegastridae				Cordulegaster	Cordulegaster			helladica	helladica		SUBSPECIES		Greek Goldenring (ssp. helladica)		ACCEPTED			8a863029-f435-446a-821e-275f4f641165	NL	2025-07-01T23:24:24.960Z								true	false	7215843	7215843	1	54	216	789	4483	1421157		1421209	Cordulegaster helladica	Cordulegaster helladica helladica	Cordulegaster helladica helladica		DWC_ARCHIVE	2025-07-01T23:24:24.960Z	2025-07-01T18:22:12.617Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.3_1	West Greece	GRC.7.3.10_1	Kalavryta	
