gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	projectId	isSequenced	gbifRegion	publishedByGbifRegion	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory
895302785			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				91910F7E-52A5-4E0A-B752-9959EEB79B41	190932-1		A. Herrero & al.															PRESENT	Pliego																					AH3364	2007-06-22		173	173	2007	6	22	22/06/2007	pedregal calizo										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																			G. Mateo														Centaurea triumfettii All.								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Centaurea	Centaurea			triumfettii			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:48.555Z	1835.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3127633	3127633	6	7707728	220	414	3065	3127469		3127633	Centaurea triumfettii	Centaurea triumfettii All.	Centaurea triumfettii All.		EML	2025-02-06T20:40:48.555Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	NE
895302766			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				7293A9BD-B77E-4777-827D-A387B2DDD833	190927-1		A. Herrero & al.															PRESENT	Pliego																					AH3362	2007-06-22		173	173	2007	6	22	22/06/2007	pedregal calizo										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																			G. Mateo														Melica ciliata L.								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Melica	Melica			ciliata			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:46.805Z	1835.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2703124	2703124	6	7707728	196	1369	3073	2703093		2703124	Melica ciliata	Melica ciliata L.	Melica ciliata L.		EML	2025-02-06T20:40:46.805Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	NE
895207362			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				87DD3017-9FB1-4418-989E-CD5B43C9EAE6	191704-1		A. Herrero & al.															PRESENT	Pliego																					AH3398	2007-06-22		173	173	2007	6	22	22/06/2007	roquedo calizo										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																																	Veronica chamaedrys L.								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Plantaginaceae				Veronica	Veronica			chamaedrys			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:47.787Z	1975.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	7874883	7874883	6	7707728	220	408	2420	3172047		7874883	Veronica chamaedrys	Veronica chamaedrys L.	Veronica chamaedrys L.		EML	2025-02-06T20:40:47.787Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	NE
895207227			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				DA4AF25E-9DF3-4B43-8CA5-905F69F5B114	191536-1		A. Herrero & al.															PRESENT	Pliego																					AH3449	2007-06-22		173	173	2007	6	22	22/06/2007	roquedo calizo										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																			E. Rico														Urtica dioica L.								Plantae	Tracheophyta	Magnoliopsida	Rosales		Urticaceae				Urtica	Urtica			dioica			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:53.761Z	1975.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	7960979	7960979	6	7707728	220	691	6639	2984391		7960979	Urtica dioica	Urtica dioica L.	Urtica dioica L.		EML	2025-02-06T20:40:53.761Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	LC
895207051			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				193C5F4A-A282-4CF5-B5C8-87D7B95CAB1F	191384-1		A. Herrero & al.															PRESENT	Pliego																					AH3399	2007-06-22		173	173	2007	6	22	22/06/2007	roquedo calizo										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																	gr																Veronica hederifolia L.								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Plantaginaceae				Veronica	Veronica			hederifolia			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:36.038Z	1975.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3172070	3172070	6	7707728	220	408	2420	3172047		3172070	Veronica hederifolia	Veronica hederifolia L.	Veronica hederifolia L.		EML	2025-02-06T20:40:36.038Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	NE
895207046			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				5A85000F-E058-434E-9975-001AD20ACF52	191320-1		A. Herrero & al.															PRESENT	Pliego																					AH3401	2007-06-22		173	173	2007	6	22	22/06/2007	roquedo calizo										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																			E. Rico														Centaurea triumfettii All.								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Centaurea	Centaurea			triumfettii			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:44.624Z	1975.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3127633	3127633	6	7707728	220	414	3065	3127469		3127633	Centaurea triumfettii	Centaurea triumfettii All.	Centaurea triumfettii All.		EML	2025-02-06T20:40:44.624Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	NE
895207032			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				5A95D8B3-FDDA-46C5-A8BC-24A3CE33A85B	191339-1		A. Herrero & al.															PRESENT	Pliego																					AH3443	2007-06-22		173	173	2007	6	22	22/06/2007	pastizal pedregoso, calizas										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																			E. Rico														Carex flacca Schreb.								Plantae	Tracheophyta	Liliopsida	Poales		Cyperaceae				Carex	Carex			flacca			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:45.002Z	1975.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2727938	2727938	6	7707728	196	1369	7708	2721893		2727938	Carex flacca	Carex flacca Schreb.	Carex flacca Schreb.		EML	2025-02-06T20:40:45.002Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	NE
895207023			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				7D0D4533-15B0-46CE-8432-0D63FD768934	191343-1		A. Herrero & al.															PRESENT	Pliego																					AH3446	2007-06-22		173	173	2007	6	22	22/06/2007	roquedo calizo										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																																	Pedicularis graeca Bunge								Plantae	Tracheophyta	Magnoliopsida	Lamiales		Orobanchaceae				Pedicularis	Pedicularis			graeca			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:46.798Z	1975.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3723740	3723740	6	7707728	220	408	6651	3171670		3723740	Pedicularis graeca	Pedicularis graeca Bunge	Pedicularis graeca Bunge		EML	2025-02-06T20:40:46.798Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	NE
895207021			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				2E0BF458-9699-40F6-B72C-0548E8AC3ABD	191310-1		A. Herrero & al.															PRESENT	Pliego																					AH3382	2007-06-22		173	173	2007	6	22	22/06/2007	pastizal pedregoso, calizas										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																			E. Rico														Melica ciliata L.								Plantae	Tracheophyta	Liliopsida	Poales		Poaceae				Melica	Melica			ciliata			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:40.087Z	1975.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	2703124	2703124	6	7707728	196	1369	3073	2703093		2703124	Melica ciliata	Melica ciliata L.	Melica ciliata L.		EML	2025-02-06T20:40:40.087Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	NE
895207019			es	CC_BY_NC_4_0	2023-05-05T07:53:05Z				PhysicalObject				VAL	VAL	Colección de plantas vasculares del herbario de la Universitat de València (VAL)		PRESERVED_SPECIMEN				A6FCAEA9-BD0F-456F-A8E3-B140481069E8	191319-1		A. Herrero & al.															PRESENT	Pliego																					AH3400	2007-06-22		173	173	2007	6	22	22/06/2007	roquedo calizo										EUROPE				GR	Korinthia			Kilini									37.92	22.4	100.0																																			E. Rico														Ranunculus psilostachys Griseb.								Plantae	Tracheophyta	Magnoliopsida	Ranunculales		Ranunculaceae				Ranunculus	Ranunculus			psilostachys			SPECIES				ACCEPTED			834a4794-f762-11e1-a439-00145eb45e9a	ES	2025-02-06T20:40:50.584Z	1975.0	0.0				GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;IDENTIFIED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY		true	false	3927846	3927846	6	7707728	220	399	2410	3033294		3927846	Ranunculus psilostachys	Ranunculus psilostachys Griseb.	Ranunculus psilostachys Griseb.		EML	2025-02-06T20:40:50.584Z	2025-01-18T21:20:01.818Z	true			false	EUROPE	EUROPE	GRC	Greece	GRC.7_1	Peloponnese, Western Greece and	GRC.7.2_1	Peloponnese	GRC.7.2.19_1	Sikyona	NE
