Month,Fire Area (m2),Max Precipitation,Min Precipitation,Avg Precipitation,Max Temperature,Min Temperature,Avg Temperature,Max Soil Moisture,Min Soil Moisture,Avg Soil Moisture,Max Wind Speed,Min Wind Speed,Avg Wind Speed,Evergreen needleleaf forest,Evergreen broadleaf forest,Deciduous needleleaf forest,Deciduous broadleaf forest,Mixed forest,Wooded grassland,Other wooded land,Open shrubland,Savanna,Grassland,Permanent wetlands,Cropland,Urban and built-up,Cropland/natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated,Water,Urban areas,"('Asteraceae',)","('Sylviidae',)","('Hydropsychidae',)","('Fabaceae',)","('Aspleniaceae',)","('Lecanoraceae',)","('Rubiaceae',)","('Caprifoliaceae',)","('Collemataceae',)","('Caryophyllaceae',)","('Eumenidae',)","('Apiaceae',)","('Physciaceae',)","('Phylloscopidae',)","('Uloboridae',)","('Violaceae',)","('Rosaceae',)","('Ranunculaceae',)","('Candelariaceae',)","('Aegithalidae',)","('Amaryllidaceae',)","('Acarosporaceae',)","('Brassicaceae',)","('Boraginaceae',)","('Apocynaceae',)","('Asparagaceae',)","('Acrocephalidae',)","('Cladoniaceae',)","('Cettiidae',)","('Parmeliaceae',)","('Papaveraceae',)","('Orobanchaceae',)","('Megachilidae',)","('Liliaceae',)","('Cistaceae',)","('Convolvulaceae',)","('Cyperaceae',)","('Ramalinaceae',)","('Psoraceae',)","('Placynthiaceae',)","('Salticidae',)","('Scrophulariaceae',)","('Saxifragaceae',)","('Upupidae',)","('Zygaenidae',)",Population,"('Plantaginaceae',)","('Lacertidae',)","('Lamiaceae',)","('Sphingidae',)","('Arbaciidae',)","('Cheloniidae',)","('Erysiphaceae',)","('Empusidae',)","('Erebidae',)","('Phoenicopteridae',)","('Pinaceae',)","('Strombidae',)","('Poaceae',)","('Campanulaceae',)","('Polygalaceae',)","('Cupressaceae',)","('Orchidaceae',)","('Potamidae',)","('Crassulaceae',)","('Berberidaceae',)","('Fagaceae',)","('Geraniaceae',)","('Colubridae',)","('Rhamnaceae',)","('Cystopteridaceae',)","('Juncaceae',)","('Plumbaginaceae',)","('Linaceae',)","('Dryopteridaceae',)","('Araceae',)","('Euphorbiaceae',)","('Ericaceae',)","('Anacardiaceae',)","('Caliciaceae',)","('Grossulariaceae',)","('Gekkonidae',)","('Polygonaceae',)","('Malvaceae',)","('Peltigeraceae',)","('Primulaceae',)","('Sapindaceae',)","('Thesiaceae',)","('Viscaceae',)","('Vitaceae',)","('Ascalaphidae',)","('Lasiocampidae',)","('Anguidae',)","('Acrididae',)","('Julidae',)","('Crambidae',)","('Meliaceae',)","('Mustelidae',)","('Lycosidae',)","('Mantidae',)","('Pyrrhocoridae',)","('Raphidiidae',)","('Testudinidae',)","('Tortricidae',)","('Depressariidae',)","('Geometridae',)","('Cossidae',)","('Pyralidae',)","('Psychidae',)","('Notodontidae',)","('Ixodidae',)","('Cochlostomatidae',)","('Brachodidae',)","('Cucurbitaceae',)","('Lamnidae',)","('Pisauridae',)","('Oecophoridae',)","('Nolidae',)","('Clausiliidae',)","('Enidae',)","('Achatinidae',)","('Orculidae',)","('Helicidae',)","('Geomitridae',)","('Pomatiidae',)","('Ferussaciidae',)","('Chondrinidae',)","('Arcidae',)","('Cardiidae',)","('Iridaceae',)","('Haliplidae',)","('Cypraeidae',)","('Capparaceae',)","('Margaritidae',)","('Mactridae',)","('Lauriidae',)","('Oxychilidae',)","('Moraceae',)","('Pyramidulidae',)","('Stratiomyidae',)","('Tellinidae',)","('Trissexodontidae',)","('Vitrinidae',)","('Tamaricaceae',)","('Leiodidae',)","('Amaranthaceae',)","('Araneidae',)","('Cactaceae',)","('Selaginellaceae',)","('Astropectinidae',)","('Buthidae',)","('Glareolidae',)","('Eresidae',)","('Cicadidae',)","('Asphodelaceae',)","('Armadillidiidae',)","('Armadillidae',)","('Lygaeidae',)","('Masaridae',)","('Nemopteridae',)","('Lampyridae',)","('Psammophiidae',)","('Scutigeridae',)","('Sapygidae',)","('Ranidae',)","('Sparidae',)","('Solanaceae',)","('Typhlopidae',)","('Unknown',)","('Testudinellidae',)","('Lepadellidae',)","('Asplanchnidae',)","('Resedaceae',)","('Morchellaceae',)","('Pteridaceae',)","('Poeciliidae',)","('Salamandridae',)","('Endomychidae',)","('Certhiidae',)","('Callionymidae',)","('Labridae',)","('Mugilidae',)","('Polyporaceae',)","('Trachinidae',)","('Haematommataceae',)","('Pannariaceae',)","('Massalongiaceae',)","('Sarcoscyphaceae',)","('Catillariaceae',)","('Gryllidae',)","('Colchicaceae',)","('Crabronidae',)","('Biebersteiniaceae',)","('Platycnemididae',)","('Pompilidae',)","('Oedemeridae',)","('Mutillidae',)","('Schizopetalidae',)","('Sparassidae',)","('Cicadellidae',)","('Viburnaceae',)","('Hypericaceae',)","('Hexanchidae',)","('Cynipidae',)","('Milesinaceae',)","('Otididae',)","('Tetragnathidae',)","('Anyphaenidae',)","('Glaphyridae',)","('Oxalidaceae',)","('Oecobiidae',)","('Pholcidae',)","('Sicariidae',)","('Zoropsidae',)","('Erinaceidae',)","('Hydnangiaceae',)","('Helvellaceae',)","('Oleaceae',)","('Araliaceae',)","('Urticaceae',)","('Amelidae',)","('Gloeophyllaceae',)","('Targioniaceae',)","('Bovidae',)","('Lauraceae',)","('Geotrupidae',)","('Cydnidae',)","('Dasytidae',)","('Boidae',)","('Porcellionidae',)","('Leporidae',)","('Meloidae',)","('Pucciniaceae',)","('Smilacaceae',)",Vegetation Count,Regional Fuel Content
2005-01-01,0,20.72301805009147,0.0004351138613856165,3.1580577328844743,12.250000000000057,1.8500000000000227,7.226839795488729,0.40374475717544556,0.39922666549682617,0.3939908075809478,2.089313816705704,0.11781882515834705,0.9479301559177596,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
2005-02-01,0,16.232702136051103,0.0008545133596271626,3.493430479540752,13.490000000000009,-2.829999999999984,6.183581274192477,0.40271005034446716,0.4023973345756531,0.4006769371986389,3.248234034473019,0.34572705361187805,1.3664532782514458,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
2005-03-01,0,22.91315793991089,-4.5997694542165846e-06,2.2799513088703245,24.130000000000052,5.810000000000002,15.6181600530021,0.3998565673828125,0.39561161398887634,0.39634655694961546,3.1364198614521337,0.5282491330493427,1.2714868329477418,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
2005-04-01,0,9.31808352470398,0.0,0.6422270051700086,30.650000000000034,3.930000000000007,19.299023695238077,0.37280184030532837,0.36996352672576904,0.36779958906173704,3.9505835924886656,1.7906736073707006,2.439362100955299,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
2005-05-01,0,15.924488663983993,0.0,2.1472710016096417,34.670000000000016,17.210000000000036,27.237311560784292,0.3064916431903839,0.3049444854259491,0.3016905240058899,3.495710634700525,0.7788458577231646,1.4140452893821167,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
2005-06-01,0,26.512432098286354,0.0,1.753431245844675,38.25000000000006,21.690000000000055,29.434717154525003,0.28419411182403564,0.2813680171966553,0.2793816782474518,2.2157307698868025,0.5055372751886256,0.9452824821841351,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
2005-07-01,0,10.678961873054504,0.0,0.6891686114612294,42.79000000000002,27.650000000000034,35.73672653603353,0.2120080441236496,0.20882704854011536,0.20779577639102936,2.7955536888035026,0.01177100313529267,0.9954802991454175,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
2005-08-01,0,8.432497495448388,0.0,0.23208422834820552,42.23000000000002,26.750000000000057,35.10622088407223,0.20331457257270813,0.19870565831661224,0.19973706765174865,2.5754408526203494,0.7484049228094531,1.4318094822651959,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
2005-09-01,0,22.89983630180359,0.0,1.9404222955507975,36.27000000000004,15.170000000000016,27.411120094861587,0.26138511300086975,0.24850590527057648,0.24946156275272366,2.283936088659334,0.6714265636289294,1.0713350002154636,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
2005-10-01,0,4.865050315856934,0.0,0.543139755237357,25.470000000000027,13.210000000000036,19.153128757855484,0.279852032661438,0.2788362503051758,0.2727929986476898,2.9121714282489064,1.0792674250168521,1.427939994621045,8.996078431372549,0,0,0,0,0,1.8705882352941177,19.909803921568624,208.90588235294115,308.6549019607843,0,0,0,0,0,0,0,0,8.0,8.0,8.0,7.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15025.141034175373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387755102040816,2.5519502810636077
