Month,Fire Area (m2),Max Precipitation,Min Precipitation,Avg Precipitation,Max Temperature,Min Temperature,Avg Temperature,Max Soil Moisture,Min Soil Moisture,Avg Soil Moisture,Max Wind Speed,Min Wind Speed,Avg Wind Speed,Evergreen needleleaf forest,Evergreen broadleaf forest,Deciduous needleleaf forest,Deciduous broadleaf forest,Mixed forest,Wooded grassland,Other wooded land,Open shrubland,Savanna,Grassland,Permanent wetlands,Cropland,Urban and built-up,Cropland/natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated,Water,Urban areas,"('Asteraceae',)","('Fabaceae',)","('Salicaceae',)","('Hydropsychidae',)","('Sylviidae',)","('Acrocephalidae',)","('Ranunculaceae',)","('Apiaceae',)","('Cettiidae',)","('Aegithalidae',)","('Poaceae',)","('Lecanoraceae',)","('Lamiaceae',)","('Primulaceae',)","('Rubiaceae',)","('Rosaceae',)","('Campanulaceae',)","('Caryophyllaceae',)","('Caprifoliaceae',)","('Boraginaceae',)","('Brassicaceae',)","('Cistaceae',)","('Convolvulaceae',)","('Eumenidae',)","('Collemataceae',)","('Aspleniaceae',)","('Zygaenidae',)","('Scrophulariaceae',)","('Violaceae',)","('Salticidae',)","('Phylloscopidae',)","('Physciaceae',)","('Orobanchaceae',)","('Orchidaceae',)","('Asparagaceae',)","('Acarosporaceae',)","('Cucurbitaceae',)","('Cyperaceae',)","('Candelariaceae',)","('Buthidae',)","('Cladoniaceae',)","('Amaryllidaceae',)","('Gentianaceae',)","('Euscorpiidae',)","('Papaveraceae',)","('Parmeliaceae',)","('Liliaceae',)","('Linaceae',)","('Megachilidae',)","('Nemopteridae',)","('Polycentropodidae',)","('Placynthiaceae',)","('Ramalinaceae',)","('Polygonaceae',)","('Psoraceae',)","('Saxifragaceae',)","('Sphingidae',)","('Uloboridae',)",Population,"('Plantaginaceae',)","('Erebidae',)","('Lasiocampidae',)","('Pyralidae',)","('Aeshnidae',)","('Lacertidae',)","('Empusidae',)","('Cheloniidae',)","('Platycnemididae',)","('Polygalaceae',)","('Crassulaceae',)","('Cupressaceae',)","('Berberidaceae',)","('Potamidae',)","('Juncaceae',)","('Rhamnaceae',)","('Colubridae',)","('Dryopteridaceae',)","('Fagaceae',)","('Cystopteridaceae',)","('Acrididae',)","('Bombyliidae',)","('Anacardiaceae',)","('Araceae',)","('Lucanidae',)","('Grossulariaceae',)","('Glaphyridae',)","('Caliciaceae',)","('Calopterygidae',)","('Cicadidae',)","('Ericaceae',)","('Euphorbiaceae',)","('Gekkonidae',)","('Geraniaceae',)","('Peltigeraceae',)","('Plumbaginaceae',)","('Malvaceae',)","('Mutillidae',)","('Sapygidae',)","('Sapindaceae',)","('Thesiaceae',)","('Viscaceae',)","('Vitaceae',)","('Anobiidae',)","('Unknown',)","('Ascalaphidae',)","('Testudinidae',)","('Anguidae',)","('Crambidae',)","('Lycosidae',)","('Mycenaceae',)","('Mustelidae',)","('Tricholomataceae',)","('Tortricidae',)","('Depressariidae',)","('Geometridae',)","('Inachidae',)","('Notodontidae',)","('Cossidae',)","('Psychidae',)","('Lamnidae',)","('Ixodidae',)","('Brachodidae',)","('Pisauridae',)","('Oecophoridae',)","('Nolidae',)","('Upupidae',)","('Clausiliidae',)","('Enidae',)","('Helicidae',)","('Achatinidae',)","('Ferussaciidae',)","('Chondrinidae',)","('Iridaceae',)","('Geomitridae',)","('Pomatiidae',)","('Pyramidulidae',)","('Trissexodontidae',)","('Vitrinidae',)","('Meloidae',)","('Rissoidae',)","('Mangeliidae',)","('Selaginellaceae',)","('Myrmeleontidae',)","('Ranidae',)","('Cerithiidae',)","('Euphaeidae',)","('Araneidae',)","('Glareolidae',)","('Phyllodactylidae',)","('Mantidae',)","('Masaridae',)","('Julidae',)","('Rissoellidae',)","('Psammophiidae',)","('Sparassidae',)","('Tamaricaceae',)","('Lepadellidae',)","('Asplanchnidae',)","('Testudinellidae',)","('Morchellaceae',)","('Soleidae',)","('Salamandridae',)","('Triglidae',)","('Psychomyiidae',)","('Philopotamidae',)","('Rhyacophilidae',)","('Endomychidae',)","('Certhiidae',)","('Hydroptilidae',)","('Polyporaceae',)","('Haematommataceae',)","('Massalongiaceae',)","('Pannariaceae',)","('Sarcoscyphaceae',)","('Asphodelaceae',)","('Apocynaceae',)","('Catillariaceae',)","('Oleaceae',)","('Polypodiaceae',)","('Pinaceae',)","('Crabronidae',)","('Colchicaceae',)","('Biebersteiniaceae',)","('Amelidae',)","('Pentatomidae',)","('Urticaceae',)","('Argidae',)","('Cicadellidae',)","('Viburnaceae',)","('Cephidae',)","('Cynipidae',)","('Dysderidae',)","('Pholcidae',)","('Stratiomyidae',)","('Tetragnathidae',)","('Anyphaenidae',)","('Hexanchidae',)","('Eresidae',)","('Oecobiidae',)","('Sicariidae',)","('Zoropsidae',)","('Oxalidaceae',)","('Caloscyphaceae',)","('Helvellaceae',)","('Hydnangiaceae',)","('Cytinaceae',)","('Dennstaedtiaceae',)","('Phalangiidae',)","('Smilacaceae',)","('Tropaeolaceae',)","('Hypericaceae',)","('Aizoaceae',)","('Araliaceae',)","('Martyniaceae',)","('Lythraceae',)","('Ectobiidae',)","('Onagraceae',)","('Moraceae',)","('Perlidae',)","('Philodromidae',)","('Ephedraceae',)","('Porcellionidae',)","('Armadillidae',)","('Armadillidiidae',)","('Gelechiidae',)","('Felidae',)","('Oligotomidae',)","('Margarodidae',)","('Limacidae',)","('Scytodidae',)","('Trachelipodidae',)","('Grapsidae',)","('Littorinidae',)","('Limoniidae',)","('Leporidae',)","('Donacidae',)","('Potamogetonaceae',)",Vegetation Count,Regional Fuel Content
2005-01-01,0.0,17.433568835258484,0.0004351138613856165,3.4854173130833987,11.010000000000048,-3.6299999999999955,6.627324390410763,0.41172143816947937,0.4094623625278473,0.40505226335504596,3.0582569781075963,0.08891776061922874,0.8405129665298131,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
2005-02-01,0.0,22.97208011151497,0.0004023313522338867,4.939420796055368,10.730000000000018,-14.349999999999966,2.7500240987083657,0.40400561690330505,0.3973255455493927,0.4038145641921557,2.689097216549257,0.02454562932464444,1.0682655127082918,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
2005-03-01,0.0,31.87437355518341,-4.5997694542165846e-06,3.642967825502829,22.55000000000001,4.910000000000025,14.534696526670245,0.404100239276886,0.4035428464412689,0.40104104330142337,2.753760523299511,0.4353223296761628,1.086429319385984,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
2005-04-01,0.0,14.186188578605652,0.0,1.3923724155652253,28.430000000000007,8.770000000000039,17.379110524850205,0.37870341539382935,0.37786826491355896,0.3758322654498948,2.891370329914407,1.110249029167163,1.7371177777025881,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
2005-05-01,0.0,20.09539306163788,0.0,4.128417506223731,30.79000000000002,13.450000000000045,23.22019457268908,0.330760657787323,0.32481834292411804,0.3276842186848322,3.1901737893489486,0.7088050412043286,1.2098130906320301,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
2005-06-01,0.0,30.949729680912696,0.0,3.433822879492287,37.370000000000005,19.590000000000032,27.816937429042753,0.3061918616294861,0.30204710364341736,0.3010097757330415,1.9640886426580149,0.5645509289171544,0.9358115895267506,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
2005-07-01,0.0,16.649204492523495,0.0,0.9783226334660986,39.710000000000036,30.05000000000001,34.256228070175496,0.2132297307252884,0.2104172557592392,0.2110096598098501,2.226039361276251,0.21273000219863028,1.0609389438310395,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
2005-08-01,0.0,8.511384242808617,0.0,0.33676091897964816,40.27000000000004,26.170000000000016,32.94409457551927,0.1932748556137085,0.19165194034576416,0.19279210001491665,2.5754319003801203,0.849097250295483,1.4875401624068088,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
2005-09-01,0.0,18.459394574165344,1.423524054189329e-05,2.00800374361251,33.870000000000005,15.750000000000057,25.828715479355026,0.2568894028663635,0.2567722499370575,0.2530993151298741,1.6013955231450936,0.2857702451149797,0.777911191221115,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
2005-10-01,0.0,11.974990367889404,0.0,0.9326689974880115,23.170000000000016,14.650000000000034,18.580136598440617,0.3182525932788849,0.31177157163619995,0.3030115156407245,2.8101042765053554,1.3752185346613248,1.6704905347024832,64.67058823529412,0,0,0,0,0,0,197.79215686274506,341.7098039215686,188.69803921568632,5.223529411764706,0,0,0,0,0,0,0,10.0,9.0,8.0,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.5608263974086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012040816326530613,3.317693131676444
