Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2010,114,114,,,1.0,,,
2011,6,120,120.0,120.0,0.05,0.0,120.0,6.0
2013,8,128,14.0,14.0,0.0625,0.0,14.0,0.875
2017,5,132,13.0,13.0,0.03787878787878788,0.0,13.0,0.49242424242424243
2018,6,135,9.0,10.0,0.044444444444444446,0.007407407407407408,9.6,0.4266666666666667
2019,2,137,8.0,8.0,0.014598540145985401,0.0,7.4,0.10802919708029197
2020,1,138,3.0,3.0,0.007246376811594203,0.0,3.0,0.021739130434782608
2021,3,140,4.0,4.0,0.02142857142857143,0.0,4.0,0.08571428571428572
2022,1,141,4.0,4.0,0.0070921985815602835,0.0,4.0,0.028368794326241134
2023,12,152,13.0,13.0,0.07894736842105263,0.0,12.5,0.9868421052631579
2024,3,154,15.0,15.0,0.01948051948051948,0.0,14.5,0.2824675324675325
