Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2010,93,93,,,1.0,,,
2011,3,96,96.0,96.0,0.03125,0.0,96.0,3.0
2015,4,100,7.0,7.0,0.04,0.0,7.0,0.28
2017,60,159,64.0,64.0,0.37735849056603776,0.0,64.0,24.150943396226417
2018,48,190,74.0,91.0,0.25263157894736843,0.08947368421052632,80.56985850989173,20.354490570920017
2019,20,193,36.0,52.0,0.10362694300518134,0.08290155440414508,45.57574953654688,4.722875599642164
2021,8,200,28.0,28.0,0.04,0.0,18.338353027555684,0.7335341211022274
2022,13,204,21.0,21.0,0.06372549019607843,0.0,15.78869178440607,1.006142123516073
2023,15,213,26.0,27.0,0.07042253521126761,0.004694835680751174,20.881284376998664,1.4705129842956806
2024,15,221,28.0,29.0,0.06787330316742081,0.004524886877828055,21.86514245014245,1.4840594423173608
2025,3,222,18.0,18.0,0.013513513513513514,0.0,13.12440170940171,0.17735677985677986
