Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2009,3,3,,,1.0,,,
2010,187,190,190.0,190.0,0.9842105263157894,0.0,190.0,187.0
2011,3,193,190.0,190.0,0.015544041450777202,0.0,190.0,2.9533678756476682
2012,9,202,12.0,12.0,0.04455445544554455,0.0,12.0,0.5346534653465347
2013,19,220,26.0,27.0,0.08636363636363636,0.004545454545454545,26.0,2.2454545454545456
2014,27,245,44.0,45.0,0.11020408163265306,0.004081632653061225,44.666666666666664,4.922448979591836
2015,10,255,37.0,37.0,0.0392156862745098,0.0,37.0,1.4509803921568627
2016,27,280,33.0,35.0,0.09642857142857143,0.007142857142857143,33.666666666666664,3.2464285714285714
2017,32,295,27.0,43.0,0.10847457627118644,0.05423728813559322,33.46666666666667,3.630282485875706
2018,15,305,47.0,47.0,0.04918032786885246,0.0,42.28333333333333,2.0795081967213114
2019,5,306,18.0,19.0,0.016339869281045753,0.0032679738562091504,17.166666666666668,0.28050108932461876
2020,4,306,7.0,8.0,0.013071895424836602,0.0032679738562091504,5.533333333333333,0.07233115468409586
2021,7,312,9.0,10.0,0.022435897435897436,0.003205128205128205,7.866666666666667,0.1764957264957265
2022,14,324,21.0,21.0,0.043209876543209874,0.0,19.6,0.8469135802469135
2023,32,344,44.0,45.0,0.09302325581395349,0.0029069767441860465,39.30833333333334,3.656589147286822
2024,11,348,37.0,40.0,0.031609195402298854,0.008620689655172414,31.949999999999996,1.0099137931034483
2025,2,350,13.0,13.0,0.005714285714285714,0.0,9.325,0.053285714285714283
