Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,40,40,,,1.0,,,
2006,60,87,74.0,87.0,0.6896551724137931,0.14942528735632185,79.57014488535299,54.87596198989861
2007,119,201,179.0,179.0,0.5920398009950248,0.0,177.13333333333333,104.86998341625207
2008,3,204,122.0,122.0,0.014705882352941176,0.0,122.0,1.7941176470588236
2009,23,216,26.0,26.0,0.10648148148148148,0.0,23.89848484848485,2.544746071829405
2010,138,346,161.0,161.0,0.3988439306358382,0.0,156.59848484848484,62.45835522858644
2012,31,365,169.0,169.0,0.08493150684931507,0.0,163.54640301318267,13.890242447694966
2013,44,386,71.0,73.0,0.11398963730569948,0.0051813471502590676,63.028625235404895,7.184610130460662
2014,79,407,67.0,95.0,0.1941031941031941,0.0687960687960688,64.00065330632502,12.422731231448836
2015,13,415,84.0,88.0,0.03132530120481928,0.00963855421686747,61.679053644602405,1.9321149334453767
2016,33,417,36.0,41.0,0.07913669064748201,0.011990407673860911,29.326269770941906,2.3207839387076326
2017,47,434,42.0,61.0,0.10829493087557604,0.04377880184331797,41.0898983585459,4.449827702423174
2018,126,497,125.0,149.0,0.2535211267605634,0.0482897384305835,121.37155204954328,30.770252632278577
2019,34,507,128.0,144.0,0.0670611439842209,0.03155818540433925,114.2139225707453,7.659316306519408
2020,84,518,94.0,106.0,0.16216216216216217,0.023166023166023165,76.50138520384405,12.405630033055793
2021,45,538,109.0,119.0,0.08364312267657993,0.01858736059479554,91.15841308190303,7.624774328411965
2022,91,568,112.0,124.0,0.1602112676056338,0.02112676056338028,92.36183010691718,14.797405879805394
2023,132,627,137.0,180.0,0.21052631578947367,0.0685805422647528,138.1861876496431,29.09182897887223
2024,77,666,157.0,183.0,0.11561561561561562,0.03903903903903904,136.76152398663427,15.811767788244504
2025,55,684,104.0,118.0,0.0804093567251462,0.02046783625730994,85.72156923346262,6.892816239532812
