Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2009,Observations_2010,Observations_2011,Observations_2013,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Ablepharus kitaibelii,0,Animalia,Chordata,Squamata,,Scincidae,207989721,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,1,0,1
Acer monspessulanum,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,124731677,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Aegilops comosa,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,116570215,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Aegilops neglecta,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19389466,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Aethionema saxatile,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Agrostemma githago,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Allium sphaerocephalon,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,6839221,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Anagallis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Anchusa undulata,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Anthemis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Anthemis chia,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Anthemis ruthenica,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Aphaenogaster balcanica,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
Aphaenogaster epirotes,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
Aphaenogaster finzii,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
Aphaenogaster ovaticeps,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
Aphaenogaster sangiorgii,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
Aquila chrysaetos,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210501592,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Arctia festiva,0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0
Arenaria serpyllifolia,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Arisarum vulgare,0,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0
Atractylis cancellata,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Avena barbata,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,6827601,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Avena fatua,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19394581,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Ballota acetabulosa,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Beta vulgaris,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,6690027,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Bifora radians,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Bothriomyrmex corsicus,0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
Brachypodium distachyon,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Buglossoides arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Bunias erucago,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Bupleurum glumaceum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Bupleurum subovatum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Buteo buteo,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210507000,Least Concern,Stable,3,0,0,0,0,1,0,0,0,0,0,0,0
Calendula arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Campanula drabifolia,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,225911556,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Campanula erinus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
