Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2010,Observations_2013,Observations_2015,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Abies cephalonica,0,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,271966610,Least Concern,Stable,0,0,1,0,0,0,0,0,0,0,1,0
Ablepharus kitaibelii,0,Animalia,Chordata,Squamata,,Scincidae,207989721,Least Concern,Stable,0,0,0,0,0,0,0,0,1,1,3,0
Accipiter nisus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210499136,Least Concern,Unknown,0,0,0,0,0,0,1,0,0,0,0,0
Acrida ungarica,0,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,70632622,Least Concern,Stable,0,0,0,0,0,0,0,0,0,3,5,0
Adiantum capillus-veneris,0,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,67770327,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,1,0
Aethionema saxatile,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,1,0
Aiolopus strepens,0,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,72593093,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Akis elongata,0,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
"Aleiodes Wesmael,",0,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
"Alopecosa Simon,",0,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Alopecosa albofasciata,0,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Ameles heldreichi,0,Animalia,Arthropoda,Insecta,Mantodea,Amelidae,44798432,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,2,1,0
Anacridium aegyptium,0,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,72594185,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,1,0
Anchusa undulata,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,1,0
Anemone blanda,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,1,0,0,1,0,0,0,0,0,0
Anemonoides blanda,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Anguis cephallonica,0,Animalia,Chordata,Squamata,,Anguidae,137846721,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,1,1,0
Antepipona deflenda,0,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0,0
Anthemis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Anthocharis gruneri,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,211389647,Least Concern,Unknown,0,0,0,1,0,0,0,0,0,0,1,0
Anthriscus tenerrima,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0
Antirrhinum majus,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,2,0,0
"Aphaenogaster Mayr,",0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0
Apus apus,0,Animalia,Chordata,Aves,Apodiformes,Apodidae,166220766,Near Threatened,Decreasing,0,0,0,0,0,0,0,0,10,0,0,0
Araniella Chamberlin,0,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Arctia festiva,0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,1,0,0
