Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2010,Observations_2011,Observations_2015,Observations_2017,Observations_2018,Observations_2019,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Accipiter nisus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210499136,Least Concern,Unknown,0,0,0,1,0,0,0,0,0,0,0
Actitis hypoleucos,0,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,166252539,Least Concern,Decreasing,0,0,0,0,1,0,0,0,0,0,0
Aegilops biuncialis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,61526786,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Aegilops comosa,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,116570215,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Aegilops triuncialis,1,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19390231,Least Concern,Increasing,1,0,0,0,0,0,0,0,0,0,0
Aegithalos caudatus,0,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,264587236,Least Concern,Stable,0,0,0,5,6,3,0,0,0,0,0
Aethionema saxatile,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,3,0,0,0,0,0,0,0,0,0,0
Ajuga chamaepitys,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0
Alectoria sarmentosa,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Alectoris graeca,0,Animalia,Chordata,Aves,Galliformes,Phasianidae,166183720,Near Threatened,Decreasing,0,0,0,1,0,0,0,0,0,0,0
Algyroides moreoticus,0,Animalia,Chordata,Squamata,,Lacertidae,137846475,Least Concern,Unknown,0,0,0,0,1,0,1,0,0,0,0
Alyssum minus,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Anacamptis pyramidalis,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,7144790,Least Concern,Decreasing,0,0,0,0,0,0,2,0,1,0,0
Anchusa undulata,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Anguis cephallonica,0,Animalia,Chordata,Squamata,,Anguidae,137846721,Least Concern,Unknown,0,0,0,0,1,0,0,0,2,0,0
Aquila clanga,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,1,0,0,0
Arenaria leptoclados,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Astragalus hamosus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Aurinia saxatilis,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Avena barbata,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,6827601,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Avena sterilis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19395364,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Ballota acetabulosa,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Bituminaria bituminosa,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Brachypodium distachyon,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Brintesia circe,0,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,211425509,Least Concern,Stable,0,0,0,0,0,0,0,0,1,2,0
Bromus hordeaceus,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Bryoria fuscescens,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Buellia ocellata,0,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Caliciaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Bupleurum glumaceum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,3,0,0,0,0,0,0,0,0,0,0
Buteo buteo,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210507000,Least Concern,Stable,0,0,0,8,8,1,0,0,0,1,0
Caliaeschna microstigma,0,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,208832291,Least Concern,Stable,0,0,2,0,0,0,0,0,0,0,0
Calopteryx virgo,0,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,208845263,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,1
Carduelis carduelis,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,199579742,Least Concern,Increasing,0,0,0,1,3,0,0,0,2,0,0
Carthamus lanatus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,3,0,0,0,0,0,0,0,0,0,0
Castanea sativa,0,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,67740523,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0
Catillaria chalybeia,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Catillariaceae,Not Found,Unknown,Unknown,0,0,0,2,0,0,0,0,0,0,0
Cecropis daurica,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,264559502,Least Concern,Increasing,0,0,0,0,17,0,0,0,0,0,0
Centaurea solstitialis,1,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Certhia brachydactyla,0,Animalia,Chordata,Aves,Passeriformes,Certhiidae,264570778,Least Concern,Increasing,0,0,0,0,0,1,0,0,1,0,0
Cettia cetti,0,Animalia,Chordata,Aves,Passeriformes,Cettiidae,264547885,Least Concern,Stable,0,0,0,1,2,0,0,0,0,0,0
Characeae,0,Plantae,Charophyta,Charophyceae,Charales,Characeae,Not Found,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0
Chenopodium vulvaria,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Chloris chloris,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166412593,Least Concern,Decreasing,0,0,0,0,7,1,0,0,0,0,0
Chrysolina vernalis,0,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0
Cinclus cinclus,0,Animalia,Chordata,Aves,Passeriformes,Cinclidae,166342358,Least Concern,Decreasing,0,0,0,1,1,0,0,0,0,0,0
Circaetus gallicus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210508101,Least Concern,Unknown,0,0,0,0,2,0,0,0,0,0,0
Cladonia chlorophaea,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Clematis flammula,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Coccothraustes coccothraustes,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,264566591,Least Concern,Increasing,0,0,0,0,6,0,0,0,0,0,0
Colias croceus,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,7,0,0
Collema flaccidum,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Collema furfuraceum,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Convolvulus althaeoides,0,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Convolvulus arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Convolvulus cantabrica,0,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Cordulegaster helladica,0,Animalia,Arthropoda,Insecta,Odonata,Cordulegastridae,203274302,Vulnerable,Decreasing,0,0,1,0,0,0,0,0,0,0,0
Corvus corax,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,166340260,Least Concern,Increasing,0,0,0,0,0,0,0,2,0,0,0
Corvus cornix,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Not Found,Unknown,Unknown,0,0,0,12,10,1,0,1,0,0,0
Crepis dioscoridis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Crepis foetida,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,3,0,0,0,0,0,0,0,0,0,0
Crepis rubra,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,1,0,0,0
Crepis setosa,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Crucianella angustifolia,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Crucianella latifolia,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Cuculus canorus,0,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,264553575,Least Concern,Stable,0,0,0,0,4,0,0,0,0,0,0
Curruca cantillans,0,Animalia,Chordata,Aves,Passeriformes,Sylviidae,200219271,Least Concern,Increasing,0,0,0,0,1,0,0,0,0,0,0
Cyanistes caeruleus,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264532201,Least Concern,Stable,0,0,0,2,43,5,0,0,0,0,0
Cynodon dactylon,1,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Cynoglossum creticum,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Cynosurus echinatus,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Daucus involucratus,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,119885735,Least Concern,Stable,2,0,0,0,0,0,0,0,0,0,0
