Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Abies cephalonica,0,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,271966610,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ablepharus kitaibelii,0,Animalia,Chordata,Squamata,,Scincidae,207989721,Least Concern,Stable,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1
Acanthiophilus helianthi,0,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Accipiter nisus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210499136,Least Concern,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
Achillea L.,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achillea ligustica,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Achillea umbellata,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,230588253,Least Concern,Stable,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinos alpinus,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrocephalus arundinaceus,0,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,200200508,Least Concern,Stable,30,1,0,0,5,0,0,0,4,0,0,0,0,0,1,0,1,9,0,0
Acrocephalus schoenobaenus,0,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,166375661,Least Concern,Unknown,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Acrocephalus scirpaceus,0,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,264583071,Least Concern,Stable,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0
Actitis hypoleucos,0,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,166252539,Least Concern,Decreasing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Adscita statices,0,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aegaeobuthus gibbosus,0,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Aegilops triuncialis,1,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19390231,Least Concern,Increasing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegithalos caudatus,0,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,264587236,Least Concern,Stable,1,4,0,0,0,0,0,2,3,0,0,0,7,0,0,0,9,0,0,1
Aethionema W.T.Aiton,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aethionema saxatile,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Agrostis stolonifera,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,42383133,Least Concern,Stable,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alauda arvensis,0,Animalia,Chordata,Aves,Passeriformes,Alaudidae,200204640,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Alcedo atthis,0,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,264589271,Least Concern,Decreasing,0,1,0,0,0,0,0,0,3,0,0,0,4,0,2,0,0,0,0,0
Alectoris graeca,0,Animalia,Chordata,Aves,Galliformes,Phasianidae,166183720,Near Threatened,Decreasing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Algyroides moreoticus,0,Animalia,Chordata,Squamata,,Lacertidae,137846475,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Alkanna graeca,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alkanna methanaea,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Allium L.,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium guttatum,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,6856351,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alopecurus L.,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
