Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2009,Observations_2010,Observations_2011,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Abies cephalonica,0,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,271966610,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Accipiter nisus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210499136,Least Concern,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acinos alpinus,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinos graveolens,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acontia lucida,0,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
Aegaeobuthus gibbosus,0,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops biuncialis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,61526786,Least Concern,Stable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops comosa,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,116570215,Least Concern,Stable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops neglecta,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19389466,Least Concern,Stable,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops triuncialis,1,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19390231,Least Concern,Increasing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegithalos caudatus,0,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,264587236,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Aethionema saxatile,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agapanthia kirbyi,0,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ailanthus altissima,1,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,67810745,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ajuga chamaepitys,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkanna methanaea,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
