Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Abemus chloropterus,0,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Accipiter nisus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210499136,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0
Acer sempervirens,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,2287383,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achillea ligustica,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrometopa servillea,0,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,70627840,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adiantum capillus-veneris,0,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,67770327,Least Concern,Stable,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops biuncialis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,61526786,Least Concern,Stable,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops comosa,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,116570215,Least Concern,Stable,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops dichasians,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops geniculata,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,60761715,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
