Month,Fire Area (m2),Max Precipitation,Min Precipitation,Avg Precipitation,Max Temperature,Min Temperature,Avg Temperature,Max Soil Moisture,Min Soil Moisture,Avg Soil Moisture,Max Wind Speed,Min Wind Speed,Avg Wind Speed,Evergreen needleleaf forest,Evergreen broadleaf forest,Deciduous needleleaf forest,Deciduous broadleaf forest,Mixed forest,Wooded grassland,Other wooded land,Open shrubland,Savanna,Grassland,Permanent wetlands,Cropland,Urban and built-up,Cropland/natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated,Water,Urban areas,"('Asteraceae',)","('Fabaceae',)","('Hydropsychidae',)","('Sylviidae',)","('Caryophyllaceae',)","('Caprifoliaceae',)","('Lecanoraceae',)","('Rubiaceae',)","('Brassicaceae',)","('Eumenidae',)","('Campanulaceae',)","('Boraginaceae',)","('Apiaceae',)","('Amaryllidaceae',)","('Phylloscopidae',)","('Ranunculaceae',)","('Violaceae',)","('Rosaceae',)","('Physciaceae',)","('Collemataceae',)","('Aegithalidae',)","('Acarosporaceae',)","('Candelariaceae',)","('Asparagaceae',)","('Aspleniaceae',)","('Apocynaceae',)","('Acrocephalidae',)","('Cyperaceae',)","('Cistaceae',)","('Cettiidae',)","('Orobanchaceae',)","('Orchidaceae',)","('Megachilidae',)","('Liliaceae',)","('Cladoniaceae',)","('Colchicaceae',)","('Convolvulaceae',)","('Parmeliaceae',)","('Ramalinaceae',)","('Psoraceae',)","('Placynthiaceae',)","('Papaveraceae',)","('Scrophulariaceae',)","('Saxifragaceae',)","('Upupidae',)","('Zygaenidae',)",Population,"('Plantaginaceae',)","('Lacertidae',)","('Lamiaceae',)","('Lasiocampidae',)","('Pyralidae',)","('Arbaciidae',)","('Aeshnidae',)","('Erebidae',)","('Phoenicopteridae',)","('Cheloniidae',)","('Empusidae',)","('Platycnemididae',)","('Sphingidae',)","('Strombidae',)","('Poaceae',)","('Cupressaceae',)","('Polygalaceae',)","('Crassulaceae',)","('Berberidaceae',)","('Juncaceae',)","('Fagaceae',)","('Geraniaceae',)","('Cystopteridaceae',)","('Dryopteridaceae',)","('Rhamnaceae',)","('Plumbaginaceae',)","('Linaceae',)","('Potamidae',)","('Anacardiaceae',)","('Grossulariaceae',)","('Crabronidae',)","('Euphorbiaceae',)","('Araceae',)","('Caliciaceae',)","('Polygonaceae',)","('Mutillidae',)","('Peltigeraceae',)","('Malvaceae',)","('Sapindaceae',)","('Primulaceae',)","('Sapygidae',)","('Thesiaceae',)","('Viscaceae',)","('Vitaceae',)","('Ascalaphidae',)","('Anobiidae',)","('Anguidae',)","('Acrididae',)","('Crambidae',)","('Lycosidae',)","('Mantidae',)","('Julidae',)","('Mustelidae',)","('Meliaceae',)","('Pyrrhocoridae',)","('Tortricidae',)","('Geometridae',)","('Depressariidae',)","('Unknown',)","('Notodontidae',)","('Psychidae',)","('Cossidae',)","('Ixodidae',)","('Brachodidae',)","('Pisauridae',)","('Oecophoridae',)","('Nolidae',)","('Lamnidae',)","('Salticidae',)","('Testudinidae',)","('Clausiliidae',)","('Enidae',)","('Achatinidae',)","('Geomitridae',)","('Helicidae',)","('Orculidae',)","('Cochlostomatidae',)","('Ferussaciidae',)","('Pomatiidae',)","('Chondrinidae',)","('Cardiidae',)","('Capparaceae',)","('Arcidae',)","('Haliplidae',)","('Cucurbitaceae',)","('Cypraeidae',)","('Moraceae',)","('Margaritidae',)","('Mactridae',)","('Lauriidae',)","('Iridaceae',)","('Oxychilidae',)","('Pyramidulidae',)","('Stratiomyidae',)","('Tellinidae',)","('Trissexodontidae',)","('Vitrinidae',)","('Amaranthaceae',)","('Mangeliidae',)","('Rissoidae',)","('Colubridae',)","('Tamaricaceae',)","('Selaginellaceae',)","('Asphodelaceae',)","('Cactaceae',)","('Cerithiidae',)","('Armadillidiidae',)","('Armadillidae',)","('Araneidae',)","('Astropectinidae',)","('Buthidae',)","('Oxalidaceae',)","('Nemopteridae',)","('Lampyridae',)","('Lygaeidae',)","('Rissoellidae',)","('Ranidae',)","('Solanaceae',)","('Sparidae',)","('Testudinellidae',)","('Lepadellidae',)","('Asplanchnidae',)","('Resedaceae',)","('Morchellaceae',)","('Pteridaceae',)","('Poeciliidae',)","('Salamandridae',)","('Psychomyiidae',)","('Rhyacophilidae',)","('Endomychidae',)","('Certhiidae',)","('Callionymidae',)","('Gekkonidae',)","('Labridae',)","('Hydroptilidae',)","('Mugilidae',)","('Polyporaceae',)","('Trachinidae',)","('Aizoaceae',)","('Sarcoscyphaceae',)","('Pinaceae',)","('Glareolidae',)","('Gryllidae',)","('Biebersteiniaceae',)","('Calopterygidae',)","('Lythraceae',)","('Equisetaceae',)","('Pompilidae',)","('Pentatomidae',)","('Schizopetalidae',)","('Cicadellidae',)","('Viburnaceae',)","('Hexanchidae',)","('Otididae',)","('Glaphyridae',)","('Smilacaceae',)","('Erinaceidae',)","('Eresidae',)","('Hydnangiaceae',)","('Geotrupidae',)","('Helvellaceae',)","('Ericaceae',)","('Hypericaceae',)","('Oleaceae',)","('Araliaceae',)","('Urticaceae',)","('Amelidae',)","('Gloeophyllaceae',)","('Felidae',)","('Targioniaceae',)","('Boidae',)","('Meloidae',)","('Leporidae',)","('Phyllodactylidae',)","('Porcellionidae',)","('Sicariidae',)",Vegetation Count,Regional Fuel Content
2005-01-01,0.0,22.16145694245597,0.0004351138613856165,3.6565297623617363,9.750000000000057,0.05000000000001137,5.0673575232010535,0.38264861702919006,0.38264861702919006,0.39074843755354893,1.7900865897356595,0.12218549432542121,0.8141670581079329,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-02-01,0.0,20.33095359803383,0.0008545133596271626,3.880267274041569,9.490000000000009,-6.75,2.959994316785469,0.39965736865997314,0.39965736865997314,0.41755234752409753,2.328476789457383,0.24095386734602295,1.1911912102163045,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-03-01,0.0,21.666988730430603,-3.44020918419119e-05,3.1204370470484815,21.57000000000005,-1.7299999999999613,12.940145014729694,0.3956161439418793,0.3956161439418793,0.39195259324849224,2.6662478825119456,0.5463549737838149,1.2704273426928583,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-04-01,0.0,9.618118405342102,0.0,0.6887468775221628,26.710000000000036,6.07000000000005,16.382466361670026,0.3679395616054535,0.3679395616054535,0.36106764460904905,3.3455839244882086,1.9722709980765623,2.562793180397579,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-05-01,0.0,13.4716830256707,0.0,2.0522988165836797,30.250000000000057,14.750000000000057,23.459717967466872,0.3065478205680847,0.3065478205680847,0.29525529319485916,2.513983446782847,0.5976734012838447,1.255048409539921,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-06-01,0.0,20.62450647343894,0.0,1.459759381318072,32.39000000000004,17.950000000000045,26.219877044467808,0.2705986201763153,0.2705986201763153,0.26091625903265925,2.2370772079001946,0.5486728776847545,0.9735190165085044,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-07-01,0.0,9.803161025047302,0.0,0.7556398109770119,37.170000000000016,24.230000000000018,32.87077835251961,0.20702756941318512,0.20702756941318512,0.19976173743558,2.505673086611737,0.16041339195856166,0.9828033707278145,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-08-01,0.0,9.529714697634972,0.0,0.4441621115699303,37.93000000000001,26.210000000000036,31.70691518857177,0.18937361240386963,0.18937361240386963,0.1819035635588649,2.2411083321707963,0.7463770136064016,1.3089469215201612,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-09-01,16009073.75,25.610625743865967,0.0,2.4838679669645027,30.410000000000025,15.330000000000041,24.503630710541813,0.23559784889221191,0.23559784889221191,0.22645125376245084,1.779987144528233,0.5105913807192703,0.8705612828426517,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-10-01,0.0,7.5283050537109375,0.0004291534523304108,0.8974234107790032,21.77000000000004,11.370000000000005,16.904962498098314,0.2647758424282074,0.2647758424282074,0.26263735726618537,2.5255374375556654,0.9956886169802497,1.3477731941375781,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
2005-11-01,0.0,86.4083468914032,0.0004261732051702438,6.651886603090798,14.050000000000011,3.2100000000000364,10.15488481587363,0.28768107295036316,0.28768107295036316,0.28684731618093606,1.576514086468659,0.2342853665043819,0.7971494011427721,101.41960784313726,0,0,0,0,0,0,29.38823529411765,264.92941176470583,329.7137254901961,5.0,0,4,0,0,0,0,0,10.0,9.0,8.0,8.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2089.233409157921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009591836734693878,3.4877432789598735
