Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,63,467,,,0.1349036402569593,,,
2006,84,467,109.0,128.0,0.17987152034261242,0.04068522483940043,11.921803196803198,2.144392866234408
2007,85,467,71.0,120.0,0.18201284796573874,0.10492505353319058,20.063886113886113,3.65188505284865
2008,97,467,60.0,121.0,0.20770877944325483,0.13062098501070663,17.770465645465645,3.6910817293579608
2009,99,467,56.0,126.0,0.21199143468950749,0.14989293361884368,19.95223665223665,4.229703273172223
2010,90,467,65.0,127.0,0.19271948608137046,0.13276231263383298,20.69040404040404,3.9874440334825776
2011,87,467,53.0,115.0,0.18629550321199143,0.13276231263383298,17.484690309690308,3.257319179749586
2012,101,467,60.0,124.0,0.21627408993576017,0.13704496788008566,16.279845154845155,3.5209086951592306
2013,89,467,74.0,132.0,0.1905781584582441,0.12419700214132762,13.261302586302584,2.5273146256550962
2014,82,467,57.0,114.0,0.17558886509635974,0.12205567451820129,15.927200577200576,2.796639073512735
2015,95,467,83.0,130.0,0.20342612419700215,0.1006423982869379,18.333016983016982,3.7294145896929622
2016,84,467,83.0,131.0,0.17987152034261242,0.10278372591006424,16.9974358974359,3.057354636797892
2017,100,467,62.0,123.0,0.21413276231263384,0.13062098501070663,15.09599567099567,3.2325472528898653
2018,88,467,70.0,129.0,0.18843683083511778,0.12633832976445397,17.311757686757687,3.262172754678108
2019,74,467,56.0,109.0,0.15845824411134904,0.11349036402569593,10.134126984126985,1.605835967506203
2020,90,467,52.0,108.0,0.19271948608137046,0.11991434689507495,11.45924630924631,2.20842005959779
2021,84,467,40.0,107.0,0.17987152034261242,0.14346895074946467,16.210869685869685,2.9158737764733482
2022,90,467,54.0,114.0,0.19271948608137046,0.1284796573875803,14.968684093684093,2.8847571058491828
2023,101,467,83.0,137.0,0.21627408993576017,0.11563169164882227,12.645646020646021,2.7349255847649854
2024,164,467,165.0,215.0,0.3511777301927195,0.10706638115631692,15.485531135531136,5.43817367500451
