Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,73,196,,,0.37244897959183676,,,
2006,93,196,46.0,106.0,0.4744897959183674,0.30612244897959184,24.418753468753472,11.58644934996976
2007,85,196,58.0,118.0,0.4336734693877551,0.30612244897959184,20.410880785880785,8.851657483672788
2008,77,196,46.0,104.0,0.39285714285714285,0.29591836734693877,20.020354645354644,7.865139324960753
2009,78,196,35.0,95.0,0.3979591836734694,0.30612244897959184,15.258116883116884,6.072107739199576
2010,77,196,47.0,101.0,0.39285714285714285,0.2755102040816326,13.566322566322565,5.329626722483865
2011,70,196,41.0,94.0,0.35714285714285715,0.27040816326530615,13.847044622044622,4.945373079301651
2012,80,196,48.0,99.0,0.40816326530612246,0.2602040816326531,12.755622155622156,5.20637639004986
2013,41,196,47.0,84.0,0.20918367346938777,0.18877551020408162,16.508891108891106,3.453390487063956
2014,19,196,36.0,48.0,0.09693877551020408,0.061224489795918366,2.1254079254079254,0.20603444174872745
2015,0,196,19.0,19.0,0.0,0.0,0.0,0.0
2016,5,196,5.0,5.0,0.025510204081632654,0.0,0.0,0.0
2017,10,196,11.0,13.0,0.05102040816326531,0.01020408163265306,0.5,0.025510204081632654
2018,5,196,9.0,12.0,0.025510204081632654,0.015306122448979591,1.746031746031746,0.04454162617427924
2019,3,196,6.0,7.0,0.015306122448979591,0.00510204081632653,0.0,0.0
2020,10,196,13.0,13.0,0.05102040816326531,0.0,0.0,0.0
2021,17,196,23.0,25.0,0.08673469387755102,0.01020408163265306,0.08333333333333333,0.007227891156462584
2022,14,196,25.0,28.0,0.07142857142857142,0.015306122448979591,0.25,0.017857142857142856
2023,8,196,20.0,21.0,0.04081632653061224,0.00510204081632653,0.75,0.030612244897959183
2024,29,196,33.0,35.0,0.14795918367346939,0.01020408163265306,0.5,0.07397959183673469
