Species Name,Invasive,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2011,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024
Seseli montanum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Seseli,0,6,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Euphrasia stricta,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Euphrasia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emberiza calandra,0,166426657,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,8,0,0,1,0,0,1,0,3,0,0,0,0,0,2,0,0,2,1,0
Rubus ulmifolius,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrocopos major,0,166214479,Least Concern,Decreasing,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,2,0,0,0,0,0,0,0,0,0,0,18,4,6,1,8,9,0,5,0
Chenopodium album,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coenonympha arcania,0,211384543,Least Concern,Decreasing,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Coenonympha,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Alauda arvensis,0,200204640,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,22,0,0,2,0,0,0,0,3,0,2,0,0,0,3,0,2,5,3,0
Gonepteryx rhamni,0,211428909,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,0,0,0,2,2,0,2,0,9,14,14,0,1,0,6,3,2,16,7,0
Petrosedum forsterianum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Petrosedum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus fruticosus,0,2765761,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Heracleum sphondylium,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Apocheima hispidaria,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Apocheima,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0
Turdus pilaris,0,264547173,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,2,0,0,0
Geranium robertianum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Passer domesticus,1,199147773,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,0,1,0,0,0,0,0,0,0,0,0,2,2,22,4,12,13,3,4,0
Araschnia levana,0,211384260,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Araschnia,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Centaurea nigra,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithogalum pyrenaicum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Ornithogalum,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buglossoides arvensis,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Buglossoides,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoscona adianta,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerastium holosteoides,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
