Species Name,Invasive,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2011,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024
Fumaria muralis,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Fumaria,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delichon urbicum,0,264561964,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0
Pastinaca sativa,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Pastinaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pernis apivorus,0,210525956,Least Concern,Stable,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Columba oenas,0,264541812,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,6,0,0,0
Burhinus oedicnemus,0,166454549,Least Concern,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0
Silene baccifera,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Avena fatua,0,19394581,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Avena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cerastium holosteoides,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Galium mollugo,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Lotus corniculatus,1,7243415,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Brachypodium sylvaticum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Brachypodium,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0
Silene vulgaris,0,53798707,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Turdus viscivorus,0,264544715,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Quercus robur,0,3126467,Least Concern,Decreasing,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
Capreolus capreolus,0,224358944,Least Concern,Increasing,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0
Polygonum aviculare,0,2764857,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Nymphalis polychloros,0,211418010,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Papilio machaon,0,211382700,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0
Crepis capillaris,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Falco tinnunculus,0,210515355,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,0,0,0,0,0,0,0,0,0,0,0,1,1,3,16,4,6,0,0,0
Leucanthemum vulgare,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Leucanthemum,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
Mustela putorius,0,215860613,Least Concern,Decreasing,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactylis glomerata,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dactylis,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,4,0
Ladoga camilla,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Ladoga,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Viola odorata,0,2766319,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0
Coenagrion puella,0,208828327,Least Concern,Stable,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrion,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Ciconia ciconia,0,166325948,Least Concern,Increasing,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Salix atrocinerea,0,109616089,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Salix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
