Species Name,Invasive,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2011,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024
Acrocephalus schoenobaenus,0,166375661,Least Concern,Unknown,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anas crecca,0,200197945,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,0,0,0,4,0,0,1,2,0,1,1,0,0,1,0,0,1,1,0,0
Emberiza calandra,0,166426657,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,2,1,3,0,0
Dendrocopos major,0,166214479,Least Concern,Decreasing,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,0,0,0,0,0,1,3,2,2,2,1,2,5,8,0,5,3,0,4,0
Chenopodium album,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Alauda arvensis,0,200204640,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,0,0,0,1,2,1,0,0,4,1,1,0,3,2,6,4,3,1,5,0
Gonepteryx rhamni,0,211428909,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,0,0,0,0,0,2,0,0,0,2,0,0,4,0,4,0,1,0,5,0
Rubus fruticosus,0,2765761,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Heracleum sphondylium,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Heracleum,2,2,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
Perca fluviatilis,1,221237573,Least Concern,Unknown,Animalia,Chordata,Unknown,Perciformes,Percidae,Perca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Turdus pilaris,0,264547173,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,1,2,0,0,0
Geranium robertianum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Passer domesticus,1,199147773,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,0,0,0,0,3,2,7,4,2,1,3,6,4,5,3,15,14,12,4,0
Ozyptila sanctuaria,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Ozyptila,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Araschnia levana,0,211384260,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Araschnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Acer platanoides,1,2286184,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gryllus campestris,0,74519280,Least Concern,Decreasing,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Circus pygargus,0,210509919,Vulnerable,Decreasing,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,2,2,0
Tringa ochropus,0,166250734,Least Concern,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,1,0,1,0
Zootoca vivipara,0,217510164,Least Concern,Unknown,Animalia,Chordata,Squamata,Unknown,Lacertidae,Zootoca,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verbascum thapsus,1,2766139,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Serinus serinus,0,166411537,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Serinus,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
Asio otus,0,210504585,Least Concern,Unknown,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0
Capsella bursa-pastoris,0,2758177,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tetrix tenuicornis,0,74530618,Least Concern,Unknown,Animalia,Arthropoda,Insecta,Orthoptera,Tetrigidae,Tetrix,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aeshna affinis,0,207839525,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Aeshna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chenopodiastrum hybridum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodiastrum,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Chroicocephalus ridibundus,0,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,0,7,2,6,0,3,2,8,2,5,6,13,4,4,9,7,6,2,1,0
Meconema thalassinum,0,74540428,Least Concern,Decreasing,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Meconema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Phylloscopus collybita,0,264567918,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,0,0,0,0,4,2,1,0,0,2,0,0,7,7,1,1,4,1,6,0
Lanius collurio,0,264579697,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Graphosoma italicum,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Graphosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Buddleja davidii,1,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Buddleja,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Capreolus capreolus,0,224358944,Least Concern,Increasing,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,0,0,0,0,0,2,0,1,9,0,1,5,1,5,0,2,2,0,1,0
Bidens cernua,0,42337102,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Viola elatior,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornu aspersum,0,5012868,Least Concern,Stable,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Accipiter nisus,0,210499136,Least Concern,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0
Zelotes latreillei,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Zelotes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Falco tinnunculus,0,210515355,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,0,0,0,0,1,0,0,0,5,0,1,0,2,4,5,2,4,0,2,0
Matricaria discoidea,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ligdia adustata,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ligdia,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Prunus spinosa,0,19400568,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0
Deschampsia cespitosa,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Deschampsia,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardosa prativaga,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Pardosa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lepomis gibbosus,0,18237003,Least Concern,Stable,Animalia,Chordata,Unknown,Perciformes,Centrarchidae,Lepomis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sardinidion blackwalli,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Sardinidion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Celastrina argiolus,0,211396618,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina,0,0,0,2,0,0,1,0,0,2,0,0,4,0,2,0,0,1,0,0
Dactylis glomerata,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dactylis,4,4,2,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Medicago lupulina,0,7248555,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
Hirundo rustica,0,166369730,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,0,0,0,0,2,0,1,0,2,0,0,0,5,3,5,2,1,2,1,0
Filipendula ulmaria,0,42408831,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Filipendula,0,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Carex riparia,0,42313406,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
