Species Name,Invasive,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2011,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024
Lonicera periclymenum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pastinaca sativa,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Pastinaca,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia annua,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncus tenuis,1,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oenanthe pimpinelloides,0,5809917,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Oenanthe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla indica,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,7,3,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrotis vestigialis,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrotis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Larus canus,0,166271946,Least Concern,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula portenschlagiana,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Ocypus olens,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Ocypus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
