Species Name,Invasive,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2011,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024
Lonicera periclymenum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,0,2,1,3,0,5,0,2,0,0,1,2,0,4,1,0,0,1,0,0
Delichon urbicum,0,264561964,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,0,0,0,0,0,1,6,0,0,0,3,1,0,0,3,0,0,0,0,0
Juncus tenuis,1,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Raphanus raphanistrum,0,7235317,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potentilla indica,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ulex europaeus,1,86138815,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ulex,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
Melolontha melolontha,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Melolontha,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramalina pollinaria,0,Not Found,Unknown,Unknown,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Burhinus oedicnemus,0,166454549,Least Concern,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Cerastium holosteoides,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Carabus auratus,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Carabus,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Galium mollugo,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,2,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Lotus corniculatus,1,7243415,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,0,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schoenoplectus lacustris,0,13552677,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Schoenoplectus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brachypodium sylvaticum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Brachypodium,2,2,5,1,3,4,0,0,0,0,0,0,1,4,1,0,0,1,0,0
Strix aluco,0,264546097,Least Concern,Stable,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
