Species Name,Invasive,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2011,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024
Lonicera periclymenum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delichon urbicum,0,264561964,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Liogluta longiuscula,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Liogluta,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vespula vulgaris,1,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pernis apivorus,0,210525956,Least Concern,Stable,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Orchis mascula,0,7175991,Least Concern,Decreasing,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Lithobius pelidnus,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lysimachia vulgaris,0,42404562,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedum rubens,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Sedum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Melolontha melolontha,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Melolontha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Exocentrus adspersus,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Exocentrus,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osmia bicornis,0,21154926,Least Concern,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Columba oenas,0,264541812,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,0,0,0,0,0,0,0,8,2,6,0,2,2,2,1,1,1,1,0,0
Burhinus oedicnemus,0,166454549,Least Concern,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Valeriana officinalis,0,2708339,Least Concern,Decreasing,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerastium holosteoides,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mareca penelope,0,166199138,Least Concern,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4
Anas acuta,0,166201297,Vulnerable,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5
Galium mollugo,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,1,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lotus corniculatus,1,7243415,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
