Species Name,Invasive,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2011,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024
Lonicera periclymenum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0
Delichon urbicum,0,264561964,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
Pastinaca sativa,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Pastinaca,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Orchis mascula,0,7175991,Least Concern,Decreasing,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juncus tenuis,1,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raphanus raphanistrum,0,7235317,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula portenschlagiana,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysimachia vulgaris,0,42404562,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avena fatua,0,19394581,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Avena,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columba oenas,0,264541812,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
