Species Name,Invasive,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2011,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024
Lonicera periclymenum,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Delichon urbicum,0,264561964,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,4,0,0,0
Pastinaca sativa,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Pastinaca,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Pernis apivorus,0,210525956,Least Concern,Stable,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Juncus tenuis,1,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Orchis mascula,0,7175991,Least Concern,Decreasing,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Raphanus raphanistrum,0,7235317,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Trichoniscus pygmaeus,0,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,Trichoniscus,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Potentilla indica,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pleurochaete squarrosa,0,Not Found,Unknown,Unknown,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Pleurochaete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lysimachia vulgaris,0,42404562,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Avena fatua,0,19394581,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Avena,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Columba oenas,0,264541812,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
Valeriana officinalis,0,2708339,Least Concern,Decreasing,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerastium holosteoides,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mareca penelope,0,166199138,Least Concern,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
Galium mollugo,0,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
