Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Old Pulford Brook Meadows,N/A,Site of Special Scientific Interest,IV,N/A,N/A,4.64,WDPA_Protected Area,"(53.1165917259876, -2.8921462213185714)",N/A
Urban and industrial ecosystems,N/A,Global Ecosystem Typology,N/A,T7.4,N/A,4.45,Global Ecosystem Typology,"(53.139999964641504, -2.959999436283523)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,2.66,Global Ecosystem Typology,"(53.16999811303337, -2.9349990700851136)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,3.44,Global Ecosystem Typology,"(53.161666748563526, -2.9516653789572196)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,4.31,Global Ecosystem Typology,"(53.119998208379094, -2.9133331528601345)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,3.67,Global Ecosystem Typology,"(53.169998111996435, -2.9516653974367935)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,3.89,Global Ecosystem Typology,"(53.145000407701744, -2.84666510633161)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,2.61,Global Ecosystem Typology,"(53.15000084495694, -2.8638888451373483)",N/A
Annual croplands,N/A,Global Ecosystem Typology,N/A,T7.1,N/A,2.58,Global Ecosystem Typology,"(53.17333175514383, -2.871667293202583)",N/A
Annual croplands,N/A,Global Ecosystem Typology,N/A,T7.1,N/A,4.21,Global Ecosystem Typology,"(53.19500030231708, -2.9133331683131023)",N/A
Annual croplands,N/A,Global Ecosystem Typology,N/A,T7.1,N/A,2.67,Global Ecosystem Typology,"(53.178332203689, -2.921667232987528)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.42,Global Ecosystem Typology,"(53.15666628550665, -2.9516653777027315)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,1.32,Global Ecosystem Typology,"(53.1517535045389, -2.883771982973048)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.24,Global Ecosystem Typology,"(53.11999821777707, -2.9066658809082337)",N/A
Cool temperate heathlands,N/A,Global Ecosystem Typology,N/A,T3.3,N/A,3.52,Global Ecosystem Typology,"(53.13214215064617, -2.9309518383203)",N/A
Cool temperate heathlands,N/A,Global Ecosystem Typology,N/A,T3.3,N/A,3.91,Global Ecosystem Typology,"(53.14500039930717, -2.9549990114118865)",N/A
Cool temperate heathlands,N/A,Global Ecosystem Typology,N/A,T3.3,N/A,2.76,Global Ecosystem Typology,"(53.153334455087744, -2.859999602502538)",N/A
Cool temperate heathlands,N/A,Global Ecosystem Typology,N/A,T3.3,N/A,4.23,Global Ecosystem Typology,"(53.153334487147255, -2.9633330605484773)",N/A
