Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Coed Talon Marsh,N/A,Site of Special Scientific Interest,IV,N/A,N/A,4.98,WDPA_Protected Area,"(53.115622971678604, -3.0888907342580048)",N/A
Maes Y Grug,N/A,Site of Special Scientific Interest,IV,N/A,N/A,3.63,WDPA_Protected Area,"(53.190268625825745, -3.1058232385637354)",N/A
Buckley Claypits And Commons,N/A,Site of Special Scientific Interest,IV,N/A,N/A,2.7,WDPA_Protected Area,"(53.17907862294521, -3.0931671444160025)",N/A
"Chwarel Cambrian / Cambrian Quarry, Gwernymynydd",N/A,Site of Special Scientific Interest,IV,N/A,N/A,4.83,WDPA_Protected Area,"(53.15127521542393, -3.184431157025578)",N/A
Sown pastures and fields,N/A,Global Ecosystem Typology,N/A,T7.2,N/A,4.49,Global Ecosystem Typology,"(53.11904639903726, -3.130952715827224)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,2.28,Global Ecosystem Typology,"(53.16166671050013, -3.1466663226216784)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,1.46,Global Ecosystem Typology,"(53.145000410137015, -3.109999115867802)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,1.76,Global Ecosystem Typology,"(53.15333447233379, -3.138334943297635)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,4.71,Global Ecosystem Typology,"(53.12833226265445, -3.163332652701638)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,1.46,Global Ecosystem Typology,"(53.16999812971572, -3.121666851891998)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,3.65,Global Ecosystem Typology,"(53.136666347705294, -3.0716669261148066)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,0.68,Global Ecosystem Typology,"(53.16166674061365, -3.1049987116839914)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,1.2,Global Ecosystem Typology,"(53.16166672345015, -3.1300008954123637)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,2.8,Global Ecosystem Typology,"(53.16166674295984, -3.0716687424423617)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,0.33,Global Ecosystem Typology,"(53.15530351830132, -3.1151519181317266)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,3.65,Global Ecosystem Typology,"(53.1277766783999, -3.1342605212765466)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,3.5,Global Ecosystem Typology,"(53.174998545612205, -3.1571441916161187)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,3.56,Global Ecosystem Typology,"(53.137120918913574, -3.072727607611651)",N/A
Annual croplands,N/A,Global Ecosystem Typology,N/A,T7.1,N/A,2.67,Global Ecosystem Typology,"(53.14500041155391, -3.1466663254685394)",N/A
Annual croplands,N/A,Global Ecosystem Typology,N/A,T7.1,N/A,4.18,Global Ecosystem Typology,"(53.145000405670636, -3.17166672274447)",N/A
