Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Peckforton Woods,N/A,Site of Special Scientific Interest,IV,N/A,N/A,4.9,WDPA_Protected Area,"(53.11420869961598, -2.6960314448239853)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.68,Global Ecosystem Typology,"(53.195000308682744, -2.6549995946406915)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.81,Global Ecosystem Typology,"(53.123808071019994, -2.64404753532852)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.38,Global Ecosystem Typology,"(53.18666620811907, -2.643333715876911)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.03,Global Ecosystem Typology,"(53.153334457415966, -2.6283323732011388)",N/A
Urban and industrial ecosystems,N/A,Global Ecosystem Typology,N/A,T7.4,N/A,4.64,Global Ecosystem Typology,"(53.1233318406561, -2.7266680738641282)",N/A
Urban and industrial ecosystems,N/A,Global Ecosystem Typology,N/A,T7.4,N/A,3.28,Global Ecosystem Typology,"(53.17333174895424, -2.7299989842724672)",N/A
Urban and industrial ecosystems,N/A,Global Ecosystem Typology,N/A,T7.4,N/A,3.87,Global Ecosystem Typology,"(53.12333181859727, -2.6933335990660914)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,3.38,Global Ecosystem Typology,"(53.12833230318081, -2.6766681815633193)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,1.46,Global Ecosystem Typology,"(53.16999812386575, -2.6966654352630295)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,3.08,Global Ecosystem Typology,"(53.16999813282739, -2.6466655391884677)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,2.06,Global Ecosystem Typology,"(53.15333445655299, -2.6583350304994164)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,1.45,Global Ecosystem Typology,"(53.169998119197544, -2.6800017894913126)",N/A
