Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Murdishaw Wood and Valley,N/A,Local Nature Reserve,IV,N/A,N/A,4.3,WDPA_Protected Area,"(53.32017249466266, -2.661572205214743)",N/A
Helsby Hill,N/A,Nature Reserve,V,N/A,N/A,4.69,WDPA_Protected Area,"(53.275669753592666, -2.7567078813858714)",N/A
Midland Meres & Mosses,N/A,"Ramsar Site, Wetland of International Importance",Not Reported,N/A,N/A,4.56,WDPA_Protected Area,"(53.246251666573876, -2.6658163045366785)",N/A
Flaxmere Moss,N/A,Site of Special Scientific Interest,IV,N/A,N/A,4.57,WDPA_Protected Area,"(53.24616880140145, -2.666029922291345)",N/A
Hatch Mere,N/A,Site of Special Scientific Interest,IV,N/A,N/A,4.62,WDPA_Protected Area,"(53.244559125027486, -2.6727985513581176)",N/A
Warburton's Wood and Well Wood,N/A,Site of Special Scientific Interest,IV,N/A,N/A,1.32,WDPA_Protected Area,"(53.28170385620051, -2.6690721234586166)",N/A
Beechmill Wood and Pasture,N/A,Site of Special Scientific Interest,IV,N/A,N/A,0.37,WDPA_Protected Area,"(53.28613941000296, -2.693373955345414)",N/A
Flood Brook Clough,N/A,Site of Special Scientific Interest,IV,N/A,N/A,3.6,WDPA_Protected Area,"(53.316346816532985, -2.7013609024844434)",N/A
"Hatton's Hey Wood, Whittle's Corner and Bank Rough",N/A,Site of Special Scientific Interest,IV,N/A,N/A,2.45,WDPA_Protected Area,"(53.28848022999142, -2.6518990417045543)",N/A
Dunsdale Hollow,N/A,Site of Special Scientific Interest,IV,N/A,N/A,2.9,WDPA_Protected Area,"(53.281493876258544, -2.7311458318489317)",N/A
Frodsham Railway and Road Cuttings,N/A,Site of Special Scientific Interest,IV,N/A,N/A,2.72,WDPA_Protected Area,"(53.29725591253392, -2.7233222474781127)",N/A
Permanent lowland rivers,N/A,Global Ecosystem Typology,N/A,F1.2,N/A,1.33,Global Ecosystem Typology,"(53.28666602923528, -2.6683341047348943)",N/A
Permanent lowland rivers,N/A,Global Ecosystem Typology,N/A,F1.2,N/A,1.11,Global Ecosystem Typology,"(53.2950001009295, -2.6883331796213055)",N/A
Permanent lowland rivers,N/A,Global Ecosystem Typology,N/A,F1.2,N/A,2.64,Global Ecosystem Typology,"(53.30333416684167, -2.713333566097293)",N/A
Permanent lowland rivers,N/A,Global Ecosystem Typology,N/A,F1.2,N/A,2.12,Global Ecosystem Typology,"(53.303334143267946, -2.696665455576069)",N/A
Permanent lowland rivers,N/A,Global Ecosystem Typology,N/A,F1.2,N/A,3.89,Global Ecosystem Typology,"(53.307144011302526, -2.7333334083306418)",N/A
Permanent lowland rivers,N/A,Global Ecosystem Typology,N/A,F1.2,N/A,3.25,Global Ecosystem Typology,"(53.311668213296954, -2.668334111881296)",N/A
Permanent lowland rivers,N/A,Global Ecosystem Typology,N/A,F1.2,N/A,4.43,Global Ecosystem Typology,"(53.28666606088103, -2.621667833591668)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,1.44,Global Ecosystem Typology,"(53.28666606447962, -2.6666672910414526)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.8,Global Ecosystem Typology,"(53.32333413097033, -2.6549995847728787)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.42,Global Ecosystem Typology,"(53.307408575383825, -2.7231477534447968)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,1.17,Global Ecosystem Typology,"(53.29500008588714, -2.69333360347105)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,2.77,Global Ecosystem Typology,"(53.27000059825224, -2.654999617727511)",N/A
Deciduous temperate forests,N/A,Global Ecosystem Typology,N/A,T2.2,N/A,4.97,Global Ecosystem Typology,"(53.2407405731326, -2.677777859951228)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,4.41,Global Ecosystem Typology,"(53.24833384153993, -2.7133335507442524)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,4.99,Global Ecosystem Typology,"(53.28666604626049, -2.613333772446617)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,3.52,Global Ecosystem Typology,"(53.2533342635803, -2.688333167751519)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,4.46,Global Ecosystem Typology,"(53.25000062572383, -2.6555552016227697)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,4.8,Global Ecosystem Typology,"(53.32333413097033, -2.6549995847728787)",N/A
Small permanent freshwater lakes,N/A,Global Ecosystem Typology,N/A,F2.2,N/A,4.6,Global Ecosystem Typology,"(53.295000089089, -2.7549994030908302)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.22,Global Ecosystem Typology,"(53.27499984756027, -2.7333338251209747)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,2.68,Global Ecosystem Typology,"(53.28833285288751, -2.6483335446004994)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,1.35,Global Ecosystem Typology,"(53.27833195313413, -2.7049995085532585)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.83,Global Ecosystem Typology,"(53.31500005741218, -2.660000021532169)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,4.46,Global Ecosystem Typology,"(53.32380959843016, -2.671429594027406)",N/A
Cool temperate heathlands,N/A,Global Ecosystem Typology,N/A,T3.3,N/A,0.86,Global Ecosystem Typology,"(53.27833198271221, -2.68166591685264)",N/A
Cool temperate heathlands,N/A,Global Ecosystem Typology,N/A,T3.3,N/A,3.2,Global Ecosystem Typology,"(53.26166830973618, -2.660000037676549)",N/A
Cool temperate heathlands,N/A,Global Ecosystem Typology,N/A,T3.3,N/A,2.68,Global Ecosystem Typology,"(53.26166830793126, -2.6983340062697314)",N/A
