Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Bidston Moss,N/A,Local Nature Reserve,IV,N/A,N/A,2.48,WDPA_Protected Area,"(53.410304033002504, -3.075929340860513)",N/A
Meols Meadows,N/A,Site of Special Scientific Interest,IV,N/A,N/A,2.11,WDPA_Protected Area,"(53.40263044857334, -3.1406868101252075)",N/A
Mersey Narrows and North Wirral Foreshore,N/A,Emerald Network,Not Reported,N/A,N/A,3.47,WDPA_Protected Area,"(53.44098009056018, -3.0935771601190027)",N/A
Mersey Narrows and North Wirral Foreshore,N/A,Marine Protected Area (OSPAR),Not Reported,N/A,N/A,3.47,WDPA_Protected Area,"(53.44107497008864, -3.0939751437969787)",N/A
The Mersey Narrows and North Wirral Foreshore,N/A,"Ramsar Site, Wetland of International Importance",Not Reported,N/A,N/A,3.47,WDPA_Protected Area,"(53.44098009056018, -3.0935771601190027)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,4.81,Global Ecosystem Typology,"(53.3700004046533, -3.1300008618248083)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,1.89,Global Ecosystem Typology,"(53.41611106712442, -3.0855561264092186)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,4.91,Global Ecosystem Typology,"(53.373563253641095, -3.149137870512644)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,2.43,Global Ecosystem Typology,"(53.403333960281394, -3.14666635749409)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,4.37,Global Ecosystem Typology,"(53.38666584919478, -3.163332668088074)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,1.48,Global Ecosystem Typology,"(53.40333398754692, -3.1300008881227646)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,3.18,Global Ecosystem Typology,"(53.3983335213786, -3.154998627251701)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,1.63,Global Ecosystem Typology,"(53.40092634534036, -3.0972222197765324)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,2.8,Global Ecosystem Typology,"(53.38703624373448, -3.1175923747511094)",N/A
Annual croplands,N/A,Global Ecosystem Typology,N/A,T7.1,N/A,4.23,Global Ecosystem Typology,"(53.383332221749434, -3.154761759405432)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.65,Global Ecosystem Typology,"(53.39499989089628, -3.159999045843008)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,3.45,Global Ecosystem Typology,"(53.38999948117369, -3.0766673483201012)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,2.83,Global Ecosystem Typology,"(53.38666585651218, -3.109999111103437)",N/A
