Region Name,Water Risk Details,Type of Protected Area,IUCN Category,EFG Code,Global_KBA_Criteria,Distance (km),Source,Coordinates,Polygon
Thatto Heath Meadows,N/A,Local Nature Reserve,IV,N/A,N/A,4.57,WDPA_Protected Area,"(53.437320505238915, -2.7423079637685635)",N/A
Colliers Moss Common,N/A,Local Nature Reserve,IV,N/A,N/A,3.23,WDPA_Protected Area,"(53.44096956274914, -2.691105041398577)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,4.48,Global Ecosystem Typology,"(53.45000025050934, -2.6657407916350033)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,1.98,Global Ecosystem Typology,"(53.39499988994303, -2.6966654434989676)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,2.82,Global Ecosystem Typology,"(53.38666583067377, -2.688333181350218)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.03,Global Ecosystem Typology,"(53.42000029381908, -2.731665839105512)",N/A
Seasonal upland streams,N/A,Global Ecosystem Typology,N/A,F1.4,N/A,3.89,Global Ecosystem Typology,"(53.41166801856618, -2.7466653628465427)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,4.49,Global Ecosystem Typology,"(53.37768739022586, -2.7235425388952046)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,3.71,Global Ecosystem Typology,"(53.444999806863166, -2.696665467917762)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,4.8,Global Ecosystem Typology,"(53.37000041517858, -2.6716677360762175)",N/A
Derived semi-natural pastures and old fields,N/A,Global Ecosystem Typology,N/A,T7.5,N/A,3.67,Global Ecosystem Typology,"(53.44499981389373, -2.688333186279525)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,4.48,Global Ecosystem Typology,"(53.45000025050934, -2.6657407916350033)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,1.98,Global Ecosystem Typology,"(53.39499988994303, -2.6966654434989676)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,3.03,Global Ecosystem Typology,"(53.42000029381908, -2.731665839105512)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,2.82,Global Ecosystem Typology,"(53.38666583067377, -2.688333181350218)",N/A
Permanent upland streams,N/A,Global Ecosystem Typology,N/A,F1.1,N/A,3.89,Global Ecosystem Typology,"(53.41166801856618, -2.7466653628465427)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,4.81,Global Ecosystem Typology,"(53.39499989107816, -2.621667809463585)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,2.84,Global Ecosystem Typology,"(53.436665750503494, -2.676668134277806)",N/A
Plantations,N/A,Global Ecosystem Typology,N/A,T7.3,N/A,2.43,Global Ecosystem Typology,"(53.40333394442224, -2.721667624401582)",N/A
