Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,4,87,,,0.04597701149425287,,,
2006,13,87,11.0,14.0,0.14942528735632185,0.034482758620689655,1.0,0.14942528735632185
2007,9,87,18.0,20.0,0.10344827586206896,0.022988505747126436,0.75,0.07758620689655173
2008,16,87,15.0,20.0,0.1839080459770115,0.05747126436781609,1.75,0.3218390804597701
2009,16,87,18.0,25.0,0.1839080459770115,0.08045977011494253,2.5,0.45977011494252873
2010,23,87,21.0,30.0,0.26436781609195403,0.10344827586206896,3.7896825396825395,1.001870096697683
2011,17,87,18.0,29.0,0.19540229885057472,0.12643678160919541,6.468253968253968,1.2639116949461777
2012,26,87,15.0,29.0,0.2988505747126437,0.16091954022988506,7.455122448743729,2.227967628360195
2013,26,87,16.0,34.0,0.2988505747126437,0.20689655172413793,5.659501439756313,1.6913452578582087
2014,35,87,17.0,39.0,0.40229885057471265,0.25287356321839083,6.933179551475484,2.789210164386689
2015,38,87,15.0,44.0,0.4367816091954023,0.3333333333333333,9.821190163146685,4.289715243673265
2016,32,87,16.0,43.0,0.367816091954023,0.3103448275862069,11.983028311485707,4.407550643305088
2017,44,87,16.0,46.0,0.5057471264367817,0.3448275862068966,15.117919317730866,7.645844252645496
2018,25,87,21.0,45.0,0.28735632183908044,0.27586206896551724,8.994736146715553,2.584694295033205
2019,30,87,19.0,37.0,0.3448275862068966,0.20689655172413793,6.081728795688457,2.097147860582227
2020,25,87,15.0,35.0,0.28735632183908044,0.22988505747126436,4.782881877977062,1.3743913442462823
2021,32,87,21.0,39.0,0.367816091954023,0.20689655172413793,5.210990490357792,1.916686157372981
2022,34,87,20.0,43.0,0.39080459770114945,0.26436781609195403,5.638497233506899,2.203550642979708
2023,35,87,19.0,44.0,0.40229885057471265,0.28735632183908044,6.900241514057304,2.7759592297931683
2024,21,87,42.0,49.0,0.2413793103448276,0.08045977011494253,4.058628770470876,0.9796690135619357
