Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,0,16,,,0.0,,,
2006,0,16,0.0,0.0,0.0,0.0,0.0,0.0
2007,0,16,0.0,0.0,0.0,0.0,0.0,0.0
2008,0,16,0.0,0.0,0.0,0.0,0.0,0.0
2009,3,16,3.0,3.0,0.1875,0.0,0.0,0.0
2010,0,16,3.0,3.0,0.0,0.0,0.0,0.0
2011,0,16,0.0,0.0,0.0,0.0,0.0,0.0
2012,0,16,0.0,0.0,0.0,0.0,0.0,0.0
2013,0,16,0.0,0.0,0.0,0.0,0.0,0.0
2014,0,16,0.0,0.0,0.0,0.0,0.0,0.0
2015,0,16,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,16,1.0,1.0,0.0625,0.0,0.0,0.0
2017,0,16,1.0,1.0,0.0,0.0,0.0,0.0
2018,1,16,1.0,1.0,0.0625,0.0,0.0,0.0
2019,9,16,10.0,10.0,0.5625,0.0,0.0,0.0
2020,0,16,9.0,9.0,0.0,0.0,0.0,0.0
2021,1,16,1.0,1.0,0.0625,0.0,0.0,0.0
2022,0,16,1.0,1.0,0.0,0.0,0.0,0.0
2023,2,16,2.0,2.0,0.125,0.0,0.0,0.0
2024,0,16,2.0,2.0,0.0,0.0,0.0,0.0
