Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,112,478,,,0.23430962343096234,,,
2006,91,478,93.0,148.0,0.1903765690376569,0.11506276150627615,18.838688272511803,3.5864448384907406
2007,92,478,71.0,127.0,0.19246861924686193,0.11715481171548117,20.826217083570025,4.00839324621013
2008,79,478,57.0,114.0,0.16527196652719664,0.1192468619246862,15.907802981332392,2.629113881852006
2009,81,478,40.0,100.0,0.1694560669456067,0.12552301255230125,19.591017968959143,3.3198168524805243
2010,92,478,43.0,108.0,0.19246861924686193,0.13598326359832635,20.582003127591364,3.9613897233021036
2011,62,478,50.0,102.0,0.1297071129707113,0.1087866108786611,18.241399123752064,2.366039216888343
2012,82,478,44.0,94.0,0.17154811715481172,0.10460251046025104,17.460403322168027,2.9952993146815445
2013,84,478,46.0,106.0,0.17573221757322174,0.12552301255230125,14.816968900664554,2.6038188026272437
2014,85,478,57.0,113.0,0.17782426778242677,0.11715481171548117,12.356013991691741,2.197199140782004
2015,105,478,70.0,130.0,0.2196652719665272,0.12552301255230125,14.548572733035646,3.195816186127077
2016,87,478,76.0,134.0,0.18200836820083682,0.12133891213389121,12.23020188109702,2.2259990871452735
2017,101,478,70.0,129.0,0.2112970711297071,0.12343096234309624,14.020125484064103,2.962411451653712
2018,110,478,89.0,150.0,0.2301255230125523,0.12761506276150628,15.329028814322932,3.527600773170549
2019,95,478,97.0,151.0,0.19874476987447698,0.11297071129707113,16.74303880499533,3.327591394298235
2020,112,478,89.0,148.0,0.23430962343096234,0.12343096234309624,16.50879244843439,3.868168941892577
2021,87,478,117.0,158.0,0.18200836820083682,0.08577405857740586,10.762008171006691,1.9587755457690004
2022,137,478,122.0,173.0,0.28661087866108786,0.10669456066945607,14.962657585157249,4.28846043758691
2023,137,478,150.0,212.0,0.28661087866108786,0.1297071129707113,15.1354711750761,4.3379906924381295
2024,133,478,138.0,204.0,0.27824267782426776,0.13807531380753138,16.1076854518031,4.481845533660695
