Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,149,812,,,0.1834975369458128,,,
2006,104,812,101.0,177.0,0.12807881773399016,0.09359605911330049,29.638095238095236,3.7960121979826416
2007,115,812,73.0,146.0,0.1416256157635468,0.08990147783251232,27.93888888888889,3.9568623426382046
2008,106,812,87.0,154.0,0.13054187192118227,0.08251231527093596,22.658110516934045,2.9578321610775973
2009,82,812,134.0,161.0,0.10098522167487685,0.0332512315270936,5.28015873015873,0.5332179998436156
2010,87,812,91.0,130.0,0.10714285714285714,0.0480295566502463,17.46785714285714,1.8715561224489794
2011,90,812,53.0,115.0,0.11083743842364532,0.07635467980295567,20.56547619047619,2.2794247009148485
2012,87,812,59.0,118.0,0.10714285714285714,0.07266009852216748,17.38214285714286,1.862372448979592
2013,211,812,298.0,298.0,0.25985221674876846,0.0,0.0,0.0
2014,98,812,283.0,296.0,0.1206896551724138,0.01600985221674877,3.1666666666666665,0.382183908045977
2015,91,812,47.0,118.0,0.11206896551724138,0.0874384236453202,23.340376290376287,2.6157318256456183
2016,90,812,61.0,121.0,0.11083743842364532,0.07389162561576355,14.66964146964147,1.6259454830883402
2017,155,812,135.0,190.0,0.19088669950738915,0.06773399014778325,21.454523254523252,4.095383133560473
2018,113,812,152.0,210.0,0.13916256157635468,0.07142857142857142,16.96004551004551,2.360203377629486
2019,92,812,91.0,148.0,0.11330049261083744,0.07019704433497537,14.858402708402709,1.683464346272228
2020,158,812,124.0,187.0,0.19458128078817735,0.07758620689655173,20.69366189366189,4.02659923546623
2021,106,812,150.0,207.0,0.13054187192118227,0.07019704433497537,16.59506327006327,2.1663506239245156
2022,133,812,123.0,181.0,0.16379310344827586,0.07142857142857142,15.898903873903873,2.6041308069325306
2023,152,812,141.0,213.0,0.18719211822660098,0.08866995073891626,18.84554279054279,3.5277370740917537
2024,162,812,192.0,253.0,0.19950738916256158,0.07512315270935961,16.35127761127761,3.2622007056982425
