Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,24,307,,,0.0781758957654723,,,
2006,3,307,27.0,27.0,0.009771986970684038,0.0,0.0,0.0
2007,36,307,39.0,39.0,0.11726384364820847,0.0,0.0,0.0
2008,22,307,42.0,50.0,0.07166123778501629,0.026058631921824105,0.5,0.035830618892508145
2009,66,307,70.0,79.0,0.21498371335504887,0.029315960912052116,3.816666666666667,0.8205211726384366
2010,57,307,45.0,84.0,0.18566775244299674,0.1270358306188925,17.912214827656,3.32572066832701
2011,62,307,29.0,74.0,0.20195439739413681,0.1465798045602606,15.531562065385595,3.1366672575045826
2012,87,307,39.0,94.0,0.28338762214983715,0.1791530944625407,17.21919673463791,4.879707217959278
2013,97,307,50.0,117.0,0.31596091205211724,0.2182410423452769,20.417478191742898,6.451125031267299
2014,81,307,62.0,120.0,0.26384364820846906,0.18892508143322476,25.18038122438277,6.643683645521187
2015,89,307,60.0,115.0,0.2899022801302932,0.1791530944625407,18.03532973304645,5.228483212511837
2016,83,307,50.0,111.0,0.2703583061889251,0.1986970684039088,14.675270455378813,3.967581263180591
2017,59,307,42.0,92.0,0.19218241042345277,0.16286644951140064,12.193125948698704,2.3433043354176664
2018,101,307,66.0,113.0,0.3289902280130293,0.15309446254071662,16.768216544377538,5.516579384306616
2019,78,307,63.0,121.0,0.254071661237785,0.18892508143322476,16.025156375272473,4.071538101860758
2020,74,307,38.0,95.0,0.24104234527687296,0.18566775244299674,20.25141774719948,4.88144922896665
2021,70,307,36.0,90.0,0.2280130293159609,0.1758957654723127,14.15338563655127,3.2271563340670646
2022,91,307,67.0,114.0,0.2964169381107492,0.15309446254071662,11.621013420703822,3.444665215908951
2023,59,307,70.0,110.0,0.19218241042345277,0.13029315960912052,12.335047224017812,2.370579108198863
2024,115,307,112.0,143.0,0.3745928338762215,0.10097719869706841,10.699312048460655,4.007885620758877
