Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,0,313,,,0.0,,,
2006,3,313,3.0,3.0,0.009584664536741214,0.0,0.0,0.0
2007,17,313,20.0,20.0,0.054313099041533544,0.0,0.0,0.0
2008,68,313,67.0,76.0,0.21725239616613418,0.02875399361022364,3.9333333333333327,0.8545260915867943
2009,37,313,63.0,84.0,0.1182108626198083,0.0670926517571885,8.034920634920635,0.9498148993356661
2010,95,313,84.0,108.0,0.3035143769968051,0.07667731629392971,9.149206349206349,2.7769156650945788
2011,80,313,57.0,116.0,0.25559105431309903,0.18849840255591055,20.748051948051945,5.303016472345544
2012,26,313,62.0,84.0,0.08306709265175719,0.07028753993610223,11.03567821067821,0.9167017044013848
2013,19,313,29.0,37.0,0.06070287539936102,0.025559105431309903,0.0,0.0
2014,12,313,31.0,31.0,0.038338658146964855,0.0,0.0,0.0
2015,11,313,15.0,19.0,0.03514376996805112,0.012779552715654952,1.0333333333333332,0.03631522896698615
2016,9,313,16.0,18.0,0.02875399361022364,0.006389776357827476,0.45,0.01293929712460064
2017,6,313,11.0,13.0,0.019169329073482427,0.006389776357827476,1.3833333333333333,0.026517571884984024
2018,56,313,52.0,57.0,0.17891373801916932,0.01597444089456869,1.6,0.28626198083067095
2019,35,313,63.0,77.0,0.11182108626198083,0.04472843450479233,5.978896103896104,0.6685666569851874
2020,98,313,93.0,113.0,0.31309904153354634,0.06389776357827476,10.537439521263051,3.299262214325173
2021,66,313,80.0,122.0,0.2108626198083067,0.134185303514377,11.053647410381156,2.3308010513902757
2022,65,313,51.0,91.0,0.20766773162939298,0.12779552715654952,10.966776008649074,2.2774454970038014
2023,86,313,71.0,111.0,0.2747603833865815,0.12779552715654952,11.29100229835524,3.1023201203148583
2024,41,313,107.0,117.0,0.13099041533546327,0.03194888178913738,3.708020050125313,0.4857150864381401
