Year,Alpha,Gamma,Beta,Total_Mod_Beta,Richness,Similarity,Evenness,EvenxRichness
2005,1,248,,,0.004032258064516129,,,
2006,0,248,1.0,1.0,0.0,0.0,0.0,0.0
2007,65,248,65.0,65.0,0.2620967741935484,0.0,0.0,0.0
2008,1,248,66.0,66.0,0.004032258064516129,0.0,0.0,0.0
2009,0,248,1.0,1.0,0.0,0.0,0.0,0.0
2010,21,248,21.0,21.0,0.0846774193548387,0.0,0.0,0.0
2011,1,248,22.0,22.0,0.004032258064516129,0.0,0.0,0.0
2012,0,248,1.0,1.0,0.0,0.0,0.0,0.0
2013,14,248,14.0,14.0,0.056451612903225805,0.0,0.0,0.0
2014,0,248,14.0,14.0,0.0,0.0,0.0,0.0
2015,0,248,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,248,1.0,1.0,0.004032258064516129,0.0,0.0,0.0
2017,17,248,16.0,17.0,0.06854838709677419,0.004032258064516129,0.0,0.0
2018,11,248,26.0,27.0,0.04435483870967742,0.004032258064516129,0.0,0.0
2019,28,248,37.0,38.0,0.11290322580645161,0.004032258064516129,0.0,0.0
2020,97,248,95.0,110.0,0.3911290322580645,0.06048387096774194,4.333333333333333,1.6948924731182793
2021,53,248,118.0,134.0,0.21370967741935484,0.06451612903225806,4.25,0.9082661290322581
2022,38,248,65.0,78.0,0.1532258064516129,0.05241935483870968,0.8333333333333333,0.12768817204301075
2023,58,248,72.0,84.0,0.23387096774193547,0.04838709677419355,3.2166666666666663,0.7522849462365591
2024,9,248,57.0,62.0,0.036290322580645164,0.020161290322580645,2.0666666666666664,0.075
