Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Bombus lapidarius,57350774,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,1.0,2.0,2.0,,,1.0,,
Cis bilamellatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Ciidae,Cis,,,,,,1.0,,,
Turdus pilaris,264547173,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,3.0,,,4.0,2.0,5.0,1.0,,
Celastrina argiolus,53710296,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina,,,1.0,,,,,2.0,
Menophra abruptaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Menophra,,,1.0,,,,,,
Frullania dilatata,87770133,Least Concern,Stable,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,,,1.0,,,2.0,,,
Pararge aegeria,53719848,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,,,1.0,,,,,,
Numenius arquata,166247142,Near Threatened,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,1.0,,,,,,1.0,,
Meles meles,45203002,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,,1.0,1.0,6.0,1.0,,10.0,1.0,
Columba oenas,264541812,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,1.0,,,2.0,,4.0,1.0,1.0,
Sonchus oleraceus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus,,,,,,,1.0,,
Anticlea badiata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Anticlea,,,,1.0,,,,,
Impatiens glandulifera,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,,,,,,,2.0,1.0,
Falco tinnunculus,210515355,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,4.0,2.0,,,1.0,1.0,1.0,,4.0
Dipsacus fullonum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,1.0,,,,,,,,
Garrulus glandarius,196469765,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,,,,,1.0,1.0,,,
Anemone nemorosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,,,,,,1.0,,,
Microtus agrestis,221685446,Least Concern,Stable,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,,,,,,,,1.0,
Senecio vulgaris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,,,1.0,,,1.0,,,
Tytthaspis sedecimpunctata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Tytthaspis,,,,,,1.0,,,
