Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Fagus sylvatica,62004725,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,,,,,,3.0,,1.0,
Regulus ignicapilla,166445678,Least Concern,Increasing,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,,,,,,,,1.0,
Turdus pilaris,264547173,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,,2.0,1.0,,,,,,1.0
Pellia neesiana,87738294,Least Concern,Stable,Plantae,Marchantiophyta,Jungermanniopsida,Pelliales,Pelliaceae,Pellia,,,,,1.0,,,,
Dicranum scoparium,87768972,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum,,,,,,1.0,,,
Radulomyces molaris,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Radulomycetaceae,Radulomyces,,,,,1.0,,,,
Frullania dilatata,87770133,Least Concern,Stable,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,,4.0,2.0,,2.0,1.0,,,
Vipera berus,215261275,Least Concern,Decreasing,Animalia,Chordata,Squamata,Unknown,Viperidae,Vipera,,,,2.0,,,,,
Meles meles,45203002,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,63.0,3.0,11.0,6.0,3.0,3.0,2.0,2.0,5.0
Numenius arquata,166247142,Near Threatened,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,,1.0,,3.0,,,,1.0,1.0
Lonicera periclymenum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,,,,,,,,,1.0
Columba oenas,264541812,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,1.0,,,,,,,,1.0
Anticlea badiata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Anticlea,,1.0,,,,,,,
Pezicula cinnamomea,Not Found,Unknown,Unknown,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pezicula,,,,,,,,1.0,
Impatiens glandulifera,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,,,,,,,,1.0,
Pyrrhidium sanguineum,5155678,Least Concern,Stable,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Pyrrhidium,,,,,,,1.0,,
Lyomyces sambuci,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Lyomyces,,,,,,2.0,,1.0,
Falco tinnunculus,210515355,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,2.0,6.0,,,1.0,1.0,4.0,1.0,2.0
Phragmatobia fuliginosa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Phragmatobia,,2.0,,,,,,,1.0
Hymenochaete rubiginosa,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,,,,,1.0,,,,
Pleurotus ostreatus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,,,,,,1.0,,,
Garrulus glandarius,196469765,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,,2.0,2.0,3.0,4.0,1.0,4.0,,1.0
Anemone nemorosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,,,,,,,1.0,,1.0
Clitocybe agrestis,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,,,,,,,,1.0,
Perdix perdix,154496308,Least Concern,Decreasing,Animalia,Chordata,Aves,Galliformes,Phasianidae,Perdix,,,,,,,1.0,,
Fulica atra,166239776,Near Threatened,Decreasing,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,,,,,4.0,2.0,8.0,6.0,1.0
Brachythecium rutabulum,87732839,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,,,,,,2.0,,,
Anthriscus sylvestris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,,,,,,,,2.0,
Puccinia lagenophorae,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,,,,,,,,1.0,
Juncus effusus,65914179,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,,,,,,,,1.0,
Anguis fragilis,204902180,Least Concern,Stable,Animalia,Chordata,Squamata,Unknown,Anguidae,Anguis,,1.0,,,,,,,1.0
Periparus ater,264545478,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,5.0,5.0,1.0,,1.0,,2.0,1.0,
Picus viridis,264587872,Least Concern,Stable,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,,,,1.0,,,1.0,,
Bufo bufo,200188858,Least Concern,Decreasing,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,4.0,,13.0,1.0,2.0,4.0,8.0,5.0
Thamnobryum alopecurum,87737823,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Hypnales,Neckeraceae,Thamnobryum,,,,,,2.0,,,
Tussilago farfara,2758465,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tussilago,,,,,,,,1.0,
Orthosia gothica,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,,8.0,,,,,1.0,1.0,
Chroicocephalus ridibundus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,2.0,1.0,6.0,7.0,7.0,6.0,6.0,10.0,3.0
Accipiter nisus,210499136,Least Concern,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1.0,2.0,1.0,2.0,,1.0,5.0,,
Lunularia cruciata,87714722,Least Concern,Stable,Plantae,Marchantiophyta,Marchantiopsida,Lunulariales,Lunulariaceae,Lunularia,,4.0,4.0,,1.0,,,,
Halyzia sedecimguttata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Halyzia,,,,,,,1.0,,
Ectropis crepuscularia,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ectropis,,,,,1.0,,,,
Veronica filiformis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,,,,,,,,,1.0
Linaria flavirostris,264565819,Least Concern,Unknown,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,,,,3.0,,,,,
Streptopelia decaocto,166435449,Least Concern,Stable,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,3.0,1.0,3.0,1.0,1.0,2.0,,4.0,2.0
Buteo buteo,210507000,Least Concern,Stable,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,10.0,6.0,6.0,6.0,7.0,1.0,9.0,7.0,7.0
Pica pica,264575751,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,7.0,5.0,10.0,9.0,11.0,10.0,6.0,6.0,5.0
Lamium purpureum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,,,,,,,,1.0,2.0
Protapion fulvipes,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Protapion,,,,,,,,1.0,
Passer montanus,166399056,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,,,1.0,,,,,,
Rhytisma acerinum,Not Found,Unknown,Unknown,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Rhytisma,,,,,,1.0,,,
Peniophora cinerea,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,,,,,1.0,1.0,,,
Mustela erminea,45203335,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,,,,1.0,,,,,
Sambucus nigra,88328586,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,,,,,,,,1.0,
Coprinellus micaceus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,,,,,,1.0,,,
Gonepteryx rhamni,53720018,Least Concern,Decreasing,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,,,,,,,1.0,,
Rattus norvegicus,221339363,Not Applicable,Stable,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,,,1.0,,,,,,
Egretta garzetta,166459851,Least Concern,Decreasing,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,3.0,1.0,2.0,3.0,1.0,,2.0,2.0,2.0
