Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Fagus sylvatica,62004725,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,1.0,,,,,,3.0,1.0,1.0
Cis bilamellatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Ciidae,Cis,,,,,1.0,,,,1.0
Ceraclea nigronervosa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Ceraclea,,,,1.0,,,,,
Hydrotaea similis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Hydrotaea,,,,1.0,,,,,
Corticaria longicollis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticaria,,,,,,1.0,,,
Limonia nubeculosa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Limonia,,,,5.0,,,,,
Chaetopteryx villosa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Chaetopteryx,,,,2.0,1.0,,,,
Chaetocnema concinna,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chaetocnema,,,,,1.0,,,,
Sphecodes pellucidus,21148834,Least Concern,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Sphecodes,,,,1.0,,,,,
Turdus pilaris,264547173,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,1.0,,,,,,,,
Lype reducta,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Trichoptera,Psychomyiidae,Lype,,,,,,1.0,,,
Chrysogaster solstitialis,149165426,Least Concern,Unknown,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Chrysogaster,,,,,,,,2.0,
Butomus umbellatus,42308818,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Alismatales,Butomaceae,Butomus,,,,,,,1.0,,
Laspeyria flexula,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Laspeyria,,,2.0,,,,,,
Celastrina argiolus,53710296,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina,,2.0,11.0,3.0,13.0,,,,
Pterostichus rhaeticus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,,,,,,,,1.0,
Pellia neesiana,87738294,Least Concern,Stable,Plantae,Marchantiophyta,Jungermanniopsida,Pelliales,Pelliaceae,Pellia,1.0,,,,,,,,
