Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Fagus sylvatica,62004725,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,,,,,,1.0,,,
Cis bilamellatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Ciidae,Cis,,,,,,,1.0,,
Phragmites australis,140439343,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phragmites,,,,,2.0,,,,
Bucephala clangula,166209537,Least Concern,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,,,2.0,,1.0,,,,
Falco columbarius,154505853,Least Concern,Stable,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,,4.0,2.0,1.0,3.0,3.0,,1.0,
Turdus pilaris,264547173,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,1.0,3.0,1.0,,5.0,2.0,,2.0,2.0
Cassida nobilis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Cassida,,,,,,,1.0,,
Cettia cetti,264547885,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,,,,,,,,2.0,
Celastrina argiolus,53710296,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina,,,1.0,3.0,,,,,
Calidris alpina,255846610,Near Threatened,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,,3.0,2.0,1.0,,1.0,1.0,3.0,
Arenaria interpres,254413189,Near Threatened,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,,,7.0,,1.0,1.0,,3.0,
Clivina fossor,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Clivina,,,,,,,1.0,,
Cephennium gallicum,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cephennium,,,,,,,1.0,,
Pararge aegeria,53719848,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,,,,2.0,,1.0,,,
Cygnus cygnus,166190527,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,,7.0,3.0,1.0,,1.0,,,
Larus michahellis,166458471,Least Concern,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,2.0,1.0,3.0,1.0,,,,
Numenius arquata,166247142,Near Threatened,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,1.0,4.0,2.0,2.0,1.0,4.0,2.0,6.0,6.0
Meles meles,45203002,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,,1.0,,4.0,,,,,
Columba oenas,264541812,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,,1.0,,,,2.0,1.0,3.0,2.0
Sonchus oleraceus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus,,,,,2.0,,,,
Mergus serrator,166211173,Near Threatened,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,,2.0,1.0,1.0,1.0,,,,
Tringa ochropus,166250734,Least Concern,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,1.0,,,,,,,,1.0
Melissa officinalis,2762574,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Melissa,,,,,,2.0,,,
Neuraphes angulatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Neuraphes,,,,,,1.0,,,
Falco tinnunculus,210515355,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,1.0,2.0,1.0,,1.0,4.0,1.0,1.0,
Dipsacus fullonum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,,,,,2.0,,,,
Garrulus glandarius,196469765,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,,,,,1.0,,,1.0,
Anemone nemorosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,,,,,,1.0,,,
Anser albifrons,213839615,Least Concern,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,,,,,1.0,,,1.0,
Senecio vulgaris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,,,,,2.0,,,,
Chaetocnema picipes,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chaetocnema,,,,,,,1.0,,
Perdix perdix,154496308,Least Concern,Decreasing,Animalia,Chordata,Aves,Galliformes,Phasianidae,Perdix,,2.0,9.0,,3.0,1.0,1.0,3.0,
Fulica atra,166239776,Near Threatened,Decreasing,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,1.0,,,,1.0,2.0,3.0,2.0,5.0
Anthriscus sylvestris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,,,,,,1.0,,,
Anser brachyrhynchus,166191820,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,,3.0,,3.0,2.0,3.0,1.0,11.0,5.0
Periparus ater,264545478,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,11.0,7.0,1.0,,,,2.0,,2.0
Gymnoscelis rufifasciata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Gymnoscelis,2.0,,11.0,13.0,2.0,,,,
Tussilago farfara,2758465,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tussilago,,,,2.0,,,,,
Cymus glandicolor,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Cymidae,Cymus,,,,,,1.0,,,
Chrysolina americana,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,,,,,,2.0,,,
Orthosia gothica,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,2.0,1.0,13.0,30.0,16.0,,,,
Accipiter nisus,210499136,Least Concern,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1.0,3.0,2.0,1.0,2.0,,,2.0,7.0
Chroicocephalus ridibundus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,,3.0,2.0,1.0,1.0,4.0,5.0,8.0,7.0
Agonum fuliginosum,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,,,,,,1.0,3.0,,
Quercus petraea,3116237,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,1.0,,,,,,,,
Stenopelmus rufinasus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Brachyceridae,Stenopelmus,,,,,,1.0,,,
Conopodium majus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Conopodium,,,,,,1.0,,,
Leistus fulvibarbis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Leistus,,,,,,,,,1.0
Streptopelia decaocto,166435449,Least Concern,Stable,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,12.0,2.0,,,1.0,1.0,2.0,5.0,
