Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Tadorna tadorna,166197940,Least Concern,Stable,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,4.0,4.0,4.0,7.0,6.0,2.0,6.0,4.0,4.0
Cyanistes caeruleus,264532201,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,4.0,7.0,6.0,5.0,5.0,6.0,7.0,6.0,9.0
Erannis defoliaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Erannis,1.0,2.0,12.0,1.0,1.0,,,,
Spinus spinus,264582322,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,,1.0,3.0,,3.0,,1.0,,
Calidris pugnax,166259298,Near Threatened,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,1.0,2.0,1.0,,1.0,1.0,,,1.0
Anthus petrosus,166407009,Least Concern,Unknown,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,2.0,,,,,,,,
Capsella bursa-pastoris,2758177,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella,,,1.0,,,1.0,,,
Turdus philomelos,166346863,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,2.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,4.0
Aegithalos caudatus,264587236,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0
Pseudoscleropodium purum,88382414,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Pseudoscleropodium,,,,,,3.0,,,
Orthotrichum anomalum,87727352,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,,,,,,1.0,,,
Erigeron acris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,,,,,,1.0,,,
Bucephala clangula,166209537,Least Concern,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,,1.0,,,,,,,
