Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Fagus sylvatica,62004725,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,1.0,,,,,,1.0,1.0,
Bombus lapidarius,57350774,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,1.0,,,3.0,3.0,1.0,,4.0,
Acroloxus lacustris,734716,Least Concern,Stable,Animalia,Mollusca,Gastropoda,Unknown,Acroloxidae,Acroloxus,,,,,,1.0,,,
Chaetopteryx villosa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Chaetopteryx,,,,1.0,,,,,
Chaetocnema concinna,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chaetocnema,,,,,,,,1.0,
Turdus pilaris,264547173,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,,,,,,,,,2.0
Mentha aquatica,63304147,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,,,,,,1.0,,,
Tomicus piniperda,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Tomicus,,,,,,,,,1.0
Cettia cetti,264547885,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,,,,,,,,1.0,1.0
Celastrina argiolus,53710296,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina,,,2.0,,1.0,,,,
Menophra abruptaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Menophra,1.0,,,1.0,,,,,
Pterostichus rhaeticus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,,,,,,2.0,,1.0,
Pellia neesiana,87738294,Least Concern,Stable,Plantae,Marchantiophyta,Jungermanniopsida,Pelliales,Pelliaceae,Pellia,,,,,,,1.0,,
Rosulabryum rubens,Not Found,Unknown,Unknown,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Rosulabryum,,1.0,,,,,,,
Veronica montana,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,,,,,,,2.0,,
Frullania dilatata,87770133,Least Concern,Stable,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,4.0,,,,,,2.0,,
Crassula helmsii,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,,1.0,,,,,,,
Cis punctulatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Ciidae,Cis,,,,,,,,,1.0
Pararge aegeria,53719848,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,1.0,1.0,11.0,4.0,9.0,1.0,3.0,1.0,
Deschampsia cespitosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Deschampsia,1.0,,,,,,,,
Psittacula krameri,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,,,,,,,2.0,,
Meles meles,45203002,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,2.0,,2.0,1.0,,3.0,1.0,,
Lonicera periclymenum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,1.0,,,,,,,,
Numenius arquata,166247142,Near Threatened,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,,,,,,1.0,,,
Melica uniflora,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Melica,,1.0,,,,,,,
Columba oenas,264541812,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,,,,,,1.0,,1.0,1.0
Apamea monoglypha,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Apamea,,,2.0,,,,,,
Nectria cinnabarina,Not Found,Unknown,Unknown,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,,,,,,,,,1.0
Phalacrocera replicata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Cylindrotomidae,Phalacrocera,,,1.0,,,,,,
Carex strigosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,,1.0,,,,,,,
Falco tinnunculus,210515355,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,2.0,1.0,,1.0,,,,2.0,1.0
Phragmatobia fuliginosa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Phragmatobia,,,,,1.0,,,,
Selenia tetralunaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Selenia,,,1.0,2.0,,,,,
Vanessa cardui,161326679,Least Concern,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,,,1.0,,,,,,
Drepana falcataria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Drepanidae,Drepana,,,,2.0,,,,,
Garrulus glandarius,196469765,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,2.0,,,,,3.0,,1.0,3.0
Axylia putris,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Axylia,,,2.0,,,,,,
Anemone nemorosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,1.0,,,,1.0,1.0,4.0,3.0,1.0
Euglesa pulchella,211985841,Least Concern,Decreasing,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Euglesa,,,,,,1.0,,,
Microtus agrestis,221685446,Least Concern,Stable,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,,,,,,1.0,,,
Cepaea nemoralis,5013701,Least Concern,Stable,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cepaea,,,,,,1.0,,,
Spilosoma lubricipeda,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,,,,1.0,,,,,
Macrodema microptera,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Macrodema,,,,,,1.0,,,
Stenophylax lateralis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Stenophylax,,,,2.0,,,,,
Fulica atra,166239776,Near Threatened,Decreasing,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,2.0,,,,1.0,1.0,2.0,4.0,3.0
Euglesa personata,211985110,Least Concern,Decreasing,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Euglesa,,,,,,1.0,,,
Brachythecium rutabulum,87732839,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,,5.0,,,,,1.0,,
Pheosia gnoma,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Pheosia,,,1.0,4.0,,,,,
Anthriscus sylvestris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,1.0,,,,,,2.0,1.0,
Arianta arbustorum,4949797,Least Concern,Stable,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Arianta,,,,,1.0,,,,
Periparus ater,264545478,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,1.0,,,,,2.0,2.0,,4.0
Gymnoscelis rufifasciata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Gymnoscelis,4.0,5.0,,3.0,2.0,,,1.0,
Osmia bicornis,21154926,Least Concern,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,,,1.0,,,1.0,,1.0,
Bufo bufo,200188858,Least Concern,Decreasing,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,,,,,,4.0,2.0,,
Anser brachyrhynchus,166191820,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,,,,,,,,,1.0
