Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Fagus sylvatica,62004725,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,,3.0,2.0,,4.0,6.0,,2.0,5.0
Galanthus elwesii,5935273,Data Deficient,Decreasing,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Galanthus,,,,,,,1.0,,2.0
Cyclamen hederifolium,2475736,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Cyclamen,,,,3.0,,,,,
Buteo jamaicensis,264594226,Least Concern,Increasing,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,,,2.0,,,,,,
Turdus pilaris,264547173,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,,,1.0,,,,,,
Galium mollugo,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,,1.0,,,,,,,
Silene flos-cuculi,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,,,,,,,,1.0,
Erodium moschatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium,,,,,,,,1.0,
Cedrus deodara,2970751,Least Concern,Unknown,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Cedrus,,,,,,,,1.0,
Meliscaeva auricollis,149167303,Least Concern,Unknown,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Meliscaeva,,,,,,,,,1.0
Hypochaeris radicata,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Hypochaeris,,,,,2.0,,,1.0,
Lamium maculatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,,,,,,1.0,,,
Centaurea nigra,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,,,,2.0,,,1.0,
Rubus tricolor,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,,,,,,,,1.0,2.0
